HP:0000002	Abnormality of body height
HP:0000003	Multicystic kidney dysplasia
HP:0000008	Abnormality of female internal genitalia
HP:0000009	Functional abnormality of the bladder
HP:0000010	Recurrent urinary tract infections
HP:0000011	Neurogenic bladder
HP:0000012	Urinary urgency
HP:0000013	Hypoplasia of the uterus
HP:0000014	Abnormality of the bladder
HP:0000015	Bladder diverticula
HP:0000016	Urinary retention
HP:0000017	Nocturia
HP:0000019	Urinary hesitancy
HP:0000020	Urinary incontinence
HP:0000021	Lower urinary tract dilatation
HP:0000022	Abnormality of male internal genitalia
HP:0000023	Inguinal hernia
HP:0000024	Prostatitis
HP:0000025	Functional abnormality of male internal genitalia
HP:0000026	Male hypogonadism
HP:0000027	Azoospermia
HP:0000028	Cryptorchidism
HP:0000029	Testicular atrophy
HP:0000030	Testicular gonadoblastoma
HP:0000031	Epididymitis
HP:0000032	Abnormality of male external genitalia
HP:0000033	Ambiguous genitalia, male
HP:0000034	Hydrocele testis
HP:0000035	Abnormality of the testis
HP:0000036	Abnormality of the penis
HP:0000037	Male pseudohermaphroditism
HP:0000039	Epispadias
HP:0000040	Enlarged penis
HP:0000041	Chordee
HP:0000042	Absent external genitalia
HP:0000044	Hypogonadotrophic hypogonadism
HP:0000045	Abnormality of the scrotum
HP:0000046	Scrotal hypoplasia
HP:0000047	Hypospadias
HP:0000048	Bifid scrotum
HP:0000049	Shawl scrotum
HP:0000050	Hypoplastic genitalia
HP:0000051	Perineal hypospadias
HP:0000052	Urethral atresia, male
HP:0000053	Macroorchidism
HP:0000054	Micropenis
HP:0000055	Abnormality of female external genitalia
HP:0000056	Abnormality of the clitoris
HP:0000057	Clitoromegaly
HP:0000058	Abnormality of the labia
HP:0000059	Hypoplastic labia majora
HP:0000060	Clitoral hypoplasia
HP:0000061	Ambiguous genitalia, female
HP:0000062	Ambiguous genitalia
HP:0000063	Fused labia minora
HP:0000064	Hypoplastic labia minora
HP:0000065	Labial hypertrophy
HP:0000066	Labial hypoplasia
HP:0000067	Urethral atresia, female
HP:0000068	Urethral atresia
HP:0000069	Abnormality of the ureter
HP:0000070	Ureterocele
HP:0000071	Ureteral stenosis
HP:0000072	Hydroureter
HP:0000073	Ureteral duplication
HP:0000074	Ureteropelvic junction obstruction
HP:0000075	Renal duplication
HP:0000076	Vesicoureteral reflux
HP:0000077	Abnormality of the kidney
HP:0000078	Abnormality of the genital system
HP:0000079	Abnormality of the urinary system
HP:0000080	Abnormality of genital physiology
HP:0000081	Duplicated collecting system
HP:0000082	Abnormality of renal physiology
HP:0000083	Renal insufficiency
HP:0000085	Horseshoe kidney
HP:0000086	Ectopic kidney
HP:0000089	Renal hypoplasia
HP:0000090	Nephronophthisis
HP:0000091	Abnormality of the renal tubule
HP:0000092	Tubular atrophy
HP:0000093	Proteinuria
HP:0000095	Morphological abnormalities of the glomeruli
HP:0000096	Glomerulosclerosis
HP:0000097	Focal segmental glomerulosclerosis
HP:0000098	Tall stature
HP:0000099	Glomerulonephritis
HP:0000100	Nephrotic syndrome
HP:0000103	Polyuria
HP:0000104	Renal agenesis
HP:0000105	Enlarged kidneys
HP:0000106	Progressive renal insufficiency
HP:0000107	Renal cysts
HP:0000108	Renal corticomedullary cysts
HP:0000110	Renal dysplasia
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia
HP:0000112	Nephropathy
HP:0000113	Polycystic kidney dysplasia
HP:0000114	Proximal tubulopathy
HP:0000117	Decreased renal tubular phosphate reabsorption
HP:0000118	Phenotypic abnormality
HP:0000119	Abnormality of the genitourinary system
HP:0000120	Reduced creatinine clearance
HP:0000121	Nephrocalcinosis
HP:0000122	Unilateral renal agenesis
HP:0000123	Nephritis
HP:0000124	Renal tubular dysfunction
HP:0000125	Pelvic kidney
HP:0000126	Hydronephrosis
HP:0000127	Renal salt wasting
HP:0000128	Renal potassium wasting
HP:0000130	Abnormality of the uterus
HP:0000131	Uterine leiomyoma
HP:0000132	Menorrhagia
HP:0000133	Gonadal dysgenesis
HP:0000134	Female hypogonadism
HP:0000135	Hypogonadism
HP:0000136	Bifid uterus
HP:0000137	Abnormality of the ovary
HP:0000138	Ovarian cysts
HP:0000139	Uterine prolapse
HP:0000140	Abnormality of the menstrual cycle
HP:0000141	Amenorrhea
HP:0000142	Abnormality of the vagina
HP:0000143	Rectovaginal fistula
HP:0000144	Decreased fertility
HP:0000145	Transverse vaginal septum
HP:0000147	Polycystic ovaries
HP:0000148	Vaginal atresia
HP:0000149	Ovarian gonadoblastoma
HP:0000150	Gonadoblastoma
HP:0000151	Aplasia of the uterus
HP:0000152	Abnormality of head and neck
HP:0000153	Abnormality of the mouth
HP:0000154	Wide mouth
HP:0000155	Oral ulcer
HP:0000157	Abnormality of the tongue
HP:0000158	Macroglossia
HP:0000159	Abnormality of the lip
HP:0000160	Narrow mouth
HP:0000161	Median cleft lip
HP:0000162	Glossoptosis
HP:0000163	Abnormality of the oral cavity
HP:0000164	Abnormality of the teeth
HP:0000166	Severe periodontitis
HP:0000168	Abnormality of the gingiva
HP:0000169	Gingival fibromatosis
HP:0000171	Microglossia
HP:0000172	Abnormality of the uvula
HP:0000174	Abnormality of the palate
HP:0000175	Cleft palate
HP:0000176	Submucous cleft hard palate
HP:0000177	Abnormality of upper lip
HP:0000178	Abnormality of lower lip
HP:0000179	Thick lower lip vermilion
HP:0000180	Lobulated tongue
HP:0000182	Movement abnormality of the tongue
HP:0000183	Difficulty in tongue movements
HP:0000185	Cleft soft palate
HP:0000187	Broad alveolar ridges
HP:0000188	Short upper lip
HP:0000189	Narrow palate
HP:0000190	Abnormality of oral frenula
HP:0000191	Accessory oral frenulum
HP:0000193	Bifid uvula
HP:0000194	Open mouth
HP:0000196	Lower lip pit
HP:0000197	Abnormality of parotid gland
HP:0000198	Absence of Stensen duct
HP:0000199	Tongue nodules
HP:0000200	Short lingual frenulum
HP:0000201	Pierre-Robin sequence
HP:0000202	Oral cleft
HP:0000204	Cleft upper lip
HP:0000205	Pursed lips
HP:0000206	Glossitis
HP:0000207	Triangular mouth
HP:0000211	Trismus
HP:0000212	Gingival overgrowth
HP:0000213	Thin lips
HP:0000214	Lip telangiectasia
HP:0000215	Thick upper lip vermilion
HP:0000216	Broad secondary alveolar ridge
HP:0000217	Xerostomia
HP:0000218	High palate
HP:0000219	Thin upper lip vermilion
HP:0000220	Velopharyngeal insufficiency
HP:0000221	Furrowed tongue
HP:0000222	Gingival hyperkeratosis
HP:0000223	Abnormality of taste sensation
HP:0000224	Decreased taste sensation
HP:0000225	Gingival bleeding
HP:0000227	Tongue telangiectasia
HP:0000228	Oral cavity teleangiectasia
HP:0000230	Gingivitis
HP:0000232	Everted lower lip vermilion
HP:0000233	Thin vermilion border
HP:0000234	Abnormality of the head
HP:0000235	Abnormality of the fontanelles and cranial sutures
HP:0000236	Abnormality of the anterior fontanelle
HP:0000237	Small anterior fontanelle
HP:0000238	Hydrocephalus
HP:0000239	Large fontanelles
HP:0000240	Abnormality of skull size
HP:0000242	Parietal bossing
HP:0000243	Trigonocephaly
HP:0000244	Brachyturricephaly
HP:0000245	Abnormality of the sinuses
HP:0000246	Sinusitis
HP:0000248	Brachycephaly
HP:0000250	Dense calvaria
HP:0000252	Microcephaly
HP:0000253	Progressive microcephaly
HP:0000255	Acute sinusitis
HP:0000256	Macrocephaly
HP:0000260	Wide anterior fontanel
HP:0000262	Turricephaly
HP:0000263	Oxycephaly
HP:0000264	Abnormality of the mastoid
HP:0000265	Mastoiditis
HP:0000267	Cranial asymmetry
HP:0000268	Dolichocephaly
HP:0000269	Prominent occiput
HP:0000270	Delayed cranial suture closure
HP:0000271	Abnormality of the face
HP:0000272	Malar flattening
HP:0000273	Facial grimacing
HP:0000274	Small face
HP:0000275	Narrow face
HP:0000276	Long face
HP:0000277	Abnormality of the mandible
HP:0000278	Retrognathia
HP:0000280	Coarse facial features
HP:0000282	Facial edema
HP:0000283	Broad face
HP:0000284	Abnormality of the ocular region
HP:0000286	Epicanthus
HP:0000287	Increased facial adipose tissue
HP:0000288	Abnormality of the philtrum
HP:0000289	Broad philtrum
HP:0000290	Abnormality of the forehead
HP:0000291	Abnormality of facial adipose tissue
HP:0000292	Loss of facial adipose tissue
HP:0000293	Full cheeks
HP:0000294	Low anterior hairline
HP:0000295	Doll-like facies
HP:0000297	Facial hypotonia
HP:0000298	Mask-like facies
HP:0000300	Oval face
HP:0000301	Abnormality of facial musculature
HP:0000303	Mandibular prognathia
HP:0000306	Abnormality of the chin
HP:0000307	Pointed chin
HP:0000308	Microretrognathia
HP:0000309	Abnormality of the midface
HP:0000311	Round face
HP:0000315	Abnormality of the orbital region
HP:0000316	Hypertelorism
HP:0000317	Facial myokymia
HP:0000319	Smooth philtrum
HP:0000320	Bird-like facies
HP:0000321	Square face
HP:0000322	Short philtrum
HP:0000324	Facial asymmetry
HP:0000325	Triangular face
HP:0000326	Abnormality of the maxilla
HP:0000327	Hypoplasia of the maxilla
HP:0000329	Facial hemangioma
HP:0000331	Small chin
HP:0000336	Prominent supraorbital ridges
HP:0000337	Broad forehead
HP:0000338	Hypomimic face
HP:0000339	Pugilistic facies
HP:0000340	Sloping forehead
HP:0000341	Narrow forehead
HP:0000343	Long philtrum
HP:0000346	Whistling appearance
HP:0000347	Micrognathia
HP:0000348	High forehead
HP:0000349	Widow's peak
HP:0000350	Small forehead
HP:0000356	Abnormality of the outer ear
HP:0000357	Abnormal location of ears
HP:0000358	Posteriorly rotated ears
HP:0000359	Abnormality of the inner ear
HP:0000360	Tinnitus
HP:0000361	Pulsatile tinnitus (tympanic paraganglioma)
HP:0000362	Otosclerosis
HP:0000363	Abnormality of earlobe
HP:0000364	Hearing abnormality
HP:0000365	Hearing impairment
HP:0000366	Abnormality of the nose
HP:0000368	Low-set, posteriorly rotated ears
HP:0000369	Low-set ears
HP:0000370	Abnormality of the middle ear
HP:0000371	Acute otitis media
HP:0000372	Abnormality of the auditory canal
HP:0000375	Abnormality of cochlea
HP:0000376	Incomplete partition of the cochlea type II
HP:0000377	Abnormality of the pinna
HP:0000378	Cupped ear
HP:0000381	Stapes ankylosis
HP:0000383	Abnormality of periauricular region
HP:0000384	Preauricular skin tag
HP:0000385	Small earlobe
HP:0000387	Absent earlobe
HP:0000388	Otitis media
HP:0000389	Chronic otitis media
HP:0000391	Thickened helices
HP:0000394	Lop ear
HP:0000395	Prominent antihelix
HP:0000396	Overfolded helix
HP:0000399	Prelingual sensorineural hearing impairment
HP:0000400	Macrotia
HP:0000402	Stenosis of the external auditory canal
HP:0000403	Recurrent otitis media
HP:0000405	Conductive hearing impairment
HP:0000407	Sensorineural hearing impairment
HP:0000408	Progressive sensorineural hearing impairment
HP:0000410	Mixed hearing impairment
HP:0000411	Protruding ear
HP:0000412	Prominent ears
HP:0000413	Atresia of the external auditory canal
HP:0000414	Bulbous nose
HP:0000415	Abnormality of the choanae
HP:0000417	Slender nose
HP:0000418	Narrow nasal ridge
HP:0000419	Abnormality of the nasal septum
HP:0000420	Short nasal septum
HP:0000421	Epistaxis
HP:0000422	Abnormality of the nasal bridge
HP:0000426	Prominent nasal bridge
HP:0000429	Abnormality of the nasal alae
HP:0000430	Hypoplastic nasal alae
HP:0000431	Wide nasal bridge
HP:0000433	Abnormality of the nasal mucosa
HP:0000434	Nasal mucosa telangiectasia
HP:0000436	Abnormality of the nasal tip
HP:0000437	Depressed nasal tip
HP:0000444	Convex nasal ridge
HP:0000445	Wide nose
HP:0000446	Narrow nasal bridge
HP:0000447	Pear-shaped nose
HP:0000448	Prominent nose
HP:0000451	Triangular nasal tip
HP:0000452	Choanal stenosis
HP:0000453	Choanal atresia
HP:0000454	Flared nostrils
HP:0000455	Broad nasal tip
HP:0000456	Bifid nasal tip
HP:0000457	Flat nose
HP:0000458	Anosmia
HP:0000460	Narrow nose
HP:0000462	Nasal polyps
HP:0000463	Anteverted nares
HP:0000464	Abnormality of the neck
HP:0000465	Webbed neck
HP:0000466	Limited neck range of motion
HP:0000467	Neck muscle weakness
HP:0000468	Increased adipose tissue around the neck
HP:0000470	Short neck
HP:0000471	Gastrointestinal angiodysplasia
HP:0000472	Long neck
HP:0000473	Spasmodic torticollis
HP:0000474	Thickened nuchal skin fold
HP:0000475	Broad neck
HP:0000476	Cystic hygroma
HP:0000478	Abnormality of the eye
HP:0000479	Abnormality of the retina
HP:0000480	Retinal coloboma
HP:0000481	Abnormality of the cornea
HP:0000482	Microcornea
HP:0000483	Astigmatism
HP:0000484	Hyperopic astigmatism
HP:0000485	Megalocornea
HP:0000486	Strabismus
HP:0000487	Congenital strabismus
HP:0000488	Retinopathy
HP:0000490	Deeply set eye
HP:0000491	Keratitis
HP:0000492	Abnormality of the eyelid
HP:0000493	Abnormality of the fovea
HP:0000494	Downslanted palpebral fissures
HP:0000495	Recurrent corneal erosions
HP:0000496	Abnormality of eye movement
HP:0000497	Globe retraction and deviation on abduction
HP:0000498	Blepharitis
HP:0000499	Abnormality of the eyelashes
HP:0000501	Glaucoma
HP:0000502	Abnormality of the conjunctiva
HP:0000503	Tortuosity of conjunctival vessels
HP:0000504	Abnormality of vision
HP:0000505	Visual impairment
HP:0000506	Telecanthus
HP:0000508	Ptosis
HP:0000509	Conjunctivitis
HP:0000510	Retinitis pigmentosa
HP:0000511	Vertical supranuclear gaze palsy
HP:0000512	Abnormal electroretinogram
HP:0000514	Slow saccadic eye movements
HP:0000517	Abnormality of the lens
HP:0000518	Cataract
HP:0000519	Congenital cataract
HP:0000520	Proptosis
HP:0000521	Abnormality of tear glands or tear production
HP:0000522	Alacrima
HP:0000523	Subcapsular cataract
HP:0000524	Conjunctival telangiectasia
HP:0000525	Abnormality of the iris
HP:0000526	Aniridia
HP:0000527	Long eyelashes
HP:0000528	Anophthalmia
HP:0000529	Progressive visual loss
HP:0000531	Corneal crystals
HP:0000532	Chorioretinal abnormality
HP:0000533	Chorioretinal atrophy
HP:0000534	Abnormality of the eyebrow
HP:0000535	Sparse eyebrow
HP:0000537	Epicanthus inversus
HP:0000538	Pseudopapilledema
HP:0000539	Abnormality of refraction
HP:0000540	Hypermetropia
HP:0000541	Retinal detachment
HP:0000542	Impaired ocular adduction
HP:0000543	Optic disc pallor
HP:0000544	External ophthalmoplegia
HP:0000545	Myopia
HP:0000546	Retinal degeneration
HP:0000547	Tapetoretinal degeneration
HP:0000548	Cone-rod dystrophy
HP:0000549	Disconjugate eye movements
HP:0000550	Abolished electroretinogram (ERG)
HP:0000551	Abnormality of color vision
HP:0000552	Tritanomaly
HP:0000553	Abnormality of the uvea
HP:0000554	Uveitis
HP:0000555	Leukocoria
HP:0000556	Retinal dystrophy
HP:0000557	Buphthalmos
HP:0000558	Rieger anomaly
HP:0000559	Corneal scarring
HP:0000561	Absent eyelashes
HP:0000563	Keratoconus
HP:0000564	Lacrimal duct atresia
HP:0000565	Esotropia
HP:0000567	Chorioretinal coloboma
HP:0000568	Microphthalmos
HP:0000570	Abnormality of saccadic eye movements
HP:0000571	Hypometric saccades
HP:0000572	Visual loss
HP:0000573	Retinal hemorrhage
HP:0000574	Thick eyebrow
HP:0000575	Scotoma
HP:0000576	Centrocecal scotoma
HP:0000577	Exotropia
HP:0000579	Nasolacrimal duct obstruction
HP:0000580	Pigmentary retinopathy
HP:0000581	Blepharophimosis
HP:0000582	Upslanted palpebral fissure
HP:0000584	Punctate corneal epithelial erosions
HP:0000585	Band keratopathy
HP:0000586	Shallow orbits
HP:0000587	Abnormality of the optic nerve
HP:0000588	Optic nerve coloboma
HP:0000589	Coloboma
HP:0000590	Progressive external ophthalmoplegia
HP:0000591	Abnormality of the sclera
HP:0000592	Blue sclerae
HP:0000593	Abnormality of the anterior chamber
HP:0000594	Shallow anterior chamber
HP:0000597	Ophthalmoparesis
HP:0000598	Abnormality of the ear
HP:0000599	Abnormality of the frontal hairline
HP:0000600	Abnormality of the pharynx
HP:0000601	Hypotelorism
HP:0000602	Ophthalmoplegia
HP:0000603	Central scotoma
HP:0000605	Supranuclear gaze palsy
HP:0000606	Abnormality of the periorbital region
HP:0000607	Periorbital wrinkles
HP:0000608	Macular degeneration
HP:0000609	Optic nerve hypoplasia
HP:0000610	Abnormality of the choroid
HP:0000611	Choroid coloboma
HP:0000612	Iris coloboma
HP:0000613	Photophobia
HP:0000614	Abnormality of the nasolacrimal system
HP:0000615	Abnormality of the pupil
HP:0000616	Miosis
HP:0000617	Abnormality of ocular smooth pursuit
HP:0000618	Blindness
HP:0000619	Impaired convergence
HP:0000620	Dacrocystitis
HP:0000621	Entropion
HP:0000622	Blurred vision
HP:0000623	Supranuclear ophthalmoplegia
HP:0000625	Cleft eyelid
HP:0000627	Posterior embryotoxon
HP:0000629	Periorbital fullness
HP:0000630	Abnormality of retinal arteries
HP:0000631	Retinal arterial tortuosity
HP:0000632	Lacrimation abnormality
HP:0000633	Decreased lacrimation
HP:0000634	Impaired ocular abduction
HP:0000635	Blue irides
HP:0000636	Upper eyelid coloboma
HP:0000637	Long palpebral fissure
HP:0000639	Nystagmus
HP:0000640	Gaze-evoked nystagmus
HP:0000641	Dysmetric saccades
HP:0000642	Red-green dyschromatopsia
HP:0000643	Blepharospasm
HP:0000646	Amblyopia
HP:0000647	Sclerocornea
HP:0000648	Optic atrophy
HP:0000649	Abnormality of vision evoked potentials
HP:0000650	Reduced amplitude of pattern visual evoked potentials
HP:0000651	Diplopia
HP:0000652	Lower eyelid coloboma
HP:0000653	Sparse eyelashes
HP:0000654	Decreased electroretinogram (ERG) amplitude
HP:0000655	Vitreoretinal degeneration
HP:0000656	Ectropion
HP:0000657	Oculomotor apraxia
HP:0000658	Eyelid apraxia
HP:0000659	Peters anomaly
HP:0000660	Lipemia retinalis
HP:0000661	Palpebral fissure narrowing on adduction
HP:0000662	Night blindness
HP:0000663	Enophthalmos
HP:0000664	Synophrys
HP:0000666	Horizontal nystagmus
HP:0000667	Phthisis bulbi
HP:0000668	Hypodontia
HP:0000670	Carious teeth
HP:0000674	Anodontia
HP:0000675	Macrodontia of permanent maxillary central incisor
HP:0000676	Abnormality of the incisor
HP:0000677	Oligodontia
HP:0000678	Dental crowding
HP:0000679	Taurodontia
HP:0000680	Delayed eruption of primary teeth
