ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.97,0.134,0.36,0.97,0.148,0.034,0.42
BLAST-S14,1.00,0.157,0.48,1.00,0.164,0.041,0.50
Naive-S11,1.00,0.190,0.34,1.00,0.189,0.020,0.32
Naive-S14,1.00,0.189,0.37,1.00,0.188,0.020,0.34
101-1,0.90,0.142,0.36,0.90,0.142,0.036,0.32
101-2,0.85,0.141,0.10,0.85,0.140,0.035,0.13
101-3,0.90,0.138,0.33,0.90,0.145,0.037,0.31
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.72,0.142,0.17,0.72,0.137,0.043,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.126,0.95,1.00,0.131,0.032,0.94
105-2,0.97,0.112,0.97,0.97,0.117,0.024,0.97
105-3,0.97,0.118,0.99,0.97,0.122,0.025,0.98
106-1,0.67,0.130,0.34,0.67,0.126,0.047,0.39
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.49,0.101,0.46,0.49,0.095,0.046,0.47
107-1,1.00,0.129,0.79,1.00,0.133,0.046,0.84
107-2,1.00,0.107,0.03,1.00,0.110,0.026,0.06
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,1.00,0.092,0.97,1.00,0.095,0.023,0.89
110-2,0.95,0.148,0.70,0.95,0.150,0.038,0.69
110-3,1.00,0.105,0.26,1.00,0.109,0.028,0.28
111-1,1.00,0.092,0.97,1.00,0.096,0.024,0.88
