ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.97,8.350,1.00,0.97,8.281,0.770,0.94
BLAST-S14,1.00,8.398,1.00,1.00,8.475,0.811,0.96
Naive-S11,1.00,7.701,0.34,1.00,7.708,0.667,0.34
Naive-S14,1.00,7.720,0.37,1.00,7.728,0.663,0.37
101-1,0.90,8.615,0.93,0.90,8.613,0.812,0.88
101-2,0.85,8.653,0.70,0.85,8.560,0.780,0.70
101-3,0.90,23.702,1.00,0.90,23.804,4.697,1.00
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.72,8.305,0.50,0.72,8.268,0.817,0.62
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,8.273,1.00,1.00,8.306,0.756,1.00
105-2,0.97,23.817,1.00,0.97,23.838,5.948,1.00
105-3,0.97,27.399,1.00,0.97,27.373,7.253,1.00
106-1,0.67,7.625,0.69,0.67,7.562,0.720,0.63
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.49,7.840,0.69,0.49,7.702,0.957,0.64
107-1,1.00,54.465,1.00,1.00,54.455,14.036,1.00
107-2,1.00,8.202,0.50,1.00,8.207,0.778,0.64
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,20.965,1.00,1.00,21.039,2.437,1.00
110-2,0.95,9.741,0.99,0.95,9.797,1.102,0.98
110-3,1.00,16.920,1.00,1.00,17.029,2.596,1.00
111-1,1.00,19.997,1.00,1.00,20.071,2.408,1.00
