ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.308,0.41,1.00,0.327,0.042,0.39
BLAST-S14,1.00,0.291,0.41,1.00,0.316,0.047,0.43
Naive-S11,1.00,0.243,0.14,1.00,0.245,0.023,0.18
Naive-S14,1.00,0.236,0.19,1.00,0.242,0.024,0.20
101-1,0.92,0.293,0.36,0.92,0.297,0.050,0.36
101-2,0.88,0.289,0.20,0.88,0.295,0.045,0.16
101-3,0.92,0.282,0.05,0.92,0.289,0.048,0.23
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.42,0.122,0.17,0.42,0.121,0.050,0.18
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.346,0.94,1.00,0.348,0.055,0.94
105-2,1.00,0.340,1.00,1.00,0.339,0.065,0.99
105-3,1.00,0.335,1.00,1.00,0.332,0.056,1.00
106-1,0.54,0.217,0.26,0.54,0.213,0.069,0.29
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.46,0.180,0.26,0.46,0.177,0.070,0.30
107-1,1.00,0.300,0.78,1.00,0.300,0.068,0.79
107-2,1.00,0.311,0.05,1.00,0.316,0.072,0.05
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.243,0.95,1.00,0.261,0.038,0.83
110-2,1.00,0.340,0.55,1.00,0.343,0.051,0.56
110-3,1.00,0.275,0.23,1.00,0.280,0.035,0.27
111-1,1.00,0.243,0.95,1.00,0.261,0.038,0.83
111-2,1.00,0.275,0.23,1.00,0.280,0.035,0.27
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.348,0.54,1.00,0.354,0.051,0.56
112-2,1.00,0.353,0.57,1.00,0.357,0.051,0.57
112-3,1.00,0.370,0.55,1.00,0.375,0.053,0.57
113-1,1.00,0.373,0.57,1.00,0.377,0.053,0.57
113-2,0.50,0.237,0.27,0.50,0.250,0.044,0.40
113-3,1.00,0.268,0.95,1.00,0.285,0.040,0.83
114-1,1.00,0.328,0.81,1.00,0.343,0.062,0.84
115-1,1.00,0.335,0.55,1.00,0.339,0.068,0.41
116-1,0.65,0.287,0.01,0.66,0.279,0.065,0.12
116-2,0.23,0.190,0.01,0.23,0.177,0.070,0.12
117-1,1.00,0.329,0.12,1.00,0.338,0.050,0.12
117-2,0.27,0.180,1.00,0.27,0.169,0.058,1.00
119-1,1.00,0.341,0.66,1.00,0.348,0.055,0.68
120-1,1.00,0.337,0.83,1.00,0.345,0.060,0.86
120-2,1.00,0.293,0.56,1.00,0.297,0.044,0.54
120-3,1.00,0.256,0.49,1.00,0.257,0.038,0.50
121-1,0.54,0.150,0.60,0.54,0.148,0.052,0.60
121-2,0.08,0.006,1.00,0.08,0.007,0.006,0.64
121-3,0.65,0.237,0.02,0.65,0.235,0.066,0.07
122-1,0.92,0.284,0.69,0.92,0.289,0.051,0.73
124-1,1.00,0.241,0.14,1.00,0.240,0.041,0.14
124-2,1.00,0.235,0.13,1.00,0.239,0.024,0.13
124-3,1.00,0.248,0.14,1.00,0.247,0.041,0.14
125-1,1.00,0.330,0.77,1.00,0.344,0.062,0.84
125-2,1.00,0.361,0.16,1.00,0.373,0.060,0.19
125-3,0.92,0.211,0.16,0.92,0.240,0.046,0.20
126-1,0.96,0.239,0.26,0.96,0.237,0.052,0.26
127-1,0.96,0.344,0.42,0.96,0.355,0.040,0.36
127-2,0.96,0.345,0.44,0.96,0.357,0.048,0.36
127-3,0.08,0.052,0.01,0.08,0.044,0.033,0.04
128-1,1.00,0.315,0.28,1.00,0.326,0.052,0.45
129-1,1.00,0.357,0.60,1.00,0.376,0.048,0.58
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.357,0.60,1.00,0.376,0.048,0.58
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.69,0.260,0.13,0.69,0.256,0.070,0.20
131-2,0.69,0.277,0.25,0.69,0.272,0.070,0.30
131-3,1.00,0.302,0.05,1.00,0.317,0.057,0.07
132-1,1.00,0.359,0.68,1.00,0.366,0.050,0.62
132-2,1.00,0.382,0.56,1.00,0.391,0.051,0.59
65-1,0.92,0.270,0.12,0.92,0.277,0.042,0.13
65-2,0.92,0.262,0.12,0.92,0.274,0.041,0.12
65-3,0.92,0.283,0.10,0.92,0.295,0.040,0.12
68-1,0.96,0.255,0.99,0.96,0.258,0.046,0.93
68-2,0.96,0.244,0.81,0.96,0.264,0.042,0.85
69-1,1.00,0.329,0.34,1.00,0.327,0.063,0.31
69-2,1.00,0.323,0.10,1.00,0.333,0.054,0.20
70-1,1.00,0.317,0.19,1.00,0.319,0.039,0.22
70-2,1.00,0.258,0.18,1.00,0.265,0.034,0.16
70-3,1.00,0.242,0.10,1.00,0.253,0.032,0.10
72-1,0.88,0.276,0.01,0.88,0.284,0.049,0.18
72-2,0.58,0.146,0.01,0.58,0.144,0.059,0.02
73-1,1.00,0.321,0.99,1.00,0.329,0.060,0.86
73-2,1.00,0.330,0.98,1.00,0.337,0.058,0.85
73-3,0.96,0.209,1.00,0.96,0.206,0.052,1.00
74-1,0.27,0.242,0.09,0.27,0.247,0.070,0.12
74-2,0.96,0.265,0.14,0.96,0.266,0.057,0.15
75-1,1.00,0.323,0.34,1.00,0.324,0.062,0.31
75-2,1.00,0.331,0.10,1.00,0.338,0.060,0.22
79-1,0.88,0.359,0.10,0.88,0.358,0.045,0.11
79-2,0.77,0.347,0.10,0.77,0.346,0.048,0.10
79-3,0.92,0.357,0.04,0.92,0.361,0.054,0.06
80-1,0.42,0.288,0.01,0.42,0.297,0.076,0.30
80-2,0.96,0.322,0.14,0.96,0.327,0.068,0.31
81-1,0.81,0.326,0.34,0.81,0.319,0.060,0.40
81-2,0.81,0.326,0.34,0.81,0.319,0.060,0.40
82-1,1.00,0.300,0.50,1.00,0.303,0.056,0.55
83-1,0.96,0.249,0.23,0.96,0.255,0.044,0.24
83-2,0.92,0.339,0.13,0.92,0.344,0.051,0.14
84-1,0.77,0.251,0.11,0.77,0.259,0.062,0.08
85-1,1.00,0.389,0.13,1.00,0.389,0.050,0.13
85-2,1.00,0.389,0.13,1.00,0.389,0.050,0.13
86-1,1.00,0.233,0.70,1.00,0.235,0.040,0.70
86-2,1.00,0.233,0.70,1.00,0.235,0.040,0.70
86-3,0.85,0.127,0.31,0.85,0.128,0.034,0.34
87-1,0.96,0.318,0.46,0.96,0.329,0.055,0.44
87-2,0.96,0.345,0.23,0.96,0.359,0.056,0.23
87-3,0.81,0.353,0.24,0.81,0.352,0.065,0.34
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,1.00,0.311,0.09,1.00,0.316,0.057,0.25
95-1,0.96,0.282,0.87,0.96,0.281,0.047,0.90
95-2,0.96,0.209,0.99,0.96,0.208,0.049,0.93
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
99-1,1.00,0.368,0.12,1.00,0.371,0.056,0.13
