ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,16.540,1.00,1.00,16.548,1.930,0.96
BLAST-S14,1.00,17.141,1.00,1.00,16.913,2.003,0.91
Naive-S11,1.00,16.018,0.26,1.00,15.993,1.884,0.27
Naive-S14,1.00,16.018,0.25,1.00,15.996,1.886,0.27
101-1,0.92,14.832,0.40,0.92,14.786,1.874,0.45
101-2,0.88,15.336,0.40,0.88,15.204,1.946,0.46
101-3,0.92,19.457,1.00,0.92,19.608,2.530,0.93
102-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
102-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
102-3,0.00,17.141,1.00,0.00,17.165,2.106,1.00
103-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
103-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
103-3,0.42,16.569,0.17,0.42,16.536,2.141,0.24
104-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
104-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
104-3,0.00,17.141,1.00,0.00,17.165,2.106,1.00
105-1,1.00,15.880,0.98,1.00,15.805,1.791,0.98
105-2,1.00,28.999,1.00,1.00,29.147,4.740,1.00
105-3,1.00,47.754,1.00,1.00,47.836,8.983,1.00
106-1,0.54,14.879,0.26,0.54,14.927,1.982,0.30
106-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
106-3,0.46,15.102,0.26,0.46,15.147,1.972,0.31
107-1,1.00,123.846,1.00,1.00,124.153,24.428,0.99
107-2,1.00,14.690,0.07,1.00,14.631,1.931,0.11
107-3,0.00,17.141,1.00,0.00,17.165,2.106,1.00
108-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
109-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
110-1,1.00,20.864,1.00,1.00,21.150,2.669,1.00
110-2,1.00,16.075,0.96,1.00,16.104,1.923,0.93
110-3,1.00,15.770,0.83,1.00,15.850,2.120,0.88
111-1,1.00,20.864,1.00,1.00,21.150,2.669,1.00
111-2,1.00,15.770,0.83,1.00,15.850,2.120,0.88
111-3,0.00,17.141,1.00,0.00,17.165,2.106,1.00
112-1,1.00,17.463,0.93,1.00,17.406,2.102,0.87
112-2,1.00,17.443,0.94,1.00,17.377,2.098,0.87
112-3,1.00,16.650,0.86,1.00,16.474,1.997,0.81
113-1,1.00,16.646,0.84,1.00,16.449,1.990,0.81
113-2,0.50,15.402,0.83,0.50,15.448,2.126,0.88
113-3,1.00,19.410,1.00,1.00,19.711,2.565,1.00
114-1,1.00,19.299,1.00,1.00,19.567,2.376,1.00
115-1,1.00,13.812,0.55,1.00,13.796,1.953,0.62
116-1,0.65,14.790,0.70,0.66,14.825,1.983,0.73
116-2,0.23,16.656,0.70,0.23,16.674,2.135,0.75
117-1,1.00,14.225,0.14,1.00,13.994,1.708,0.15
117-2,0.27,21.961,1.00,0.27,22.558,4.491,1.00
119-1,1.00,15.376,0.87,1.00,15.411,1.882,0.87
120-1,1.00,20.232,1.00,1.00,20.514,2.750,1.00
120-2,1.00,15.398,0.59,1.00,15.377,1.956,0.60
120-3,1.00,15.990,0.57,1.00,15.980,2.001,0.58
121-1,0.54,16.754,0.60,0.54,16.726,2.136,0.71
121-2,0.08,17.126,1.00,0.08,17.150,2.106,1.00
121-3,0.65,16.019,0.02,0.65,15.877,2.189,0.25
122-1,0.92,15.293,1.00,0.92,15.206,1.901,0.96
124-1,1.00,16.265,0.57,1.00,16.235,1.985,0.59
124-2,1.00,16.446,0.24,1.00,16.462,1.927,0.24
124-3,1.00,16.219,0.46,1.00,16.150,1.948,0.52
125-1,1.00,19.299,1.00,1.00,19.567,2.376,1.00
125-2,1.00,16.222,0.68,1.00,16.242,2.115,0.72
125-3,0.92,17.141,1.00,0.92,17.127,2.082,0.97
126-1,0.96,16.488,0.42,0.96,16.465,2.069,0.41
127-1,0.96,14.685,0.57,0.96,14.667,1.686,0.58
127-2,0.96,14.706,0.46,0.96,14.560,1.608,0.50
127-3,0.08,17.141,1.00,0.08,16.954,2.024,0.76
128-1,1.00,34.412,1.00,1.00,34.643,7.430,1.00
129-1,1.00,15.211,0.71,1.00,14.939,1.682,0.70
129-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
129-3,1.00,15.211,0.71,1.00,14.939,1.682,0.70
130-1,0.00,17.141,1.00,0.00,17.165,2.106,1.00
130-2,0.00,17.141,1.00,0.00,17.165,2.106,1.00
130-3,0.00,17.141,1.00,0.00,17.165,2.106,1.00
131-1,0.69,15.683,0.72,0.69,15.670,1.971,0.83
131-2,0.69,16.003,0.66,0.69,15.891,1.855,0.72
131-3,1.00,15.281,0.34,1.00,15.210,1.957,0.41
132-1,1.00,16.438,0.78,1.00,16.589,2.190,0.78
132-2,1.00,15.505,0.74,1.00,15.547,2.018,0.75
65-1,0.92,16.077,0.22,0.92,15.894,1.846,0.25
65-2,0.92,16.082,0.25,0.92,15.867,1.849,0.24
65-3,0.92,16.095,0.25,0.92,15.885,1.857,0.25
68-1,0.96,38.461,1.00,0.96,38.540,8.187,1.00
68-2,0.96,41.248,1.00,0.96,41.219,8.047,1.00
69-1,1.00,15.983,0.89,1.00,15.815,1.767,0.82
69-2,1.00,15.186,0.61,1.00,15.146,1.888,0.70
70-1,1.00,15.701,0.36,1.00,15.625,1.965,0.45
70-2,1.00,15.815,0.20,1.00,15.790,1.786,0.20
70-3,1.00,15.692,0.15,1.00,15.683,1.864,0.15
72-1,0.88,16.808,0.62,0.88,16.759,2.122,0.65
72-2,0.58,16.584,0.40,0.58,16.444,2.109,0.21
73-1,1.00,52.937,1.00,1.00,53.434,19.806,1.00
73-2,1.00,37.693,1.00,1.00,38.138,13.381,1.00
73-3,0.96,252.147,1.00,0.96,251.247,52.301,1.00
74-1,0.27,15.264,0.21,0.27,15.157,2.034,0.31
74-2,0.96,15.260,0.99,0.96,15.329,1.906,0.99
75-1,1.00,15.983,0.89,1.00,15.767,1.778,0.83
75-2,1.00,15.751,0.78,1.00,15.592,1.913,0.84
79-1,0.88,14.781,0.34,0.88,14.590,1.614,0.29
79-2,0.77,14.180,0.23,0.77,14.037,1.583,0.22
