ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.252,0.41,1.00,0.275,0.039,0.40
BLAST-S14,1.00,0.259,0.55,1.00,0.284,0.045,0.45
Naive-S11,1.00,0.217,0.14,1.00,0.217,0.019,0.14
Naive-S14,1.00,0.220,0.15,1.00,0.221,0.020,0.16
101-1,0.92,0.273,0.36,0.92,0.278,0.048,0.37
101-2,0.88,0.283,0.20,0.88,0.284,0.049,0.17
101-3,0.92,0.268,0.25,0.92,0.271,0.047,0.24
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.42,0.106,0.17,0.42,0.105,0.049,0.18
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.352,0.94,1.00,0.354,0.053,0.94
105-2,1.00,0.335,1.00,1.00,0.340,0.060,0.99
105-3,1.00,0.332,1.00,1.00,0.330,0.054,1.00
106-1,0.54,0.185,0.26,0.54,0.181,0.060,0.29
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.46,0.157,0.26,0.46,0.153,0.060,0.30
107-1,1.00,0.278,0.79,1.00,0.277,0.063,0.79
107-2,1.00,0.300,0.05,1.00,0.305,0.070,0.05
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.212,0.89,1.00,0.235,0.036,0.81
110-2,1.00,0.306,0.55,1.00,0.313,0.042,0.52
110-3,1.00,0.268,0.25,1.00,0.273,0.034,0.22
111-1,1.00,0.212,0.89,1.00,0.235,0.036,0.81
111-2,1.00,0.268,0.25,1.00,0.273,0.034,0.22
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.328,0.46,1.00,0.334,0.043,0.51
112-2,1.00,0.329,0.48,1.00,0.336,0.043,0.52
112-3,1.00,0.343,0.46,1.00,0.352,0.044,0.52
113-1,1.00,0.346,0.48,1.00,0.355,0.045,0.53
113-2,0.50,0.203,0.27,0.50,0.220,0.042,0.49
113-3,1.00,0.232,0.95,1.00,0.259,0.039,0.81
114-1,1.00,0.310,0.92,1.00,0.323,0.061,0.85
115-1,1.00,0.317,0.55,1.00,0.321,0.065,0.43
116-1,0.65,0.288,0.01,0.66,0.280,0.066,0.12
116-2,0.23,0.189,0.01,0.23,0.175,0.070,0.12
117-1,1.00,0.310,0.12,1.00,0.322,0.046,0.12
117-2,0.27,0.142,1.00,0.27,0.130,0.047,1.00
119-1,1.00,0.305,0.70,1.00,0.312,0.052,0.68
120-1,1.00,0.314,0.81,1.00,0.328,0.058,0.85
120-2,1.00,0.265,0.54,1.00,0.275,0.041,0.51
120-3,1.00,0.228,0.49,1.00,0.230,0.036,0.49
121-1,0.54,0.144,0.60,0.54,0.142,0.056,0.60
121-2,0.08,0.002,0.00,0.08,0.003,0.001,0.43
121-3,0.65,0.227,0.02,0.65,0.225,0.068,0.07
122-1,0.92,0.261,0.69,0.92,0.272,0.049,0.75
124-1,1.00,0.238,0.14,1.00,0.236,0.034,0.14
124-2,1.00,0.215,0.11,1.00,0.219,0.020,0.12
124-3,1.00,0.246,0.14,1.00,0.244,0.034,0.14
125-1,1.00,0.310,0.92,1.00,0.324,0.061,0.85
125-2,1.00,0.343,0.21,1.00,0.356,0.058,0.19
125-3,0.92,0.188,0.16,0.92,0.213,0.042,0.17
126-1,0.96,0.226,0.26,0.96,0.223,0.052,0.26
127-1,0.96,0.303,0.42,0.96,0.312,0.036,0.37
127-2,0.96,0.305,0.30,0.96,0.317,0.044,0.36
127-3,0.08,0.047,0.01,0.08,0.041,0.030,0.04
128-1,1.00,0.279,0.28,1.00,0.286,0.052,0.41
129-1,1.00,0.327,0.50,1.00,0.350,0.044,0.56
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.327,0.50,1.00,0.350,0.044,0.56
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.69,0.253,0.13,0.69,0.249,0.069,0.22
131-2,0.69,0.267,0.25,0.69,0.263,0.069,0.33
131-3,1.00,0.275,0.10,1.00,0.287,0.056,0.08
132-1,1.00,0.348,0.54,1.00,0.355,0.047,0.57
132-2,1.00,0.381,0.54,1.00,0.385,0.048,0.56
65-1,0.92,0.231,0.13,0.92,0.246,0.041,0.14
65-2,0.92,0.228,0.12,0.92,0.245,0.040,0.14
65-3,0.92,0.245,0.10,0.92,0.264,0.039,0.13
68-1,0.96,0.245,0.99,0.96,0.242,0.044,0.95
68-2,0.96,0.225,0.81,0.96,0.246,0.038,0.86
69-1,1.00,0.317,0.34,1.00,0.315,0.060,0.31
69-2,1.00,0.296,0.39,1.00,0.311,0.048,0.20
70-1,1.00,0.283,0.19,1.00,0.290,0.037,0.21
70-2,1.00,0.237,0.14,1.00,0.242,0.029,0.14
70-3,1.00,0.221,0.07,1.00,0.224,0.026,0.09
72-1,0.88,0.250,0.39,0.88,0.253,0.050,0.24
72-2,0.58,0.134,0.01,0.58,0.133,0.057,0.02
73-1,1.00,0.305,0.71,1.00,0.312,0.059,0.83
73-2,1.00,0.304,0.98,1.00,0.309,0.055,0.84
73-3,0.96,0.188,1.00,0.96,0.186,0.047,1.00
74-1,0.27,0.223,0.09,0.27,0.230,0.066,0.12
74-2,0.96,0.241,0.14,0.96,0.244,0.055,0.15
75-1,1.00,0.313,0.34,1.00,0.313,0.060,0.34
75-2,1.00,0.314,0.39,1.00,0.320,0.056,0.26
79-1,0.88,0.345,0.10,0.88,0.344,0.043,0.10
79-2,0.77,0.329,0.10,0.77,0.327,0.046,0.10
79-3,0.92,0.327,0.04,0.92,0.335,0.048,0.06
80-1,0.42,0.284,0.01,0.42,0.290,0.073,0.30
80-2,0.96,0.308,0.19,0.96,0.311,0.065,0.33
81-1,0.81,0.292,0.34,0.81,0.286,0.056,0.41
81-2,0.81,0.292,0.34,0.81,0.286,0.056,0.41
82-1,1.00,0.276,0.50,1.00,0.279,0.055,0.58
83-1,0.96,0.225,0.10,0.96,0.239,0.038,0.21
83-2,0.92,0.323,0.08,0.92,0.332,0.049,0.11
84-1,0.77,0.216,0.06,0.77,0.226,0.054,0.08
85-1,1.00,0.380,0.13,1.00,0.379,0.045,0.13
85-2,1.00,0.380,0.13,1.00,0.379,0.045,0.13
86-1,1.00,0.199,0.70,1.00,0.201,0.037,0.68
86-2,1.00,0.199,0.70,1.00,0.201,0.037,0.68
86-3,0.85,0.107,0.31,0.85,0.108,0.033,0.33
87-1,0.96,0.301,0.46,0.96,0.310,0.052,0.44
87-2,0.96,0.342,0.23,0.96,0.351,0.056,0.23
87-3,0.81,0.345,0.24,0.81,0.344,0.061,0.34
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,1.00,0.288,0.72,1.00,0.296,0.057,0.39
95-1,0.96,0.264,0.87,0.96,0.261,0.045,0.90
95-2,0.96,0.191,0.99,0.96,0.187,0.047,0.95
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
99-1,1.00,0.344,0.14,1.00,0.345,0.054,0.15
