ID-model,GO:0008150,GO:0044699,GO:0009987
BLAST-S11,NaN,0.52,0.62
BLAST-S14,NaN,0.53,0.51
Naive-S11,NaN,0.50,0.50
Naive-S14,NaN,0.50,0.50
101-1,NaN,0.68,0.53
101-2,NaN,0.63,0.71
101-3,NaN,0.47,0.46
102-1,NaN,NaN,NaN
102-2,NaN,NaN,NaN
102-3,NaN,NaN,NaN
103-1,NaN,NaN,NaN
103-2,NaN,NaN,NaN
103-3,NaN,0.56,0.46
104-1,NaN,NaN,NaN
104-2,NaN,NaN,NaN
104-3,NaN,NaN,NaN
105-1,NaN,0.47,0.44
105-2,NaN,0.46,0.49
105-3,NaN,0.52,0.51
106-1,NaN,0.71,0.73
106-2,NaN,NaN,NaN
106-3,NaN,0.70,0.80
107-1,NaN,0.48,0.36
107-2,NaN,0.45,0.54
107-3,NaN,NaN,NaN
108-1,NaN,NaN,NaN
109-1,NaN,NaN,NaN
110-1,NaN,0.47,0.52
110-2,NaN,0.69,0.76
110-3,NaN,0.46,0.73
111-1,NaN,0.47,0.52
111-2,NaN,0.46,0.73
111-3,NaN,NaN,NaN
112-1,NaN,0.61,0.69
112-2,NaN,0.61,0.68
112-3,NaN,0.69,0.68
113-1,NaN,0.69,0.67
113-2,NaN,0.44,0.61
113-3,NaN,0.54,0.52
114-1,NaN,0.38,0.47
115-1,NaN,0.47,0.47
116-1,NaN,0.55,0.47
116-2,NaN,1.00,0.25
117-1,NaN,0.64,0.65
117-2,NaN,0.50,0.62
119-1,NaN,0.61,0.64
120-1,NaN,0.38,0.47
120-2,NaN,0.62,0.80
120-3,NaN,0.61,0.52
121-1,NaN,0.30,0.34
121-2,NaN,0.50,NaN
121-3,NaN,0.57,0.44
122-1,NaN,0.39,0.46
124-1,NaN,0.50,0.41
124-2,NaN,0.61,0.51
124-3,NaN,0.54,0.37
125-1,NaN,0.38,0.47
125-2,NaN,0.43,0.40
125-3,NaN,0.62,0.50
126-1,NaN,0.57,0.67
127-1,NaN,0.69,0.66
127-2,NaN,0.62,0.65
127-3,NaN,0.00,0.00
128-1,NaN,0.82,0.64
129-1,NaN,0.59,0.60
129-2,NaN,NaN,NaN
129-3,NaN,0.59,0.60
130-1,NaN,NaN,NaN
130-2,NaN,NaN,NaN
130-3,NaN,NaN,NaN
131-1,NaN,0.24,0.48
131-2,NaN,0.28,0.44
131-3,NaN,0.35,0.42
132-1,NaN,0.56,0.71
132-2,NaN,0.63,0.68
65-1,NaN,0.47,0.59
65-2,NaN,0.46,0.58
65-3,NaN,0.46,0.55
68-1,NaN,0.43,0.40
68-2,NaN,0.47,0.37
69-1,NaN,0.50,0.35
69-2,NaN,0.55,0.42
70-1,NaN,0.63,0.59
70-2,NaN,0.68,0.72
70-3,NaN,0.64,0.49
72-1,NaN,0.51,0.54
72-2,NaN,0.64,0.39
73-1,NaN,0.57,0.68
73-2,NaN,0.57,0.68
73-3,NaN,0.53,0.50
74-1,NaN,0.73,0.73
74-2,NaN,0.47,0.53
75-1,NaN,0.47,0.35
75-2,NaN,0.52,0.41
79-1,NaN,0.53,0.87
79-2,NaN,0.58,0.93
79-3,NaN,0.56,0.58
80-1,NaN,0.57,0.68
80-2,NaN,0.46,0.53
81-1,NaN,0.57,0.46
81-2,NaN,0.57,0.46
82-1,NaN,0.76,0.59
83-1,NaN,0.44,0.66
83-2,NaN,0.69,0.64
84-1,NaN,0.78,0.63
85-1,NaN,0.63,0.55
85-2,NaN,0.63,0.55
86-1,NaN,0.48,0.57
86-2,NaN,0.48,0.57
86-3,NaN,0.75,0.56
87-1,NaN,0.55,0.39
87-2,NaN,0.88,0.70
87-3,NaN,0.61,0.49
88-1,NaN,NaN,NaN
89-1,NaN,NaN,NaN
89-2,NaN,NaN,NaN
89-3,NaN,NaN,NaN
91-1,NaN,NaN,NaN
91-2,NaN,NaN,NaN
91-3,NaN,NaN,NaN
93-1,NaN,NaN,NaN
93-2,NaN,NaN,NaN
94-1,NaN,0.40,0.45
95-1,NaN,0.43,0.49
95-2,NaN,0.48,0.44
96-1,NaN,NaN,NaN
96-2,NaN,NaN,NaN
96-3,NaN,NaN,NaN
97-1,NaN,NaN,NaN
97-2,NaN,NaN,NaN
97-3,NaN,NaN,NaN
98-1,NaN,NaN,NaN
99-1,NaN,0.48,0.62
