ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,16.540,1.00,1.00,16.548,1.930,0.96
BLAST-S14,1.00,17.141,1.00,1.00,16.913,2.003,0.91
Naive-S11,1.00,16.018,0.26,1.00,15.993,1.884,0.27
Naive-S14,1.00,16.018,0.25,1.00,15.996,1.886,0.27
101-1,0.92,14.218,0.40,0.92,14.120,1.721,0.47
101-2,0.88,14.767,0.53,0.88,14.591,1.850,0.47
101-3,0.92,19.565,1.00,0.92,19.711,2.715,0.94
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.42,12.617,0.33,0.42,12.518,2.157,0.32
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,15.880,0.98,1.00,15.805,1.791,0.98
105-2,1.00,28.999,1.00,1.00,29.147,4.740,1.00
105-3,1.00,47.754,1.00,1.00,47.836,8.983,1.00
106-1,0.54,14.385,0.26,0.54,14.480,2.255,0.30
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.46,15.059,0.26,0.46,15.151,2.553,0.32
107-1,1.00,123.846,1.00,1.00,124.153,24.428,0.99
107-2,1.00,14.690,0.07,1.00,14.631,1.931,0.11
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,20.864,1.00,1.00,21.150,2.669,1.00
110-2,1.00,16.075,0.96,1.00,16.104,1.923,0.93
110-3,1.00,15.770,0.83,1.00,15.850,2.120,0.88
111-1,1.00,20.864,1.00,1.00,21.150,2.669,1.00
111-2,1.00,15.770,0.83,1.00,15.850,2.120,0.88
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,17.463,0.93,1.00,17.406,2.102,0.87
112-2,1.00,17.443,0.94,1.00,17.377,2.098,0.87
112-3,1.00,16.650,0.86,1.00,16.474,1.997,0.81
113-1,1.00,16.646,0.84,1.00,16.449,1.990,0.81
113-2,0.50,15.818,0.83,0.50,15.879,3.035,0.89
113-3,1.00,19.410,1.00,1.00,19.711,2.565,1.00
114-1,1.00,19.299,1.00,1.00,19.567,2.376,1.00
115-1,1.00,13.812,0.55,1.00,13.796,1.953,0.62
116-1,0.65,13.596,0.70,0.66,13.612,2.558,0.74
116-2,0.23,10.207,0.70,0.23,10.213,3.849,0.75
117-1,1.00,14.225,0.14,1.00,13.994,1.708,0.15
117-2,0.27,58.005,1.00,0.27,57.829,16.292,1.00
119-1,1.00,15.376,0.87,1.00,15.411,1.882,0.87
120-1,1.00,20.232,1.00,1.00,20.514,2.750,1.00
120-2,1.00,15.398,0.59,1.00,15.377,1.956,0.60
120-3,1.00,15.990,0.57,1.00,15.980,2.001,0.58
121-1,0.54,14.888,1.00,0.54,14.569,2.245,0.86
121-2,0.08,10.910,1.00,0.08,10.902,3.156,1.00
121-3,0.65,13.331,0.56,0.65,13.100,1.970,0.42
122-1,0.92,15.077,1.00,0.92,14.988,1.989,0.97
124-1,1.00,16.265,0.57,1.00,16.235,1.985,0.59
124-2,1.00,16.446,0.24,1.00,16.462,1.927,0.24
124-3,1.00,16.219,0.46,1.00,16.150,1.948,0.52
125-1,1.00,19.299,1.00,1.00,19.567,2.376,1.00
125-2,1.00,16.222,0.68,1.00,16.242,2.115,0.72
125-3,0.92,16.988,1.00,0.92,16.966,2.205,0.97
126-1,0.96,16.035,0.42,0.96,16.017,2.119,0.41
127-1,0.96,15.009,0.57,0.96,14.995,1.721,0.58
127-2,0.96,15.054,0.46,0.96,14.896,1.636,0.50
127-3,0.08,26.308,1.00,0.08,24.192,9.300,0.76
128-1,1.00,34.412,1.00,1.00,34.643,7.430,1.00
129-1,1.00,15.211,0.71,1.00,14.939,1.682,0.70
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,15.211,0.71,1.00,14.939,1.682,0.70
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.69,16.026,0.96,0.69,15.841,2.562,0.88
131-2,0.69,16.599,0.74,0.69,15.940,2.435,0.81
131-3,1.00,15.281,0.34,1.00,15.210,1.957,0.41
132-1,1.00,16.438,0.78,1.00,16.589,2.190,0.78
132-2,1.00,15.505,0.74,1.00,15.547,2.018,0.75
65-1,0.92,16.473,0.26,0.92,16.240,1.961,0.26
65-2,0.92,16.412,0.25,0.92,16.207,1.962,0.24
65-3,0.92,16.431,0.25,0.92,16.228,1.973,0.25
68-1,0.96,39.592,1.00,0.96,39.638,8.551,1.00
68-2,0.96,42.535,1.00,0.96,42.472,8.358,1.00
69-1,1.00,15.983,0.89,1.00,15.815,1.767,0.82
69-2,1.00,15.186,0.61,1.00,15.146,1.888,0.70
70-1,1.00,15.701,0.36,1.00,15.625,1.965,0.45
70-2,1.00,15.815,0.20,1.00,15.790,1.786,0.20
70-3,1.00,15.692,0.15,1.00,15.683,1.864,0.15
72-1,0.88,16.973,0.62,0.88,16.947,2.315,0.65
72-2,0.58,17.083,0.40,0.58,17.017,2.874,0.33
73-1,1.00,52.937,1.00,1.00,53.434,19.806,1.00
73-2,1.00,37.693,1.00,1.00,38.138,13.381,1.00
73-3,0.96,262.218,1.00,0.96,261.379,53.469,1.00
74-1,0.27,6.992,0.59,0.27,7.062,2.154,0.59
74-2,0.96,15.820,0.99,0.96,15.885,1.899,0.99
75-1,1.00,15.983,0.89,1.00,15.767,1.778,0.83
75-2,1.00,15.751,0.78,1.00,15.592,1.913,0.84
79-1,0.88,15.359,0.34,0.88,15.192,1.783,0.30
79-2,0.77,14.485,0.23,0.77,14.339,1.793,0.24
