ID-model,GO:0008150,GO:0032501,GO:0044707,GO:0007275,GO:0044699,GO:0044767,GO:0048856,GO:0032502
BLAST-S11,NaN,0.79,0.79,0.77,0.64,0.61,0.62,0.62
BLAST-S14,NaN,0.77,0.77,0.76,0.72,0.67,0.60,0.60
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.71,0.71,0.69,0.45,0.62,0.63,0.55
101-2,NaN,0.76,0.75,0.75,0.57,0.70,0.73,0.69
101-3,NaN,0.74,0.74,0.74,0.38,0.54,0.54,0.60
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.75,0.75,0.75,0.50,0.50,0.50,0.75
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.81,0.81,0.81,0.57,0.66,0.66,0.71
105-2,NaN,0.63,0.63,0.63,0.67,0.63,0.62,0.73
105-3,NaN,0.82,0.82,0.82,0.70,0.75,0.70,0.86
106-1,NaN,0.70,0.70,0.70,0.70,0.60,0.60,0.70
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.70,0.70,0.70,0.70,0.60,0.60,0.70
107-1,NaN,0.71,0.71,0.70,0.62,0.60,0.56,0.69
107-2,NaN,0.47,0.47,0.47,0.51,0.35,0.35,0.47
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.66,0.66,0.65,0.88,0.64,0.68,0.66
110-2,NaN,0.78,0.78,0.78,0.69,0.68,0.68,0.70
110-3,NaN,0.41,0.41,0.41,0.59,0.26,0.26,0.33
111-1,NaN,0.66,0.66,0.64,0.84,0.63,0.66,0.66
111-2,NaN,0.42,0.42,0.42,0.51,0.23,0.23,0.31
111-3,NaN,0.88,0.88,0.88,0.60,0.88,0.88,0.88
112-1,NaN,0.56,0.54,0.54,0.72,0.58,0.62,0.62
112-2,NaN,0.59,0.58,0.58,0.72,0.58,0.64,0.62
112-3,NaN,0.56,0.54,0.54,0.72,0.58,0.62,0.62
113-1,NaN,0.59,0.58,0.58,0.72,0.58,0.64,0.62
113-2,NaN,0.35,0.35,0.35,0.81,0.40,0.40,0.50
113-3,NaN,0.66,0.66,0.64,0.84,0.63,0.66,0.66
114-1,NaN,0.74,0.74,0.74,0.59,0.59,0.56,0.68
115-1,NaN,0.62,0.62,0.62,0.29,0.64,0.65,0.69
116-1,NaN,0.66,0.66,0.66,0.23,0.50,0.55,0.63
116-2,NaN,0.67,0.67,0.67,0.56,0.50,0.67,0.67
117-1,NaN,0.72,0.72,0.71,0.54,0.74,0.73,0.58
117-2,NaN,0.69,0.69,0.69,0.56,0.71,0.71,0.69
119-1,NaN,0.77,0.77,0.76,0.70,0.67,0.72,0.73
120-1,NaN,0.75,0.75,0.75,0.56,0.67,0.59,0.67
120-2,NaN,0.60,0.60,0.60,0.82,0.63,0.58,0.51
120-3,NaN,0.62,0.62,0.62,0.48,0.50,0.54,0.60
121-1,NaN,0.80,0.80,0.80,0.63,0.60,0.60,0.80
121-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121-3,NaN,0.83,0.83,0.83,0.61,0.70,0.62,0.83
122-1,NaN,0.83,0.83,0.83,0.61,0.65,0.65,0.83
124-1,NaN,0.73,0.73,0.65,0.68,0.67,0.62,0.63
124-2,NaN,0.38,0.38,0.50,0.66,0.50,0.50,0.40
124-3,NaN,0.73,0.73,0.65,0.61,0.67,0.62,0.63
125-1,NaN,0.74,0.74,0.74,0.59,0.59,0.56,0.68
125-2,NaN,0.65,0.65,0.65,0.68,0.74,0.68,0.69
125-3,NaN,0.80,0.80,0.79,0.78,0.64,0.55,0.71
126-1,NaN,0.52,0.52,0.48,0.28,0.67,0.58,0.64
127-1,NaN,0.78,0.81,0.78,0.49,0.70,0.70,0.67
127-2,NaN,0.58,0.60,0.60,0.33,0.64,0.68,0.72
127-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
128-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-1,NaN,0.75,0.75,0.79,0.59,0.58,0.62,0.63
129-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129-3,NaN,0.75,0.75,0.79,0.59,0.58,0.62,0.63
130-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131-1,NaN,0.74,0.74,0.74,0.49,0.71,0.70,0.74
131-2,NaN,0.77,0.77,0.77,0.51,0.71,0.75,0.77
131-3,NaN,0.58,0.58,0.58,0.36,0.64,0.66,0.59
132-1,NaN,0.58,0.57,0.57,0.80,0.60,0.64,0.62
132-2,NaN,0.58,0.57,0.57,0.80,0.60,0.64,0.62
65-1,NaN,0.65,0.65,0.67,0.75,0.83,0.87,0.72
65-2,NaN,0.65,0.65,0.67,0.75,0.83,0.87,0.72
65-3,NaN,0.65,0.65,0.65,0.75,0.85,0.89,0.72
68-1,NaN,0.90,0.90,0.92,0.67,0.82,0.82,0.87
68-2,NaN,0.83,0.83,0.92,0.64,0.77,0.77,0.82
69-1,NaN,0.40,0.40,0.40,0.29,0.36,0.45,0.48
69-2,NaN,0.31,0.31,0.29,0.34,0.37,0.43,0.43
70-1,NaN,0.68,0.75,0.75,0.68,0.78,0.79,0.76
70-2,NaN,0.80,0.70,0.83,0.78,0.50,0.77,0.73
70-3,NaN,0.78,0.78,0.78,0.76,0.66,0.81,0.82
72-1,NaN,0.85,0.85,0.85,0.80,0.73,0.73,0.85
72-2,NaN,0.82,0.82,0.77,0.86,0.70,0.57,0.77
73-1,NaN,0.48,0.48,0.48,0.41,0.63,0.59,0.62
73-2,NaN,0.57,0.57,0.57,0.47,0.71,0.70,0.73
73-3,NaN,0.48,0.48,0.61,0.50,0.44,0.44,0.46
74-1,NaN,0.86,0.86,0.86,0.48,0.83,0.83,0.85
74-2,NaN,0.65,0.65,0.61,0.46,0.63,0.58,0.56
75-1,NaN,0.60,0.59,0.59,0.35,0.43,0.53,0.63
75-2,NaN,0.58,0.58,0.58,0.41,0.43,0.52,0.64
79-1,NaN,0.52,0.52,0.47,0.43,0.74,0.76,0.59
79-2,NaN,0.69,0.69,0.62,0.94,0.76,0.90,0.75
79-3,NaN,0.60,0.60,0.54,0.39,0.74,0.74,0.67
80-1,NaN,0.85,0.85,0.85,0.48,0.79,0.83,0.85
80-2,NaN,0.75,0.75,0.70,0.54,0.68,0.66,0.65
81-1,NaN,0.73,0.73,0.68,0.43,0.70,0.70,0.68
81-2,NaN,0.73,0.73,0.68,0.43,0.70,0.70,0.68
82-1,NaN,0.85,0.85,0.85,0.61,0.68,0.71,0.77
83-1,NaN,0.72,0.67,0.60,0.47,0.83,0.85,0.66
83-2,NaN,0.73,0.73,0.74,0.43,0.62,0.64,0.64
84-1,NaN,0.69,0.69,0.56,0.64,0.63,0.69,0.64
85-1,NaN,0.72,0.72,0.72,0.63,0.74,0.76,0.72
85-2,NaN,0.72,0.72,0.72,0.63,0.74,0.76,0.72
86-1,NaN,0.39,0.41,0.54,0.57,0.63,0.60,0.64
86-2,NaN,0.39,0.41,0.54,0.57,0.63,0.60,0.64
86-3,NaN,0.60,0.60,0.60,0.48,0.63,0.63,0.60
87-1,NaN,0.73,0.73,0.75,0.70,0.77,0.74,0.76
87-2,NaN,0.80,0.80,0.81,0.57,0.67,0.65,0.69
87-3,NaN,0.60,0.60,0.69,0.58,0.64,0.64,0.69
88-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94-1,NaN,0.64,0.64,0.64,0.50,0.69,0.69,0.70
95-1,NaN,0.88,0.88,0.88,0.61,0.74,0.74,0.80
95-2,NaN,0.82,0.82,0.84,0.64,0.71,0.71,0.76
96-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
