ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.239,0.52,1.00,0.246,0.047,0.57
BLAST-S14,1.00,0.196,0.73,1.00,0.223,0.046,0.61
Naive-S11,1.00,0.375,0.21,1.00,0.377,0.020,0.19
Naive-S14,1.00,0.347,0.19,1.00,0.346,0.018,0.19
101-1,0.76,0.184,0.37,0.76,0.183,0.040,0.37
101-2,0.76,0.243,0.11,0.76,0.250,0.047,0.24
101-3,0.76,0.289,0.64,0.76,0.282,0.040,0.53
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.29,0.123,0.17,0.29,0.122,0.057,0.16
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.221,0.97,1.00,0.216,0.047,0.94
105-2,0.95,0.196,0.93,0.95,0.196,0.043,0.93
105-3,0.95,0.200,0.99,0.95,0.197,0.047,0.99
106-1,0.33,0.196,0.33,0.33,0.187,0.066,0.38
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.29,0.178,0.33,0.29,0.170,0.074,0.35
107-1,1.00,0.201,1.00,1.00,0.198,0.042,0.95
107-2,1.00,0.138,0.03,1.00,0.142,0.041,0.06
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.251,1.00,0.95,0.258,0.048,0.94
110-2,1.00,0.233,0.62,1.00,0.252,0.042,0.47
110-3,0.95,0.260,0.25,0.95,0.260,0.037,0.23
111-1,0.95,0.267,0.89,0.95,0.275,0.053,0.90
111-2,0.90,0.277,0.28,0.90,0.272,0.044,0.27
111-3,0.29,0.303,0.76,0.29,0.312,0.109,0.75
112-1,0.95,0.295,0.61,0.95,0.294,0.053,0.62
112-2,0.95,0.293,0.64,0.95,0.295,0.053,0.61
112-3,0.95,0.293,0.61,0.95,0.292,0.053,0.62
113-1,0.95,0.290,0.64,0.95,0.293,0.053,0.61
113-2,0.43,0.142,0.51,0.43,0.152,0.043,0.52
113-3,0.95,0.267,0.89,0.95,0.275,0.053,0.90
114-1,1.00,0.165,0.75,1.00,0.180,0.029,0.82
115-1,1.00,0.197,0.33,1.00,0.209,0.037,0.42
116-1,0.81,0.189,0.46,0.81,0.189,0.046,0.58
116-2,0.29,0.182,0.48,0.28,0.168,0.087,0.54
117-1,1.00,0.350,0.13,1.00,0.352,0.029,0.13
117-2,0.57,0.198,1.00,0.57,0.193,0.039,1.00
119-1,0.95,0.262,0.84,0.95,0.269,0.047,0.83
120-1,1.00,0.160,0.72,1.00,0.182,0.028,0.82
120-2,1.00,0.196,0.52,1.00,0.209,0.033,0.54
