ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,14.790,1.00,1.00,14.764,2.203,0.98
BLAST-S14,1.00,14.790,1.00,1.00,14.747,2.206,0.99
Naive-S11,1.00,12.703,0.23,1.00,12.702,1.927,0.23
Naive-S14,1.00,12.757,0.25,1.00,12.766,1.941,0.25
101-1,0.76,15.952,1.00,0.76,15.906,2.783,0.76
101-2,0.76,15.099,0.50,0.76,15.034,2.541,0.59
101-3,0.76,22.178,1.00,0.76,22.836,3.362,0.99
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.29,13.639,1.00,0.29,13.651,3.640,0.94
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,14.790,1.00,1.00,14.692,2.187,1.00
105-2,0.95,43.058,1.00,0.95,43.516,20.924,1.00
105-3,0.95,64.149,1.00,0.95,64.073,23.674,1.00
106-1,0.33,17.686,0.33,0.33,17.604,5.249,0.46
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.29,19.350,0.33,0.29,19.293,5.850,0.44
107-1,1.00,58.199,1.00,1.00,57.849,20.112,1.00
107-2,1.00,14.375,0.14,1.00,14.336,2.261,0.25
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,19.937,1.00,0.95,20.131,4.503,1.00
110-2,1.00,14.323,0.75,1.00,14.283,2.043,0.78
110-3,0.95,16.162,1.00,0.95,16.360,2.151,0.96
111-1,0.95,19.080,1.00,0.95,19.320,4.488,1.00
111-2,0.90,15.324,0.62,0.90,15.488,2.157,0.67
111-3,0.29,10.781,0.76,0.29,10.757,1.626,0.86
112-1,0.95,14.160,0.81,0.95,14.208,2.254,0.78
112-2,0.95,14.192,0.80,0.95,14.205,2.250,0.79
112-3,0.95,13.910,0.69,0.95,13.778,2.142,0.74
113-1,0.95,13.867,0.73,0.95,13.759,2.130,0.73
113-2,0.43,21.583,1.00,0.43,21.663,3.610,1.00
113-3,0.95,18.775,1.00,0.95,19.014,4.381,1.00
114-1,1.00,27.917,1.00,1.00,28.195,7.725,1.00
115-1,1.00,14.625,1.00,1.00,14.504,2.013,0.90
116-1,0.81,13.961,0.75,0.81,13.867,2.255,0.80
116-2,0.29,11.743,0.70,0.28,11.716,2.859,0.83
117-1,1.00,14.123,0.16,1.00,13.780,1.860,0.21
117-2,0.57,39.750,1.00,0.57,39.993,9.712,1.00
119-1,0.95,14.924,0.94,0.95,14.691,2.146,0.92
120-1,1.00,30.593,1.00,1.00,30.803,8.861,1.00
120-2,1.00,14.781,0.70,1.00,14.662,2.175,0.82
120-3,1.00,14.637,0.71,1.00,14.588,2.161,0.79
121-1,0.38,11.875,1.00,0.38,11.918,2.892,0.99
121-2,0.05,12.681,1.00,0.05,12.681,0.000,1.00
121-3,0.43,12.625,0.13,0.43,12.455,2.466,0.56
122-1,0.71,15.888,0.99,0.71,15.870,2.483,0.99
124-1,1.00,14.618,0.56,1.00,14.538,2.077,0.55
124-2,1.00,14.123,0.10,1.00,14.051,2.035,0.13
124-3,1.00,14.618,0.56,1.00,14.541,2.074,0.55
125-1,1.00,27.917,1.00,1.00,28.195,7.725,1.00
125-2,0.86,15.666,0.88,0.86,15.622,2.472,0.87
125-3,0.90,14.717,0.96,0.90,14.667,2.337,0.98
126-1,0.48,15.052,0.42,0.48,14.615,4.033,0.40
127-1,0.90,14.953,0.67,0.90,14.725,2.044,0.68
127-2,0.90,14.209,0.71,0.90,14.185,2.018,0.72
127-3,0.05,11.381,0.40,0.05,11.381,0.000,0.40
128-1,0.05,7.004,1.00,0.05,7.004,0.000,1.00
129-1,0.95,13.948,0.75,0.95,13.858,1.895,0.73
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.95,13.948,0.75,0.95,13.858,1.895,0.73
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.81,16.103,1.00,0.81,16.027,2.528,0.83
131-2,0.81,16.010,0.67,0.81,16.129,2.555,0.87
131-3,0.95,14.770,0.25,0.95,14.687,2.138,0.48
132-1,0.95,14.015,0.79,0.95,14.047,2.221,0.78
132-2,0.95,13.679,0.75,0.95,13.592,2.107,0.74
65-1,0.57,16.251,0.52,0.57,16.154,2.778,0.49
65-2,0.57,16.251,0.52,0.57,16.150,2.775,0.49
65-3,0.57,16.226,0.56,0.57,16.108,2.759,0.52
68-1,1.00,41.949,1.00,1.00,42.267,10.876,1.00
68-2,1.00,42.814,1.00,1.00,43.093,10.439,1.00
69-1,1.00,16.024,1.00,1.00,16.120,2.292,0.98
69-2,1.00,16.268,1.00,1.00,16.346,2.302,0.97
70-1,1.00,14.124,0.68,1.00,14.044,2.041,0.66
70-2,1.00,12.722,0.30,1.00,12.586,1.925,0.26
70-3,1.00,12.638,0.22,1.00,12.605,1.924,0.23
72-1,0.81,15.838,0.71,0.81,15.621,2.558,0.69
72-2,0.67,16.184,0.32,0.67,16.012,3.083,0.27
73-1,1.00,75.929,1.00,1.00,76.393,30.066,1.00
73-2,1.00,71.581,1.00,1.00,72.124,30.232,1.00
73-3,1.00,316.338,1.00,1.00,315.792,59.195,1.00
74-1,0.76,15.263,0.56,0.76,15.145,2.637,0.65
74-2,1.00,14.415,1.00,1.00,14.445,2.033,1.00
75-1,1.00,16.024,1.00,1.00,16.119,2.290,0.98
75-2,1.00,16.268,1.00,1.00,16.348,2.301,0.97
79-1,0.81,15.312,0.33,0.81,15.128,2.145,0.40
79-2,0.48,17.401,0.19,0.47,17.438,3.371,0.20
79-3,0.86,14.945,0.28,0.86,14.783,2.031,0.47
80-1,0.90,15.228,0.70,0.90,15.172,2.333,0.76
80-2,1.00,14.415,1.00,1.00,14.445,2.033,1.00
81-1,0.71,15.357,0.94,0.71,15.373,2.808,0.95
81-2,0.71,15.357,0.94,0.71,15.373,2.808,0.95
82-1,0.90,15.478,1.00,0.90,15.490,2.369,0.99
83-1,1.00,23.039,1.00,1.00,23.211,3.815,1.00
83-2,1.00,14.949,1.00,1.00,15.015,2.212,0.81
84-1,0.86,15.029,1.00,0.86,14.978,2.447,0.78
85-1,1.00,14.565,0.87,1.00,14.326,2.076,0.86
85-2,1.00,14.565,0.87,1.00,14.326,2.076,0.86
86-1,0.95,15.249,1.00,0.95,15.267,2.148,0.99
86-2,0.95,15.249,1.00,0.95,15.267,2.148,0.99
86-3,0.81,16.309,0.88,0.81,16.240,2.401,0.83
87-1,0.86,15.238,0.56,0.86,15.211,2.321,0.58
87-2,0.86,15.420,0.40,0.86,15.373,2.369,0.47
87-3,0.76,15.747,0.87,0.76,15.764,2.782,0.89
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,20.112,1.00,1.00,20.165,2.987,0.98
95-1,1.00,43.157,1.00,1.00,43.510,11.690,1.00
95-2,1.00,43.291,1.00,1.00,43.566,10.575,1.00
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
99-1,0.95,14.244,0.37,0.95,14.168,2.074,0.39
