ID-model,GO:0008150,GO:0050896,GO:0022414,GO:0000003,GO:0009605,GO:0050794,GO:0048608,GO:0061458,GO:0003006,GO:0006950,GO:0009991,GO:0031667,GO:0042594,GO:0009987,GO:0050789,GO:0065007,GO:0044767,GO:0048513,GO:0030582,GO:0030587,GO:0055084,GO:0075259,GO:0032501,GO:0044699,GO:0019954,GO:0044707,GO:0044763,GO:0032502,GO:0007275,GO:0048731,GO:0048856
BLAST-S11,NaN,0.92,0.72,0.70,0.90,0.79,0.69,0.69,0.68,0.77,0.71,0.71,0.71,0.29,0.79,0.77,0.66,0.74,0.61,0.61,0.61,0.61,0.74,0.67,0.52,0.71,0.53,0.70,0.69,0.69,0.69
BLAST-S14,NaN,0.85,0.81,0.79,0.79,0.74,0.73,0.73,0.72,0.70,0.69,0.69,0.69,0.69,0.67,0.66,0.66,0.64,0.60,0.60,0.60,0.60,0.57,0.56,0.55,0.53,0.49,0.48,0.48,0.48,0.47
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.61,0.36,0.39,0.61,0.57,0.48,0.48,0.35,0.58,0.58,0.58,0.58,0.65,0.54,0.58,0.54,0.67,0.50,0.50,0.50,0.50,0.64,0.70,0.50,0.60,0.83,0.54,0.54,0.53,0.54
101-2,NaN,0.82,0.38,0.45,0.57,0.69,0.54,0.54,0.48,0.57,0.58,0.58,0.58,0.52,0.70,0.73,0.46,0.65,0.50,0.50,0.50,0.50,0.75,0.91,0.50,0.71,0.89,0.42,0.57,0.63,0.42
101-3,NaN,0.79,0.44,0.48,0.61,0.67,0.47,0.47,0.36,0.54,0.58,0.58,0.58,0.57,0.54,0.54,0.56,0.66,0.50,0.50,0.50,0.50,0.68,0.74,0.50,0.68,0.76,0.55,0.55,0.48,0.55
102-1,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-2,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
102-3,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
