ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.302,0.34,1.00,0.321,0.061,0.39
BLAST-S14,1.00,0.272,0.42,1.00,0.284,0.038,0.41
Naive-S11,1.00,0.344,0.16,1.00,0.347,0.021,0.13
Naive-S14,1.00,0.336,0.17,1.00,0.336,0.018,0.17
101-1,1.00,0.369,0.36,1.00,0.374,0.042,0.30
101-2,1.00,0.363,0.09,1.00,0.365,0.040,0.12
101-3,1.00,0.364,0.05,1.00,0.368,0.042,0.08
102-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
102-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
102-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
103-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
103-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
103-3,0.95,0.245,0.17,0.95,0.243,0.054,0.17
104-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
104-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
104-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
105-1,1.00,0.339,0.96,1.00,0.344,0.061,0.95
105-2,1.00,0.337,1.00,1.00,0.343,0.054,0.97
105-3,1.00,0.329,1.00,1.00,0.333,0.051,0.99
106-1,0.55,0.125,0.10,0.55,0.125,0.032,0.10
106-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
106-3,0.15,0.038,0.10,0.15,0.037,0.024,0.10
107-1,1.00,0.299,0.75,1.00,0.302,0.036,0.79
107-2,1.00,0.235,0.02,1.00,0.245,0.063,0.04
107-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
108-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
109-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
110-1,1.00,0.409,0.92,1.00,0.410,0.051,0.93
110-2,1.00,0.401,0.28,1.00,0.404,0.051,0.31
110-3,0.95,0.342,0.01,0.95,0.340,0.054,0.11
111-1,1.00,0.444,0.70,1.00,0.461,0.048,0.69
111-2,1.00,0.404,0.27,1.00,0.415,0.053,0.30
111-3,0.50,0.288,0.34,0.50,0.293,0.072,0.33
112-1,1.00,0.424,0.36,1.00,0.431,0.051,0.38
112-2,1.00,0.434,0.37,1.00,0.436,0.051,0.38
112-3,1.00,0.423,0.36,1.00,0.428,0.048,0.35
113-1,1.00,0.432,0.37,1.00,0.434,0.049,0.36
113-2,0.45,0.254,0.86,0.45,0.269,0.073,0.50
113-3,1.00,0.414,0.49,1.00,0.425,0.049,0.60
114-1,1.00,0.410,0.93,1.00,0.429,0.043,0.86
115-1,1.00,0.309,0.49,1.00,0.332,0.055,0.31
116-1,0.85,0.223,0.31,0.85,0.219,0.059,0.35
116-2,0.40,0.075,0.33,0.40,0.075,0.023,0.40
117-1,1.00,0.403,0.11,1.00,0.409,0.038,0.11
117-2,0.45,0.239,1.00,0.45,0.232,0.078,1.00
119-1,1.00,0.349,0.36,1.00,0.357,0.039,0.39
120-1,1.00,0.433,0.92,1.00,0.444,0.048,0.88
120-2,1.00,0.300,0.37,1.00,0.302,0.027,0.38
120-3,1.00,0.227,0.45,1.00,0.228,0.020,0.46
121-1,0.45,0.265,0.60,0.45,0.258,0.074,0.61
121-2,0.35,0.271,0.44,0.35,0.264,0.087,0.53
121-3,0.75,0.275,0.10,0.75,0.270,0.072,0.12
122-1,0.95,0.366,0.70,0.95,0.365,0.071,0.72
124-1,1.00,0.242,0.04,1.00,0.260,0.031,0.12
124-2,1.00,0.373,0.04,1.00,0.373,0.038,0.04
124-3,1.00,0.240,0.04,1.00,0.257,0.032,0.13
125-1,1.00,0.410,0.93,1.00,0.429,0.043,0.86
125-2,1.00,0.351,0.23,1.00,0.351,0.061,0.22
125-3,1.00,0.373,0.24,1.00,0.406,0.061,0.28
126-1,0.60,0.201,0.25,0.60,0.196,0.059,0.25
127-1,1.00,0.456,0.38,1.00,0.460,0.052,0.36
127-2,1.00,0.439,0.46,1.00,0.448,0.051,0.45
127-3,0.30,0.269,0.48,0.30,0.253,0.073,0.48
128-1,0.40,0.277,0.11,0.40,0.275,0.064,0.19
129-1,1.00,0.413,0.61,1.00,0.420,0.049,0.57
129-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
129-3,1.00,0.413,0.61,1.00,0.420,0.049,0.57
130-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
130-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
130-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
131-1,0.85,0.319,0.50,0.85,0.314,0.075,0.80
131-2,0.85,0.319,0.50,0.85,0.314,0.075,0.80
131-3,1.00,0.330,0.09,1.00,0.347,0.059,0.07
132-1,1.00,0.423,0.49,1.00,0.431,0.048,0.52
132-2,1.00,0.423,0.49,1.00,0.431,0.046,0.51
65-1,0.90,0.312,0.18,0.90,0.325,0.059,0.27
65-2,0.80,0.303,0.11,0.80,0.326,0.061,0.25
65-3,0.90,0.327,0.07,0.90,0.355,0.055,0.18
68-1,0.90,0.251,0.46,0.90,0.256,0.033,0.36
68-2,0.90,0.247,0.34,0.90,0.256,0.033,0.40
69-1,1.00,0.307,0.27,1.00,0.318,0.051,0.24
69-2,1.00,0.343,0.12,1.00,0.348,0.055,0.23
70-1,1.00,0.386,0.19,1.00,0.389,0.045,0.22
70-2,1.00,0.317,0.12,1.00,0.327,0.020,0.13
70-3,1.00,0.347,0.09,1.00,0.346,0.037,0.09
72-1,1.00,0.373,0.02,1.00,0.368,0.059,0.05
72-2,0.90,0.205,0.01,0.90,0.201,0.041,0.01
73-1,1.00,0.326,0.65,1.00,0.335,0.049,0.74
73-2,1.00,0.323,0.65,1.00,0.334,0.049,0.74
73-3,1.00,0.287,0.96,1.00,0.284,0.069,0.97
74-1,0.20,0.181,0.26,0.20,0.185,0.087,0.23
74-2,1.00,0.366,0.07,1.00,0.368,0.052,0.08
75-1,1.00,0.312,0.30,1.00,0.328,0.056,0.38
75-2,1.00,0.346,0.12,1.00,0.352,0.053,0.27
79-1,0.80,0.365,0.08,0.80,0.368,0.051,0.06
79-2,0.40,0.234,0.03,0.40,0.238,0.050,0.03
79-3,1.00,0.376,0.04,1.00,0.383,0.045,0.03
80-1,0.45,0.276,0.05,0.45,0.271,0.086,0.29
80-2,1.00,0.373,0.07,1.00,0.376,0.055,0.11
81-1,0.90,0.292,0.61,0.90,0.287,0.068,0.68
81-2,0.90,0.292,0.61,0.90,0.287,0.068,0.68
82-1,0.95,0.265,0.50,0.95,0.262,0.071,0.52
83-1,1.00,0.311,0.29,1.00,0.318,0.049,0.40
83-2,1.00,0.365,0.07,1.00,0.378,0.045,0.14
84-1,0.45,0.189,0.09,0.45,0.190,0.046,0.10
85-1,1.00,0.416,0.27,1.00,0.422,0.059,0.26
85-2,1.00,0.416,0.27,1.00,0.422,0.059,0.26
86-1,1.00,0.406,0.50,1.00,0.412,0.054,0.59
86-2,1.00,0.406,0.50,1.00,0.412,0.054,0.59
86-3,0.75,0.384,0.34,0.75,0.384,0.082,0.35
87-1,0.65,0.250,0.25,0.65,0.251,0.058,0.37
87-2,0.65,0.241,0.16,0.65,0.247,0.063,0.19
87-3,0.60,0.268,0.57,0.60,0.269,0.069,0.38
88-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
89-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
89-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
89-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
91-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
91-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
91-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
93-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
93-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
94-1,1.00,0.367,0.15,1.00,0.371,0.059,0.22
95-1,0.90,0.251,0.34,0.90,0.261,0.028,0.51
95-2,0.90,0.248,0.45,0.90,0.255,0.029,0.50
96-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
96-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
96-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
97-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
97-2,0.00,0.004,0.00,0.00,0.004,0.000,0.00
97-3,0.00,0.004,0.00,0.00,0.004,0.000,0.00
98-1,0.00,0.004,0.00,0.00,0.004,0.000,0.00
99-1,1.00,0.351,0.10,1.00,0.354,0.042,0.09
