ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.252,0.30,1.00,0.271,0.041,0.34
BLAST-S14,1.00,0.246,0.30,1.00,0.270,0.047,0.42
Naive-S11,1.00,0.276,0.23,1.00,0.278,0.030,0.21
Naive-S14,1.00,0.276,0.17,1.00,0.281,0.025,0.21
101-1,0.84,0.306,0.36,0.84,0.306,0.052,0.32
101-2,0.79,0.291,0.03,0.79,0.289,0.053,0.08
101-3,0.84,0.307,0.61,0.84,0.316,0.060,0.46
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.68,0.345,0.17,0.68,0.341,0.083,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.293,0.59,1.00,0.314,0.057,0.69
105-2,0.95,0.272,0.98,0.95,0.289,0.051,0.96
105-3,0.95,0.254,0.98,0.95,0.274,0.046,0.95
106-1,0.58,0.390,0.23,0.58,0.379,0.107,0.30
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.286,0.23,0.21,0.182,0.138,0.34
107-1,1.00,0.288,0.79,1.00,0.286,0.064,0.79
107-2,1.00,0.295,0.03,1.00,0.291,0.060,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.239,0.71,0.95,0.248,0.047,0.78
110-2,1.00,0.339,0.25,1.00,0.337,0.065,0.28
110-3,1.00,0.348,0.33,1.00,0.353,0.042,0.31
111-1,0.95,0.235,0.71,0.95,0.252,0.044,0.66
111-2,1.00,0.320,0.24,1.00,0.328,0.043,0.30
111-3,0.11,0.378,0.02,0.10,0.372,0.284,0.01
112-1,0.95,0.328,0.53,0.95,0.343,0.063,0.46
112-2,1.00,0.332,0.31,1.00,0.342,0.063,0.40
112-3,0.95,0.339,0.42,0.95,0.347,0.059,0.43
113-1,1.00,0.341,0.36,1.00,0.347,0.060,0.38
113-2,0.68,0.290,0.20,0.68,0.315,0.052,0.43
113-3,0.95,0.235,0.71,0.95,0.257,0.042,0.54
114-1,1.00,0.324,0.88,1.00,0.337,0.061,0.85
115-1,1.00,0.384,0.50,1.00,0.398,0.077,0.42
116-1,0.79,0.240,0.26,0.79,0.245,0.086,0.46
116-2,0.32,0.176,0.72,0.31,0.165,0.120,0.80
117-1,1.00,0.359,0.12,1.00,0.367,0.055,0.13
117-2,0.47,0.391,1.00,0.48,0.382,0.127,1.00
119-1,0.95,0.379,0.66,0.95,0.390,0.063,0.63
120-1,1.00,0.337,0.90,1.00,0.348,0.059,0.85
120-2,1.00,0.207,0.33,1.00,0.211,0.027,0.40
120-3,1.00,0.229,0.51,1.00,0.225,0.040,0.52
121-1,0.47,0.239,0.38,0.47,0.239,0.099,0.41
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.84,0.377,0.02,0.84,0.400,0.077,0.15
122-1,0.79,0.416,0.75,0.79,0.411,0.087,0.76
124-1,0.95,0.329,0.34,0.95,0.339,0.057,0.30
124-2,0.95,0.248,0.19,0.95,0.252,0.034,0.20
124-3,0.95,0.340,0.23,0.95,0.353,0.055,0.26
125-1,1.00,0.323,0.94,1.00,0.337,0.061,0.84
125-2,0.84,0.356,0.18,0.84,0.369,0.076,0.25
125-3,1.00,0.292,0.15,1.00,0.307,0.062,0.17
126-1,1.00,0.342,0.26,1.00,0.341,0.065,0.28
127-1,0.95,0.352,0.46,0.95,0.359,0.052,0.41
127-2,0.89,0.326,0.42,0.90,0.318,0.046,0.41
127-3,0.16,0.181,0.60,0.16,0.156,0.060,0.58
128-1,0.95,0.282,0.03,0.95,0.281,0.071,0.06
129-1,1.00,0.366,0.62,1.00,0.371,0.061,0.60
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.366,0.62,1.00,0.371,0.061,0.60
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.63,0.232,0.50,0.63,0.225,0.100,0.55
131-2,0.63,0.309,0.50,0.63,0.305,0.104,0.55
131-3,1.00,0.375,0.04,1.00,0.389,0.063,0.07
132-1,1.00,0.337,0.54,1.00,0.340,0.064,0.57
132-2,1.00,0.341,0.49,1.00,0.349,0.059,0.52
65-1,0.68,0.338,0.40,0.68,0.354,0.058,0.41
65-2,0.68,0.328,0.42,0.68,0.352,0.058,0.41
65-3,0.68,0.336,0.44,0.68,0.357,0.056,0.43
68-1,1.00,0.321,0.89,1.00,0.317,0.067,0.88
68-2,1.00,0.299,0.88,1.00,0.306,0.051,0.85
69-1,1.00,0.352,0.33,1.00,0.360,0.069,0.44
69-2,1.00,0.302,1.00,1.00,0.326,0.069,0.60
70-1,1.00,0.246,0.24,1.00,0.248,0.040,0.23
70-2,1.00,0.286,0.17,1.00,0.289,0.030,0.16
70-3,1.00,0.254,0.09,1.00,0.263,0.041,0.11
72-1,0.89,0.388,0.07,0.89,0.399,0.075,0.11
72-2,0.84,0.196,0.01,0.84,0.214,0.071,0.04
73-1,1.00,0.385,0.95,1.00,0.384,0.079,0.92
73-2,1.00,0.382,0.96,1.00,0.377,0.082,0.95
73-3,0.95,0.283,1.00,0.95,0.279,0.059,0.99
