ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.663,0.38,1.00,0.661,0.022,0.40
BLAST-S14,1.00,0.677,0.42,1.00,0.674,0.012,0.44
Naive-S11,1.00,0.632,0.14,1.00,0.631,0.011,0.15
Naive-S14,1.00,0.627,0.18,1.00,0.626,0.010,0.18
101-1,0.84,0.621,0.36,0.84,0.629,0.028,0.35
101-2,0.79,0.626,0.11,0.79,0.624,0.025,0.13
101-3,0.84,0.596,0.50,0.84,0.593,0.042,0.46
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.68,0.560,0.17,0.68,0.565,0.064,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.633,0.90,1.00,0.625,0.033,0.83
105-2,0.95,0.636,0.98,0.95,0.627,0.026,0.97
105-3,0.95,0.639,0.99,0.95,0.639,0.026,0.99
106-1,0.58,0.628,0.17,0.58,0.638,0.087,0.19
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.706,0.23,0.21,0.771,0.098,0.35
107-1,1.00,0.626,1.00,1.00,0.634,0.038,0.90
107-2,1.00,0.632,0.02,1.00,0.634,0.028,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.638,0.96,0.95,0.640,0.026,0.93
110-2,1.00,0.613,0.31,1.00,0.613,0.036,0.33
110-3,1.00,0.636,0.45,1.00,0.627,0.029,0.60
111-1,0.95,0.640,0.96,0.95,0.640,0.025,0.92
111-2,1.00,0.639,0.50,1.00,0.629,0.031,0.66
111-3,0.11,0.634,0.12,0.10,0.618,0.082,0.34
112-1,0.95,0.588,0.46,0.95,0.589,0.043,0.48
112-2,1.00,0.594,0.42,1.00,0.594,0.041,0.44
112-3,0.95,0.593,0.42,0.95,0.595,0.040,0.44
113-1,1.00,0.597,0.37,1.00,0.597,0.038,0.40
113-2,0.68,0.609,1.00,0.68,0.614,0.057,0.98
113-3,0.95,0.657,0.90,0.95,0.654,0.016,0.86
114-1,1.00,0.597,0.83,1.00,0.592,0.039,0.88
115-1,1.00,0.532,0.50,1.00,0.531,0.056,0.46
116-1,0.79,0.632,0.51,0.79,0.633,0.061,0.43
116-2,0.32,0.712,0.72,0.31,0.718,0.094,0.77
117-1,1.00,0.599,0.12,1.00,0.594,0.031,0.13
117-2,0.47,0.516,1.00,0.48,0.528,0.084,1.00
119-1,0.95,0.595,0.66,0.95,0.591,0.041,0.63
120-1,1.00,0.590,0.90,1.00,0.591,0.035,0.90
120-2,1.00,0.649,0.52,1.00,0.646,0.014,0.52
120-3,1.00,0.651,0.45,1.00,0.654,0.022,0.47
121-1,0.47,0.612,0.38,0.47,0.619,0.057,0.39
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,0.84,0.554,0.03,0.84,0.548,0.047,0.03
122-1,0.79,0.542,0.72,0.79,0.546,0.054,0.72
124-1,0.95,0.591,0.27,0.95,0.583,0.032,0.27
124-2,0.95,0.627,0.18,0.95,0.626,0.023,0.19
124-3,0.95,0.575,0.21,0.95,0.572,0.034,0.24
125-1,1.00,0.597,0.83,1.00,0.592,0.039,0.87
125-2,0.84,0.585,0.22,0.84,0.589,0.050,0.21
125-3,1.00,0.641,0.17,1.00,0.633,0.027,0.19
126-1,1.00,0.594,0.27,1.00,0.598,0.047,0.27
127-1,0.95,0.589,0.45,0.95,0.592,0.034,0.45
127-2,0.89,0.638,0.42,0.90,0.635,0.016,0.42
127-3,0.16,0.691,0.60,0.16,0.703,0.028,0.58
128-1,0.95,0.653,0.07,0.95,0.644,0.034,0.22
129-1,1.00,0.614,0.56,1.00,0.606,0.037,0.56
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.614,0.56,1.00,0.606,0.037,0.56
