ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.665,0.33,0.94,0.668,0.015,0.33
BLAST-S14,0.94,0.670,0.36,0.94,0.655,0.029,0.36
Naive-S11,1.00,0.652,0.22,1.00,0.644,0.012,0.22
Naive-S14,1.00,0.654,0.23,1.00,0.645,0.013,0.24
101-1,1.00,0.573,0.37,1.00,0.560,0.046,0.36
101-2,1.00,0.499,0.17,1.00,0.497,0.059,0.18
101-3,1.00,0.548,0.75,1.00,0.545,0.055,0.59
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.94,0.533,0.22,0.94,0.522,0.046,0.21
103-2,0.94,0.515,0.24,0.94,0.506,0.052,0.23
103-3,0.94,0.436,0.17,0.94,0.445,0.074,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.485,0.97,1.00,0.484,0.065,0.96
105-2,1.00,0.615,1.00,1.00,0.618,0.076,0.99
105-3,1.00,0.615,1.00,1.00,0.618,0.078,1.00
106-1,0.69,0.575,0.03,0.69,0.581,0.082,0.08
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.62,0.614,0.03,0.63,0.620,0.085,0.08
107-1,1.00,0.613,0.77,1.00,0.608,0.082,0.78
107-2,1.00,0.455,0.08,1.00,0.441,0.074,0.08
107-3,1.00,0.458,0.08,1.00,0.450,0.072,0.07
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.94,0.593,0.80,0.94,0.590,0.048,0.84
110-2,1.00,0.573,0.40,1.00,0.572,0.040,0.44
110-3,1.00,0.619,1.00,1.00,0.622,0.043,1.00
111-1,0.94,0.593,0.80,0.94,0.590,0.048,0.84
111-2,1.00,0.619,1.00,1.00,0.622,0.043,1.00
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.553,0.40,1.00,0.547,0.043,0.44
112-2,1.00,0.554,0.42,1.00,0.549,0.044,0.43
112-3,1.00,0.553,0.40,1.00,0.547,0.043,0.44
113-1,1.00,0.554,0.42,1.00,0.548,0.044,0.44
113-2,1.00,0.619,1.00,1.00,0.622,0.043,1.00
113-3,0.94,0.593,0.80,0.94,0.590,0.048,0.84
114-1,1.00,0.435,1.00,1.00,0.440,0.074,0.98
115-1,1.00,0.442,0.53,1.00,0.439,0.076,0.49
116-1,0.88,0.542,0.38,0.88,0.549,0.065,0.47
116-2,0.50,0.698,0.38,0.50,0.698,0.089,0.52
117-1,1.00,0.536,0.09,1.00,0.532,0.046,0.10
117-2,0.06,0.985,1.00,0.06,0.985,0.014,0.64
119-1,1.00,0.464,0.68,1.00,0.460,0.067,0.67
120-1,1.00,0.435,1.00,1.00,0.442,0.074,0.99
120-2,1.00,0.598,0.60,1.00,0.595,0.032,0.59
120-3,1.00,0.623,0.49,1.00,0.619,0.019,0.50
121-1,0.94,0.447,0.60,0.94,0.455,0.071,0.60
121-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
121-3,0.94,0.456,0.03,0.94,0.463,0.071,0.30
122-1,0.62,0.647,0.71,0.62,0.655,0.082,0.73
124-1,1.00,0.616,0.38,1.00,0.612,0.021,0.35
124-2,1.00,0.595,0.22,1.00,0.594,0.028,0.22
124-3,1.00,0.634,0.29,1.00,0.633,0.017,0.32
125-1,1.00,0.435,1.00,1.00,0.440,0.074,0.98
125-2,1.00,0.530,0.27,1.00,0.513,0.058,0.26
125-3,0.94,0.624,0.21,0.94,0.612,0.044,0.22
126-1,0.06,0.976,0.37,0.06,0.976,0.023,0.24
127-1,1.00,0.573,0.34,1.00,0.567,0.038,0.34
127-2,1.00,0.546,0.42,1.00,0.538,0.045,0.46
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.94,0.620,0.33,0.94,0.618,0.047,0.45
129-1,1.00,0.552,0.64,1.00,0.548,0.051,0.63
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.552,0.64,1.00,0.548,0.051,0.63
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.81,0.456,1.00,0.81,0.468,0.078,1.00
131-2,0.81,0.456,1.00,0.81,0.468,0.078,1.00
131-3,0.94,0.407,0.06,0.94,0.415,0.073,0.22
