ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,12.351,1.00,0.94,12.321,3.112,0.91
BLAST-S14,0.94,12.177,0.55,0.94,11.974,3.121,0.68
Naive-S11,1.00,11.482,0.31,1.00,11.514,3.033,0.31
Naive-S14,1.00,11.482,0.33,1.00,11.515,3.031,0.34
101-1,1.00,10.491,0.37,1.00,9.973,2.473,0.40
101-2,1.00,9.929,0.33,1.00,9.799,2.291,0.37
101-3,1.00,13.748,1.00,1.00,13.882,4.004,0.97
102-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
102-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
102-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
103-1,0.94,9.957,0.62,0.94,9.630,2.381,0.47
103-2,0.94,9.759,0.62,0.94,9.428,2.404,0.48
103-3,0.94,9.303,0.17,0.94,8.893,2.579,0.25
104-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
104-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
104-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
105-1,1.00,7.219,0.98,1.00,7.346,2.007,0.98
105-2,1.00,35.099,1.00,1.00,35.147,10.111,1.00
105-3,1.00,36.901,1.00,1.00,36.937,10.622,1.00
106-1,0.69,9.723,0.03,0.69,9.675,3.063,0.20
106-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
106-3,0.62,9.908,0.03,0.63,9.874,3.050,0.19
107-1,1.00,60.866,1.00,1.00,60.817,18.049,0.99
107-2,1.00,8.037,0.16,1.00,7.968,2.870,0.16
107-3,1.00,8.575,0.09,1.00,8.442,2.705,0.11
108-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
109-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
110-1,0.94,12.492,1.00,0.94,12.779,2.465,0.99
110-2,1.00,10.316,0.59,1.00,9.926,2.278,0.63
110-3,1.00,13.842,1.00,1.00,13.995,2.187,1.00
111-1,0.94,12.492,1.00,0.94,12.779,2.465,0.99
111-2,1.00,13.842,1.00,1.00,13.995,2.187,1.00
111-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
112-1,1.00,9.495,0.57,1.00,9.324,2.097,0.56
112-2,1.00,9.637,0.59,1.00,9.431,2.103,0.57
112-3,1.00,9.495,0.57,1.00,9.318,2.102,0.57
113-1,1.00,9.637,0.59,1.00,9.422,2.110,0.57
113-2,1.00,13.842,1.00,1.00,13.995,2.187,1.00
113-3,0.94,12.492,1.00,0.94,12.779,2.465,0.99
114-1,1.00,9.611,1.00,1.00,9.815,1.784,1.00
115-1,1.00,9.646,0.53,1.00,8.947,2.368,0.62
116-1,0.88,10.062,0.65,0.88,9.977,3.144,0.76
116-2,0.50,9.833,0.74,0.50,9.853,3.278,0.78
117-1,1.00,9.293,0.11,1.00,9.181,2.712,0.11
117-2,0.06,12.287,1.00,0.06,12.302,3.223,1.00
119-1,1.00,8.828,0.79,1.00,8.327,1.911,0.78
120-1,1.00,9.611,1.00,1.00,9.817,1.783,1.00
120-2,1.00,11.581,0.66,1.00,11.436,2.832,0.66
120-3,1.00,11.179,0.62,1.00,11.151,2.899,0.61
121-1,0.94,9.081,0.60,0.94,9.147,2.005,0.64
121-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
121-3,0.94,9.834,0.55,0.94,9.385,2.640,0.65
122-1,0.62,9.962,0.71,0.62,10.199,2.277,0.73
124-1,1.00,10.805,0.56,1.00,10.752,2.627,0.54
124-2,1.00,10.351,0.38,1.00,10.324,2.532,0.39
124-3,1.00,11.548,0.45,1.00,11.553,3.101,0.48
125-1,1.00,9.611,1.00,1.00,9.815,1.784,1.00
125-2,1.00,8.924,0.54,1.00,8.939,2.066,0.56
125-3,0.94,9.479,0.34,0.94,9.222,2.990,0.40
126-1,0.06,11.079,0.37,0.06,11.087,2.349,0.60
127-1,1.00,9.972,0.52,1.00,9.843,2.535,0.50
127-2,1.00,9.198,0.52,1.00,9.107,2.476,0.58
127-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
128-1,0.94,12.420,1.00,0.94,12.635,2.874,0.98
129-1,1.00,8.752,0.67,1.00,8.684,2.882,0.66
129-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
129-3,1.00,8.752,0.67,1.00,8.684,2.882,0.66
130-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
130-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
130-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
131-1,0.81,8.410,1.00,0.81,8.693,2.230,1.00
131-2,0.81,8.410,1.00,0.81,8.693,2.230,1.00
131-3,0.94,8.677,0.06,0.94,8.288,2.351,0.53
132-1,1.00,9.605,0.65,1.00,9.459,2.341,0.67
132-2,1.00,9.570,0.65,1.00,9.437,2.357,0.67
65-1,1.00,11.072,0.53,1.00,10.895,2.624,0.56
65-2,1.00,11.133,0.53,1.00,10.888,2.595,0.54
65-3,1.00,11.147,0.53,1.00,10.892,2.588,0.57
68-1,1.00,24.116,1.00,1.00,24.124,6.295,1.00
68-2,1.00,24.475,1.00,1.00,24.491,6.578,1.00
69-1,1.00,9.113,0.81,1.00,9.033,2.282,0.82
69-2,1.00,9.656,0.63,1.00,9.320,2.252,0.80
70-1,1.00,11.234,0.73,1.00,10.608,2.700,0.63
70-2,1.00,11.857,0.37,1.00,11.851,3.051,0.37
70-3,1.00,11.877,0.25,1.00,11.601,2.622,0.30
72-1,1.00,8.910,0.45,1.00,8.800,2.263,0.37
72-2,0.75,10.866,0.01,0.75,10.924,2.925,0.03
73-1,1.00,10.489,1.00,1.00,10.665,3.016,1.00
73-2,1.00,10.489,1.00,1.00,10.665,3.016,1.00
73-3,1.00,66.950,1.00,1.00,67.040,17.979,1.00
74-1,0.56,9.991,0.59,0.56,10.111,2.906,0.70
74-2,1.00,8.852,0.20,1.00,8.712,2.559,0.43
75-1,1.00,9.113,0.81,1.00,9.089,2.305,0.87
75-2,1.00,9.816,1.00,1.00,9.664,2.235,0.91
79-1,0.69,9.813,0.37,0.69,9.637,2.428,0.29
79-2,0.69,9.813,0.37,0.69,9.637,2.428,0.29
79-3,0.94,9.443,0.91,0.94,8.740,2.286,0.44
80-1,0.56,10.519,0.70,0.56,10.278,2.974,0.81
80-2,1.00,9.570,0.76,1.00,9.192,2.371,0.81
81-1,0.88,10.538,0.75,0.88,10.382,2.287,0.88
81-2,0.88,9.459,0.99,0.88,9.441,2.351,0.94
82-1,0.94,11.424,0.95,0.94,11.295,2.613,0.93
83-1,1.00,8.825,0.33,1.00,8.615,2.167,0.42
83-2,1.00,8.600,0.33,1.00,8.446,2.139,0.39
84-1,1.00,10.474,0.39,1.00,10.268,2.290,0.38
85-1,0.94,8.842,0.30,0.94,8.614,2.764,0.34
85-2,0.94,8.842,0.30,0.94,8.614,2.764,0.34
86-1,0.81,11.417,0.56,0.81,11.424,3.237,0.71
86-2,0.81,11.417,0.56,0.81,11.424,3.237,0.71
86-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
87-1,0.94,9.871,0.51,0.94,9.473,2.484,0.48
87-2,0.94,9.807,0.28,0.94,9.413,2.230,0.27
87-3,0.94,9.396,0.62,0.94,8.985,2.116,0.57
88-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
89-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
89-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
89-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
91-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
91-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
91-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
93-1,1.00,118.618,1.00,1.00,118.709,20.705,1.00
93-2,1.00,186.508,1.00,1.00,186.918,39.103,1.00
94-1,1.00,8.810,0.54,1.00,9.019,2.003,0.61
95-1,1.00,28.086,1.00,1.00,28.078,6.046,1.00
95-2,1.00,29.641,1.00,1.00,29.610,6.575,1.00
96-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
96-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
96-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
97-1,0.00,12.334,1.00,0.00,12.347,3.224,1.00
97-2,0.00,12.334,1.00,0.00,12.347,3.224,1.00
97-3,0.00,12.334,1.00,0.00,12.347,3.224,1.00
98-1,1.00,11.198,0.55,1.00,10.703,2.423,0.56
99-1,0.94,9.322,0.26,0.94,9.395,2.560,0.28
