ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.196,0.34,0.94,0.198,0.048,0.34
BLAST-S14,0.94,0.206,0.33,0.94,0.237,0.061,0.35
Naive-S11,1.00,0.271,0.31,1.00,0.267,0.043,0.29
Naive-S14,1.00,0.271,0.33,1.00,0.268,0.042,0.31
101-1,1.00,0.450,0.37,1.00,0.454,0.067,0.38
101-2,1.00,0.489,0.17,1.00,0.490,0.082,0.17
101-3,1.00,0.393,1.00,1.00,0.391,0.087,0.75
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.94,0.457,0.25,0.94,0.464,0.078,0.33
103-2,0.94,0.473,0.25,0.94,0.480,0.083,0.35
103-3,0.94,0.527,0.17,0.94,0.522,0.099,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.484,0.98,1.00,0.497,0.095,0.96
105-2,1.00,0.404,0.98,1.00,0.418,0.083,0.96
105-3,1.00,0.400,0.99,1.00,0.421,0.086,0.98
106-1,0.69,0.382,0.03,0.69,0.379,0.103,0.11
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.62,0.342,0.03,0.63,0.337,0.107,0.10
107-1,1.00,0.420,0.76,1.00,0.419,0.096,0.77
107-2,1.00,0.517,0.05,1.00,0.527,0.096,0.07
107-3,1.00,0.489,0.08,1.00,0.515,0.093,0.07
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.94,0.367,0.80,0.94,0.363,0.078,0.78
110-2,1.00,0.370,0.37,1.00,0.377,0.072,0.38
110-3,1.00,0.256,1.00,1.00,0.274,0.055,0.75
111-1,0.94,0.367,0.80,0.94,0.363,0.078,0.78
111-2,1.00,0.256,1.00,1.00,0.274,0.055,0.75
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.419,0.44,1.00,0.427,0.070,0.39
112-2,1.00,0.419,0.42,1.00,0.425,0.071,0.38
112-3,1.00,0.419,0.44,1.00,0.427,0.070,0.39
113-1,1.00,0.419,0.42,1.00,0.425,0.071,0.38
113-2,1.00,0.256,1.00,1.00,0.274,0.055,0.75
