ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,8.289,0.50,0.94,8.299,0.741,0.60
BLAST-S14,0.94,8.098,0.50,0.94,8.024,0.747,0.50
Naive-S11,1.00,7.941,0.33,1.00,7.946,0.675,0.33
Naive-S14,1.00,7.962,0.36,1.00,7.965,0.670,0.35
101-1,0.69,8.087,0.45,0.69,7.894,0.679,0.43
101-2,0.67,6.948,0.39,0.67,6.845,0.589,0.41
101-3,0.69,7.973,0.98,0.69,8.085,1.401,0.97
102-1,0.00,8.496,1.00,0.00,8.498,0.711,1.00
102-2,0.00,8.496,1.00,0.00,8.498,0.711,1.00
102-3,0.00,8.496,1.00,0.00,8.498,0.711,1.00
103-1,0.57,6.647,0.22,0.57,6.642,0.660,0.28
103-2,0.69,6.428,0.22,0.69,6.396,0.609,0.31
103-3,0.63,6.681,0.17,0.63,6.583,0.594,0.24
104-1,0.00,8.496,1.00,0.00,8.498,0.711,1.00
104-2,0.00,8.496,1.00,0.00,8.498,0.711,1.00
104-3,0.00,8.496,1.00,0.00,8.498,0.711,1.00
105-1,1.00,7.064,0.98,1.00,7.069,0.643,0.98
105-2,0.76,9.753,1.00,0.76,9.853,1.849,1.00
105-3,0.84,12.120,1.00,0.84,12.216,2.640,1.00
106-1,0.53,6.369,0.29,0.53,6.342,0.617,0.26
106-2,0.00,8.496,1.00,0.00,8.498,0.711,1.00
106-3,0.31,7.085,0.07,0.31,7.061,0.607,0.19
107-1,0.98,9.496,1.00,0.98,9.740,2.506,1.00
107-2,0.98,7.197,0.14,0.98,7.143,0.561,0.16
107-3,0.94,7.703,0.11,0.94,7.505,0.599,0.15
108-1,0.00,8.496,1.00,0.00,8.498,0.711,1.00
109-1,0.00,8.496,1.00,0.00,8.498,0.711,1.00
110-1,0.92,9.767,1.00,0.92,9.880,1.635,0.99
110-2,0.88,7.145,0.67,0.88,7.100,0.634,0.71
110-3,1.00,14.619,1.00,1.00,14.618,0.830,0.99
111-1,0.92,9.767,1.00,0.92,9.880,1.635,0.99
