ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.145,0.31,0.94,0.155,0.032,0.32
BLAST-S14,0.94,0.184,0.33,0.94,0.205,0.040,0.36
Naive-S11,1.00,0.211,0.31,1.00,0.210,0.020,0.32
Naive-S14,1.00,0.211,0.33,1.00,0.210,0.020,0.33
101-1,0.69,0.300,0.29,0.69,0.304,0.040,0.30
101-2,0.67,0.352,0.20,0.67,0.351,0.044,0.19
101-3,0.69,0.367,0.48,0.69,0.366,0.045,0.53
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.57,0.323,0.16,0.57,0.325,0.050,0.17
103-2,0.69,0.344,0.16,0.69,0.347,0.052,0.18
103-3,0.63,0.356,0.17,0.63,0.353,0.053,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.345,0.81,1.00,0.353,0.044,0.87
105-2,0.76,0.385,0.98,0.76,0.392,0.050,0.99
105-3,0.84,0.370,1.00,0.84,0.374,0.047,1.00
106-1,0.53,0.342,0.07,0.53,0.340,0.057,0.09
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.31,0.234,0.07,0.31,0.231,0.054,0.09
107-1,0.98,0.368,0.75,0.98,0.370,0.048,0.75
107-2,0.98,0.292,0.03,0.98,0.306,0.043,0.06
107-3,0.94,0.285,0.07,0.94,0.296,0.047,0.07
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.92,0.262,0.40,0.92,0.267,0.038,0.46
110-2,0.88,0.336,0.20,0.88,0.346,0.043,0.29
110-3,1.00,0.149,0.84,1.00,0.151,0.025,0.77
111-1,0.92,0.262,0.40,0.92,0.267,0.038,0.46
111-2,1.00,0.149,0.84,1.00,0.151,0.025,0.77
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.359,0.42,1.00,0.359,0.043,0.44
112-2,1.00,0.351,0.40,1.00,0.356,0.043,0.42
112-3,1.00,0.359,0.42,1.00,0.359,0.043,0.44
113-1,1.00,0.351,0.40,1.00,0.356,0.043,0.42
113-2,1.00,0.148,0.84,1.00,0.150,0.025,0.76
113-3,0.76,0.241,0.49,0.76,0.248,0.040,0.65
114-1,1.00,0.375,1.00,1.00,0.388,0.047,0.88
115-1,1.00,0.392,0.63,1.00,0.394,0.052,0.60
116-1,0.76,0.341,0.61,0.76,0.343,0.053,0.51
116-2,0.43,0.116,0.02,0.43,0.114,0.033,0.11
117-1,1.00,0.357,0.09,1.00,0.371,0.037,0.07
117-2,0.06,0.058,1.00,0.06,0.057,0.038,0.88
119-1,1.00,0.353,0.68,1.00,0.357,0.048,0.67
120-1,1.00,0.375,1.00,1.00,0.377,0.053,0.98
120-2,1.00,0.228,0.61,1.00,0.232,0.028,0.59
120-3,1.00,0.199,0.51,1.00,0.200,0.024,0.52
121-1,0.63,0.372,0.60,0.63,0.370,0.053,0.60
121-2,0.02,0.020,0.61,0.02,0.019,0.018,0.38
