ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.147,0.31,0.94,0.158,0.032,0.33
BLAST-S14,0.94,0.187,0.34,0.94,0.211,0.042,0.37
Naive-S11,1.00,0.211,0.31,1.00,0.210,0.020,0.32
Naive-S14,1.00,0.211,0.33,1.00,0.210,0.020,0.33
101-1,0.69,0.343,0.29,0.69,0.352,0.046,0.31
101-2,0.67,0.434,0.20,0.67,0.434,0.049,0.21
101-3,0.69,0.448,0.48,0.69,0.448,0.049,0.61
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.57,0.455,0.22,0.57,0.456,0.061,0.21
103-2,0.69,0.434,0.22,0.69,0.435,0.059,0.20
103-3,0.63,0.467,0.17,0.63,0.464,0.060,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.345,0.81,1.00,0.353,0.044,0.87
105-2,0.76,0.439,0.99,0.76,0.450,0.055,0.99
105-3,0.84,0.403,1.00,0.84,0.407,0.050,1.00
106-1,0.53,0.501,0.07,0.53,0.499,0.070,0.10
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.31,0.469,0.07,0.31,0.467,0.084,0.11
107-1,0.98,0.372,0.75,0.98,0.374,0.049,0.75
107-2,0.98,0.295,0.03,0.98,0.309,0.044,0.06
107-3,0.94,0.296,0.07,0.94,0.307,0.049,0.07
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.92,0.270,0.40,0.92,0.276,0.039,0.48
110-2,0.88,0.358,0.45,0.88,0.370,0.046,0.32
110-3,1.00,0.149,0.84,1.00,0.151,0.025,0.77
111-1,0.92,0.270,0.40,0.92,0.276,0.039,0.48
111-2,1.00,0.149,0.84,1.00,0.151,0.025,0.77
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.359,0.42,1.00,0.359,0.043,0.44
112-2,1.00,0.351,0.40,1.00,0.356,0.043,0.42
112-3,1.00,0.359,0.42,1.00,0.359,0.043,0.44
