ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.227,0.53,0.99,0.235,0.020,0.48
BLAST-S14,1.00,0.243,0.51,1.00,0.247,0.019,0.52
Naive-S11,1.00,0.285,0.19,1.00,0.285,0.008,0.18
Naive-S14,1.00,0.291,0.20,1.00,0.291,0.007,0.20
101-1,0.89,0.255,0.36,0.89,0.254,0.018,0.36
101-2,0.85,0.308,0.13,0.85,0.308,0.017,0.16
101-3,0.89,0.273,0.33,0.89,0.275,0.015,0.30
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.53,0.220,0.17,0.53,0.219,0.019,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.330,0.93,1.00,0.331,0.020,0.93
105-2,0.99,0.343,0.96,0.99,0.344,0.020,0.96
105-3,0.99,0.329,1.00,0.99,0.331,0.021,0.99
106-1,0.35,0.191,0.08,0.35,0.190,0.022,0.09
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.21,0.125,0.08,0.21,0.124,0.021,0.10
107-1,0.99,0.296,0.76,0.99,0.298,0.022,0.77
107-2,0.99,0.275,0.02,0.99,0.274,0.020,0.02
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.246,0.21,1.00,0.246,0.009,0.21
110-2,0.96,0.317,0.34,0.95,0.319,0.016,0.37
110-3,1.00,0.258,0.38,1.00,0.259,0.017,0.37
111-1,0.90,0.261,0.03,0.90,0.260,0.013,0.05
111-2,1.00,0.251,0.40,1.00,0.252,0.016,0.40
111-3,0.14,0.099,0.01,0.14,0.097,0.019,0.02
112-1,0.99,0.323,0.50,0.99,0.324,0.016,0.52
112-2,0.99,0.320,0.51,0.99,0.323,0.016,0.51
112-3,0.99,0.313,0.50,0.99,0.314,0.015,0.49
113-1,0.99,0.310,0.49,0.99,0.312,0.015,0.48
113-2,0.88,0.205,0.52,0.88,0.206,0.015,0.50
113-3,0.15,0.105,0.01,0.15,0.104,0.020,0.02
114-1,1.00,0.350,0.77,1.00,0.356,0.019,0.83
115-1,1.00,0.316,0.37,1.00,0.319,0.017,0.31
116-1,0.69,0.260,0.18,0.69,0.259,0.019,0.22
116-2,0.31,0.119,0.37,0.32,0.119,0.020,0.39
117-1,1.00,0.360,0.12,1.00,0.361,0.016,0.12
117-2,0.14,0.094,1.00,0.14,0.093,0.019,1.00
119-1,0.97,0.357,0.71,0.97,0.357,0.021,0.70
120-1,1.00,0.352,0.81,1.00,0.355,0.019,0.87
120-2,1.00,0.321,0.56,1.00,0.322,0.014,0.55
