ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,16.713,0.97,0.99,16.656,0.994,0.92
BLAST-S14,1.00,16.652,0.97,1.00,16.655,1.008,0.97
Naive-S11,1.00,15.683,0.27,1.00,15.685,0.956,0.27
Naive-S14,1.00,15.683,0.26,1.00,15.681,0.951,0.26
101-1,0.89,16.551,0.49,0.89,16.485,1.001,0.48
101-2,0.85,16.028,0.56,0.85,16.006,0.979,0.58
101-3,0.89,19.118,1.00,0.89,19.175,1.190,0.99
102-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
102-2,0.00,16.860,1.00,0.00,16.861,1.010,1.00
102-3,0.00,16.860,1.00,0.00,16.861,1.010,1.00
103-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
103-2,0.00,16.860,1.00,0.00,16.861,1.010,1.00
103-3,0.53,16.161,0.33,0.53,16.165,1.025,0.33
104-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
104-2,0.00,16.860,1.00,0.00,16.861,1.010,1.00
104-3,0.00,16.860,1.00,0.00,16.861,1.010,1.00
105-1,1.00,16.674,0.99,1.00,16.605,0.969,0.99
105-2,0.99,31.836,1.00,0.99,31.929,4.129,1.00
105-3,0.99,41.937,1.00,0.99,41.993,4.894,1.00
106-1,0.35,15.967,0.28,0.35,15.937,1.001,0.26
106-2,0.00,16.860,1.00,0.00,16.861,1.010,1.00
106-3,0.21,16.395,0.23,0.21,16.379,0.991,0.24
107-1,0.99,59.175,1.00,0.99,59.198,6.636,1.00
107-2,0.99,15.979,0.04,0.99,15.917,0.966,0.05
107-3,0.00,16.860,1.00,0.00,16.861,1.010,1.00
108-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
109-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
110-1,1.00,16.443,0.37,1.00,16.260,1.014,0.31
110-2,0.96,16.074,0.86,0.95,16.047,0.971,0.90
110-3,1.00,22.046,1.00,1.00,22.085,1.026,1.00
111-1,0.90,16.437,0.40,0.90,16.424,0.989,0.49
111-2,1.00,20.083,1.00,1.00,20.118,0.976,1.00
111-3,0.14,16.651,0.55,0.14,16.646,1.002,0.63
112-1,0.99,16.169,0.80,0.99,16.155,0.973,0.79
112-2,0.99,16.188,0.79,0.99,16.171,0.974,0.80
112-3,0.99,16.050,0.72,0.99,16.012,0.965,0.72
113-1,0.99,16.087,0.75,0.99,16.040,0.968,0.73
113-2,0.88,20.988,1.00,0.88,21.024,0.932,1.00
113-3,0.15,16.661,0.55,0.15,16.651,1.002,0.65
114-1,1.00,20.028,1.00,1.00,20.090,1.167,1.00
115-1,1.00,15.907,0.66,1.00,15.894,0.986,0.68
116-1,0.69,15.871,0.69,0.69,15.813,0.986,0.61
116-2,0.31,16.413,0.55,0.32,16.413,1.014,0.51
117-1,1.00,15.432,0.14,1.00,15.437,0.979,0.14
117-2,0.14,17.387,1.00,0.14,17.493,1.199,1.00
119-1,0.97,16.158,0.90,0.97,16.147,0.986,0.91
120-1,1.00,21.435,1.00,1.00,21.497,1.261,1.00
120-2,1.00,15.521,0.65,1.00,15.497,0.941,0.66
120-3,0.98,15.903,0.55,0.98,15.884,0.939,0.56
121-1,0.54,15.692,0.60,0.54,15.706,0.986,0.60
121-2,0.02,16.660,0.85,0.02,16.660,1.022,0.86
121-3,0.67,15.829,0.07,0.67,15.802,0.996,0.16
122-1,0.67,16.165,1.00,0.67,16.096,0.976,0.95
124-1,1.00,16.542,0.49,1.00,16.385,0.996,0.63
124-2,1.00,15.988,0.34,1.00,15.991,0.959,0.34
124-3,1.00,16.328,0.49,1.00,16.271,1.001,0.57
125-1,1.00,19.997,1.00,1.00,20.060,1.168,1.00
125-2,0.97,16.491,0.99,0.97,16.418,0.982,0.94
125-3,0.95,16.477,0.95,0.95,16.460,0.995,0.95
126-1,0.34,15.982,0.38,0.34,15.956,0.986,0.34
127-1,0.96,15.440,0.59,0.95,15.419,0.981,0.57
127-2,0.95,15.048,0.64,0.95,15.017,0.996,0.65
127-3,0.26,16.784,0.70,0.26,16.780,1.009,0.66
128-1,0.57,32.004,1.00,0.57,32.146,5.250,1.00
129-1,1.00,14.957,0.65,1.00,14.938,0.975,0.64
129-2,0.72,15.581,0.60,0.72,15.552,0.948,0.62
129-3,1.00,14.936,0.65,1.00,14.912,0.970,0.64
130-1,0.00,16.860,1.00,0.00,16.861,1.010,1.00
130-2,0.00,16.860,1.00,0.00,16.861,1.010,1.00
130-3,0.00,16.860,1.00,0.00,16.861,1.010,1.00
131-1,0.84,15.873,0.70,0.84,15.868,0.987,0.65
131-2,0.83,15.877,0.85,0.83,15.852,1.000,0.82
