ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.227,0.50,0.99,0.233,0.013,0.51
BLAST-S14,0.99,0.256,0.55,0.99,0.259,0.015,0.56
Naive-S11,1.00,0.292,0.19,1.00,0.292,0.007,0.19
Naive-S14,1.00,0.293,0.20,1.00,0.293,0.006,0.20
101-1,0.82,0.271,0.36,0.82,0.270,0.014,0.36
101-2,0.80,0.318,0.17,0.80,0.318,0.014,0.17
101-3,0.82,0.287,0.24,0.82,0.290,0.013,0.29
102-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-3,0.42,0.237,0.17,0.42,0.237,0.019,0.17
104-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
105-1,1.00,0.344,0.92,1.00,0.346,0.017,0.92
105-2,0.97,0.358,0.94,0.97,0.360,0.017,0.95
105-3,0.99,0.355,0.99,0.99,0.355,0.018,0.99
106-1,0.39,0.197,0.09,0.39,0.197,0.019,0.10
106-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
106-3,0.26,0.169,0.09,0.26,0.169,0.019,0.11
107-1,1.00,0.276,0.80,1.00,0.278,0.016,0.80
107-2,1.00,0.319,0.02,1.00,0.319,0.018,0.02
107-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
108-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
109-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
110-1,1.00,0.264,0.04,1.00,0.264,0.009,0.09
110-2,0.94,0.362,0.36,0.95,0.365,0.015,0.46
110-3,1.00,0.263,0.36,1.00,0.264,0.012,0.36
111-1,0.93,0.288,0.01,0.93,0.288,0.012,0.01
111-2,0.99,0.258,0.40,0.99,0.259,0.012,0.37
111-3,0.16,0.127,0.01,0.16,0.126,0.017,0.01
112-1,0.99,0.368,0.53,0.99,0.369,0.015,0.51
112-2,0.99,0.369,0.53,0.99,0.370,0.015,0.52
112-3,0.97,0.346,0.51,0.97,0.348,0.015,0.48
113-1,0.97,0.347,0.49,0.97,0.349,0.015,0.47
113-2,0.84,0.194,0.44,0.85,0.196,0.011,0.46
113-3,0.17,0.132,0.01,0.17,0.130,0.016,0.01
114-1,1.00,0.367,0.85,1.00,0.370,0.015,0.82
115-1,1.00,0.357,0.28,1.00,0.360,0.016,0.26
116-1,0.71,0.286,0.34,0.71,0.286,0.018,0.29
116-2,0.35,0.135,0.17,0.35,0.134,0.017,0.21
117-1,1.00,0.388,0.12,1.00,0.387,0.015,0.12
117-2,0.25,0.181,1.00,0.25,0.180,0.020,1.00
119-1,0.94,0.347,0.56,0.94,0.350,0.014,0.59
120-1,1.00,0.376,0.86,1.00,0.377,0.016,0.86
120-2,1.00,0.339,0.56,1.00,0.342,0.012,0.55
120-3,1.00,0.291,0.46,1.00,0.293,0.011,0.47
121-1,0.49,0.240,0.60,0.49,0.240,0.018,0.60
121-2,0.02,0.009,0.72,0.02,0.008,0.004,0.67
121-3,0.59,0.289,0.01,0.59,0.288,0.018,0.01
122-1,0.65,0.304,0.69,0.65,0.304,0.018,0.69
124-1,1.00,0.308,0.34,1.00,0.308,0.012,0.33
124-2,1.00,0.262,0.25,1.00,0.262,0.008,0.25
124-3,1.00,0.303,0.34,1.00,0.306,0.012,0.31
125-1,1.00,0.360,0.75,1.00,0.367,0.015,0.78
125-2,0.90,0.335,0.15,0.90,0.336,0.016,0.15
125-3,0.94,0.303,0.20,0.94,0.308,0.016,0.24
126-1,0.99,0.344,0.26,0.99,0.346,0.015,0.24
127-1,0.93,0.379,0.38,0.93,0.379,0.014,0.38
127-2,0.92,0.383,0.49,0.92,0.387,0.015,0.47
127-3,0.23,0.083,0.07,0.23,0.083,0.007,0.08
128-1,0.59,0.240,0.30,0.59,0.240,0.018,0.34
129-1,0.99,0.376,0.61,0.99,0.379,0.013,0.58
129-2,0.54,0.267,0.48,0.54,0.267,0.012,0.50
129-3,0.99,0.378,0.57,0.99,0.380,0.013,0.58
130-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
130-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
130-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
131-1,0.71,0.319,0.04,0.71,0.319,0.017,0.05
131-2,0.69,0.312,0.04,0.69,0.312,0.018,0.04
131-3,0.98,0.324,0.06,0.98,0.327,0.016,0.07
132-1,0.99,0.366,0.51,0.99,0.367,0.015,0.51
132-2,0.97,0.348,0.50,0.97,0.349,0.015,0.49
65-1,0.88,0.329,0.20,0.88,0.329,0.013,0.20
65-2,0.82,0.333,0.19,0.82,0.333,0.014,0.19
65-3,0.88,0.336,0.21,0.88,0.337,0.014,0.22
68-1,0.99,0.256,0.98,0.99,0.263,0.013,0.95
68-2,0.99,0.272,1.00,0.99,0.277,0.014,0.97
69-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
69-2,1.00,0.362,0.34,1.00,0.364,0.016,0.33
70-1,1.00,0.327,0.20,1.00,0.328,0.012,0.21
70-2,1.00,0.267,0.11,1.00,0.269,0.007,0.13
70-3,1.00,0.287,0.09,1.00,0.288,0.008,0.09
72-1,0.97,0.357,0.01,0.97,0.356,0.016,0.01
72-2,0.93,0.275,0.01,0.93,0.274,0.016,0.01
73-1,1.00,0.276,0.65,1.00,0.278,0.015,0.70
73-2,1.00,0.273,0.65,1.00,0.276,0.015,0.72
73-3,0.99,0.206,0.99,0.99,0.205,0.016,0.98
74-1,0.50,0.248,0.02,0.50,0.247,0.017,0.02
74-2,0.98,0.311,0.09,0.98,0.313,0.016,0.10
75-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
75-2,1.00,0.365,0.50,1.00,0.368,0.016,0.43
79-1,0.88,0.330,0.12,0.88,0.331,0.014,0.14
79-2,0.59,0.269,0.12,0.59,0.270,0.015,0.10
79-3,0.87,0.361,0.10,0.87,0.363,0.014,0.10
80-1,0.56,0.262,0.02,0.55,0.262,0.017,0.02
80-2,0.99,0.337,0.24,0.99,0.342,0.017,0.26
81-1,0.69,0.287,0.01,0.69,0.288,0.017,0.04
81-2,0.69,0.287,0.01,0.69,0.288,0.017,0.04
82-1,0.90,0.271,0.52,0.90,0.271,0.014,0.53
83-1,0.92,0.372,0.18,0.92,0.373,0.013,0.18
83-2,0.92,0.373,0.18,0.92,0.374,0.013,0.18
84-1,0.73,0.194,0.03,0.73,0.194,0.011,0.03
85-1,0.97,0.416,0.37,0.97,0.418,0.015,0.38
85-2,1.00,0.412,0.64,1.00,0.413,0.014,0.61
86-1,0.95,0.323,0.43,0.95,0.325,0.013,0.50
86-2,0.95,0.323,0.43,0.95,0.325,0.013,0.50
86-3,0.69,0.264,0.31,0.69,0.264,0.017,0.31
87-1,0.84,0.329,0.43,0.84,0.334,0.015,0.31
87-2,0.84,0.319,0.06,0.84,0.322,0.015,0.13
87-3,0.64,0.290,0.11,0.64,0.291,0.016,0.23
88-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
89-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
91-1,0.31,0.125,0.03,0.31,0.124,0.010,0.03
91-2,0.31,0.126,1.00,0.31,0.125,0.010,1.00
91-3,0.31,0.046,0.46,0.31,0.048,0.005,0.46
93-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
93-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
94-1,0.98,0.350,0.19,0.98,0.352,0.016,0.29
