ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.187,0.59,0.99,0.194,0.014,0.54
BLAST-S14,0.99,0.214,0.55,0.99,0.220,0.015,0.61
Naive-S11,1.00,0.215,0.14,1.00,0.216,0.006,0.15
Naive-S14,1.00,0.221,0.17,1.00,0.221,0.005,0.17
101-1,0.82,0.234,0.36,0.82,0.234,0.014,0.36
101-2,0.80,0.271,0.17,0.80,0.271,0.014,0.17
101-3,0.82,0.241,0.62,0.82,0.244,0.013,0.47
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.42,0.210,0.17,0.42,0.210,0.019,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.300,0.93,1.00,0.303,0.017,0.93
105-2,0.97,0.315,0.94,0.97,0.317,0.017,0.95
105-3,0.99,0.314,0.99,0.99,0.315,0.018,0.99
106-1,0.39,0.167,0.09,0.39,0.167,0.018,0.10
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.26,0.145,0.09,0.26,0.145,0.018,0.12
107-1,1.00,0.238,0.80,1.00,0.239,0.016,0.82
107-2,1.00,0.275,0.02,1.00,0.275,0.018,0.02
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.169,0.04,1.00,0.169,0.011,0.09
110-2,0.94,0.310,0.36,0.95,0.315,0.015,0.51
110-3,1.00,0.215,0.29,1.00,0.216,0.012,0.31
111-1,0.93,0.220,0.01,0.93,0.220,0.015,0.01
111-2,0.99,0.206,0.29,0.99,0.207,0.012,0.33
111-3,0.16,0.116,0.01,0.16,0.115,0.017,0.01
112-1,0.99,0.318,0.54,0.99,0.319,0.016,0.53
112-2,0.99,0.317,0.57,0.99,0.319,0.016,0.54
112-3,0.97,0.296,0.51,0.97,0.297,0.015,0.51
113-1,0.97,0.296,0.53,0.97,0.297,0.015,0.50
113-2,0.84,0.139,0.52,0.85,0.142,0.010,0.60
113-3,0.17,0.119,0.01,0.17,0.117,0.016,0.01
114-1,1.00,0.326,0.85,1.00,0.328,0.016,0.84
115-1,1.00,0.315,0.28,1.00,0.319,0.016,0.25
116-1,0.71,0.241,0.34,0.71,0.241,0.017,0.28
116-2,0.35,0.105,0.17,0.35,0.104,0.015,0.23
117-1,1.00,0.333,0.12,1.00,0.333,0.015,0.12
117-2,0.25,0.158,1.00,0.25,0.157,0.018,1.00
119-1,0.94,0.308,0.56,0.94,0.312,0.014,0.62
120-1,1.00,0.331,0.86,1.00,0.333,0.016,0.86
120-2,1.00,0.280,0.51,1.00,0.283,0.011,0.54
120-3,1.00,0.221,0.45,1.00,0.221,0.010,0.45
121-1,0.49,0.207,0.60,0.49,0.206,0.017,0.60
121-2,0.02,0.006,0.72,0.02,0.006,0.003,0.64
121-3,0.59,0.257,0.01,0.59,0.257,0.018,0.01
122-1,0.65,0.268,0.69,0.65,0.268,0.017,0.69
124-1,1.00,0.246,0.34,1.00,0.249,0.012,0.31
124-2,1.00,0.202,0.18,1.00,0.202,0.006,0.17
124-3,1.00,0.244,0.27,1.00,0.246,0.012,0.30
125-1,1.00,0.318,0.85,1.00,0.323,0.015,0.80
125-2,0.90,0.300,0.15,0.90,0.300,0.016,0.15
125-3,0.94,0.264,0.29,0.94,0.270,0.016,0.26
126-1,0.99,0.308,0.27,0.99,0.309,0.015,0.27
127-1,0.93,0.335,0.38,0.93,0.335,0.014,0.38
127-2,0.92,0.336,0.45,0.92,0.340,0.015,0.45
127-3,0.23,0.056,0.04,0.23,0.056,0.005,0.06
128-1,0.59,0.192,0.30,0.59,0.192,0.017,0.33
129-1,0.99,0.316,0.53,0.99,0.318,0.012,0.55
129-2,0.54,0.228,0.48,0.54,0.228,0.012,0.48
129-3,0.99,0.316,0.53,0.99,0.318,0.012,0.55
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.71,0.278,0.04,0.71,0.279,0.017,0.05
131-2,0.69,0.272,0.04,0.69,0.272,0.017,0.04
131-3,0.98,0.286,0.06,0.98,0.288,0.016,0.07
132-1,0.99,0.317,0.50,0.99,0.318,0.015,0.52
132-2,0.97,0.300,0.50,0.97,0.300,0.015,0.50
65-1,0.88,0.274,0.20,0.88,0.275,0.012,0.19
65-2,0.82,0.281,0.19,0.82,0.281,0.013,0.19
65-3,0.88,0.285,0.21,0.88,0.285,0.013,0.21
68-1,0.99,0.211,0.98,0.99,0.216,0.013,0.98
68-2,0.99,0.227,1.00,0.99,0.229,0.014,0.99
69-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
69-2,1.00,0.321,0.31,1.00,0.323,0.016,0.32
70-1,1.00,0.267,0.23,1.00,0.267,0.011,0.22
70-2,1.00,0.215,0.11,1.00,0.215,0.006,0.11
70-3,1.00,0.220,0.09,1.00,0.221,0.007,0.09
72-1,0.97,0.314,0.01,0.97,0.314,0.016,0.01
72-2,0.93,0.225,0.01,0.93,0.224,0.016,0.01
73-1,1.00,0.231,0.65,1.00,0.232,0.016,0.70
73-2,1.00,0.230,0.65,1.00,0.231,0.015,0.70
73-3,0.99,0.174,0.95,0.99,0.174,0.015,0.96
74-1,0.50,0.218,0.02,0.50,0.217,0.016,0.02
74-2,0.98,0.263,0.09,0.98,0.266,0.016,0.11
75-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
75-2,1.00,0.322,0.31,1.00,0.326,0.016,0.40
79-1,0.88,0.289,0.12,0.88,0.289,0.014,0.13
79-2,0.59,0.239,0.12,0.59,0.240,0.015,0.10
79-3,0.87,0.326,0.07,0.87,0.328,0.014,0.09
80-1,0.56,0.229,0.02,0.55,0.229,0.016,0.03
80-2,0.99,0.296,0.40,0.99,0.300,0.017,0.29
81-1,0.69,0.256,0.02,0.69,0.257,0.017,0.06
81-2,0.69,0.256,0.02,0.69,0.257,0.017,0.05
82-1,0.90,0.221,0.52,0.90,0.221,0.014,0.53
83-1,0.92,0.336,0.15,0.92,0.338,0.013,0.16
83-2,0.92,0.338,0.15,0.92,0.340,0.013,0.16
84-1,0.73,0.147,0.03,0.73,0.147,0.010,0.03
85-1,0.97,0.374,0.46,0.97,0.376,0.016,0.42
85-2,1.00,0.375,0.57,1.00,0.378,0.015,0.56
86-1,0.95,0.261,0.43,0.95,0.265,0.013,0.50
86-2,0.95,0.261,0.43,0.95,0.265,0.013,0.50
86-3,0.69,0.226,0.31,0.69,0.226,0.016,0.31
87-1,0.84,0.290,0.10,0.84,0.294,0.015,0.25
87-2,0.84,0.281,0.06,0.84,0.283,0.015,0.11
87-3,0.64,0.255,0.11,0.64,0.256,0.015,0.21
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.31,0.085,0.03,0.31,0.085,0.007,0.03
91-2,0.31,0.086,1.00,0.31,0.085,0.007,1.00
91-3,0.31,0.018,0.45,0.31,0.019,0.002,0.46
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,0.98,0.307,0.19,0.98,0.309,0.016,0.33
95-1,0.99,0.241,0.66,0.99,0.247,0.012,0.77
95-2,0.99,0.229,0.95,0.99,0.237,0.012,0.85
96-1,1.00,0.055,1.00,1.00,0.055,0.003,1.00
96-2,1.00,0.062,1.00,1.00,0.062,0.003,1.00
96-3,1.00,0.062,1.00,1.00,0.062,0.003,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,1.00,0.113,0.49,1.00,0.113,0.006,0.49
99-1,0.96,0.265,0.13,0.96,0.268,0.015,0.15
