ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,19.963,0.91,0.99,19.946,1.092,0.91
BLAST-S14,0.99,19.970,0.94,0.99,19.910,1.083,0.93
Naive-S11,1.00,19.152,0.22,1.00,19.113,1.045,0.24
Naive-S14,1.00,19.135,0.23,1.00,19.098,1.035,0.24
101-1,0.82,19.746,0.42,0.82,19.684,1.048,0.45
101-2,0.80,18.471,0.51,0.80,18.426,1.072,0.49
101-3,0.82,22.340,1.00,0.82,22.371,1.131,0.99
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.42,18.975,0.33,0.42,18.666,1.421,0.26
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,20.133,0.99,1.00,20.049,1.066,0.99
105-2,0.97,38.587,1.00,0.97,38.709,4.776,1.00
105-3,0.99,47.614,1.00,0.99,47.700,5.237,1.00
106-1,0.39,17.215,0.24,0.39,17.163,1.374,0.27
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.26,16.749,0.32,0.26,16.585,1.711,0.30
107-1,1.00,64.210,1.00,1.00,64.197,5.532,1.00
107-2,1.00,18.695,0.04,1.00,18.686,1.051,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,20.215,0.40,1.00,20.069,1.120,0.40
110-2,0.94,18.856,0.83,0.95,18.824,1.119,0.83
110-3,1.00,23.462,1.00,1.00,23.481,0.961,1.00
111-1,0.93,20.204,0.68,0.93,20.157,1.146,0.68
111-2,0.99,22.313,1.00,0.99,22.327,0.997,1.00
111-3,0.16,18.415,1.00,0.16,18.421,1.997,0.98
112-1,0.99,18.716,0.72,0.99,18.673,1.057,0.72
112-2,0.99,18.689,0.74,0.99,18.650,1.058,0.72
112-3,0.97,18.694,0.67,0.97,18.657,1.072,0.67
113-1,0.97,18.660,0.67,0.97,18.623,1.073,0.68
113-2,0.84,25.094,1.00,0.85,25.114,1.042,1.00
113-3,0.17,18.533,0.96,0.17,18.508,1.935,0.96
114-1,1.00,21.160,1.00,1.00,21.197,1.129,1.00
115-1,1.00,19.025,0.65,1.00,18.968,1.009,0.61
116-1,0.71,18.241,0.34,0.71,18.202,1.223,0.37
116-2,0.35,19.737,0.33,0.35,19.709,2.172,0.28
117-1,1.00,18.656,0.14,1.00,18.577,1.033,0.14
117-2,0.25,32.157,1.00,0.25,32.216,3.811,1.00
119-1,0.94,20.018,0.87,0.94,19.973,1.089,0.87
120-1,1.00,22.293,1.00,1.00,22.332,1.235,1.00
120-2,1.00,18.396,0.64,1.00,18.375,1.031,0.64
120-3,1.00,19.204,0.51,1.00,19.160,1.025,0.51
121-1,0.49,18.219,0.60,0.49,18.228,1.208,0.60
121-2,0.02,23.031,1.00,0.02,22.840,10.737,0.95
121-3,0.59,17.479,0.04,0.59,17.378,1.141,0.05
122-1,0.65,18.686,0.98,0.65,18.644,1.139,0.97
124-1,1.00,19.415,0.49,1.00,19.369,1.099,0.48
124-2,1.00,19.390,0.27,1.00,19.354,1.039,0.27
124-3,1.00,19.387,0.49,1.00,19.347,1.102,0.47
125-1,1.00,21.156,1.00,1.00,21.193,1.129,1.00
125-2,0.90,19.192,0.85,0.90,19.156,0.974,0.88
125-3,0.94,19.275,0.94,0.94,19.242,1.110,0.95
126-1,0.99,18.707,0.40,0.99,18.601,1.065,0.39
127-1,0.93,18.957,0.54,0.93,18.911,1.093,0.56
127-2,0.92,18.542,0.62,0.92,18.531,1.146,0.62
127-3,0.23,17.362,0.70,0.23,17.345,1.446,0.64
128-1,0.59,63.407,1.00,0.59,63.343,8.570,1.00
129-1,0.99,18.348,0.65,0.99,18.283,1.059,0.64
129-2,0.54,21.140,0.62,0.54,21.091,1.639,0.63
129-3,0.99,18.391,0.62,0.99,18.338,1.050,0.63
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.71,18.242,0.38,0.71,18.121,1.109,0.50
131-2,0.69,18.783,0.29,0.69,18.647,1.105,0.50
131-3,0.98,18.970,0.17,0.98,18.909,1.052,0.20
132-1,0.99,18.918,0.70,0.99,18.869,1.058,0.72
132-2,0.97,18.867,0.62,0.97,18.831,1.052,0.63
65-1,0.88,19.272,0.36,0.88,19.242,1.127,0.36
65-2,0.82,19.512,0.37,0.82,19.467,1.202,0.36
65-3,0.88,19.345,0.39,0.88,19.292,1.130,0.39
68-1,0.99,34.699,1.00,0.99,34.746,2.317,1.00
68-2,0.99,36.533,1.00,0.99,36.577,2.453,1.00
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,18.384,0.94,1.00,18.341,1.047,0.90
70-1,1.00,19.006,0.48,1.00,18.977,1.087,0.48
70-2,1.00,19.395,0.19,1.00,19.369,1.026,0.19
70-3,1.00,19.559,0.15,1.00,19.518,1.062,0.16
72-1,0.97,19.855,0.38,0.97,19.751,1.247,0.41
72-2,0.93,19.572,0.01,0.93,19.600,1.253,0.02
73-1,1.00,27.596,1.00,1.00,27.814,3.823,1.00
73-2,1.00,25.346,1.00,1.00,25.499,2.904,1.00
73-3,0.99,321.155,1.00,0.99,321.333,16.517,1.00
74-1,0.50,18.261,0.31,0.50,18.229,1.290,0.34
74-2,0.98,18.985,0.55,0.98,18.905,1.053,0.46
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,1.00,18.384,0.94,1.00,18.341,1.047,0.90
79-1,0.88,20.030,0.93,0.88,19.921,1.071,0.83
79-2,0.59,17.680,0.23,0.59,17.629,1.108,0.23
79-3,0.87,19.661,0.92,0.87,19.532,1.057,0.81
80-1,0.56,18.342,0.70,0.55,18.316,1.155,0.66
80-2,0.99,19.040,0.72,0.99,18.846,1.010,0.74
81-1,0.69,18.203,0.62,0.69,18.155,1.085,0.63
81-2,0.69,18.200,0.62,0.69,18.172,1.092,0.63
82-1,0.90,20.241,0.93,0.90,20.206,1.164,0.93
83-1,0.92,20.446,0.95,0.92,20.416,1.144,0.84
83-2,0.92,19.941,0.76,0.92,19.916,1.131,0.80
84-1,0.73,19.377,0.09,0.73,19.333,1.350,0.09
85-1,0.97,18.533,0.71,0.97,18.420,1.081,0.71
85-2,1.00,18.375,0.78,1.00,18.341,1.035,0.78
86-1,0.95,19.551,1.00,0.95,19.538,1.086,1.00
86-2,0.95,19.551,1.00,0.95,19.538,1.086,1.00
86-3,0.69,19.822,0.75,0.69,19.711,1.425,0.84
87-1,0.84,19.565,0.54,0.84,19.467,1.156,0.54
87-2,0.84,20.107,0.31,0.84,20.021,1.195,0.32
87-3,0.64,20.202,0.81,0.64,20.168,1.184,0.81
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.31,20.566,1.00,0.31,20.541,1.758,1.00
91-2,0.31,73.767,1.00,0.31,73.771,7.341,1.00
91-3,0.31,20.377,1.00,0.31,20.355,1.749,1.00
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,0.98,20.079,1.00,0.98,20.068,0.959,0.99
95-1,0.99,39.314,1.00,0.99,39.367,2.999,1.00
95-2,0.99,42.163,1.00,0.99,42.209,3.156,1.00
96-1,1.00,310.465,1.00,1.00,310.452,5.880,1.00
96-2,1.00,267.467,1.00,1.00,267.467,4.352,1.00
96-3,1.00,288.587,1.00,1.00,288.671,5.185,1.00
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,20.400,0.52,1.00,20.374,1.107,0.52
99-1,0.96,19.364,0.36,0.96,19.338,1.135,0.35
