ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.659,0.49,0.99,0.659,0.009,0.50
BLAST-S14,0.99,0.651,0.57,0.99,0.649,0.009,0.56
Naive-S11,1.00,0.630,0.15,1.00,0.630,0.003,0.15
Naive-S14,1.00,0.630,0.17,1.00,0.629,0.003,0.18
101-1,0.90,0.660,0.36,0.90,0.661,0.008,0.36
101-2,0.88,0.634,0.18,0.88,0.633,0.010,0.20
101-3,0.90,0.651,0.40,0.90,0.650,0.009,0.41
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.44,0.755,0.17,0.44,0.755,0.025,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.622,0.95,1.00,0.619,0.012,0.96
105-2,0.97,0.619,0.98,0.97,0.615,0.013,0.98
105-3,0.96,0.624,1.00,0.96,0.625,0.013,1.00
106-1,0.41,0.777,0.07,0.41,0.778,0.027,0.10
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.29,0.818,0.13,0.29,0.818,0.028,0.11
107-1,1.00,0.644,0.78,1.00,0.643,0.013,0.84
107-2,1.00,0.613,0.03,1.00,0.609,0.018,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.95,0.654,0.74,0.95,0.653,0.008,0.77
110-2,0.91,0.626,0.49,0.91,0.626,0.010,0.50
110-3,1.00,0.673,0.79,1.00,0.673,0.004,0.72
111-1,0.95,0.657,0.74,0.95,0.655,0.008,0.65
111-2,0.96,0.675,0.55,0.96,0.674,0.003,0.53
