ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,17.986,0.96,0.99,17.960,1.380,0.93
BLAST-S14,0.99,18.174,0.97,0.99,18.165,1.393,0.97
Naive-S11,1.00,16.980,0.22,1.00,16.982,1.299,0.22
Naive-S14,1.00,17.026,0.25,1.00,17.007,1.294,0.24
101-1,0.90,18.459,0.60,0.90,18.406,1.428,0.54
101-2,0.88,17.442,0.59,0.88,17.444,1.389,0.60
101-3,0.90,20.838,1.00,0.90,20.911,1.346,1.00
102-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
102-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
102-3,0.00,18.509,1.00,0.00,18.520,1.451,1.00
103-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
103-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
103-3,0.44,17.920,0.33,0.44,17.822,1.397,0.26
104-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
104-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
104-3,0.00,18.509,1.00,0.00,18.520,1.451,1.00
105-1,1.00,17.885,0.99,1.00,17.853,1.406,0.99
105-2,0.97,34.298,1.00,0.97,34.404,5.442,1.00
105-3,0.96,43.110,1.00,0.96,43.163,5.962,1.00
106-1,0.41,17.712,0.23,0.41,17.733,1.437,0.25
106-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
106-3,0.29,17.973,0.23,0.29,17.992,1.449,0.25
107-1,1.00,59.755,1.00,1.00,59.743,7.009,1.00
107-2,1.00,17.200,0.05,1.00,17.165,1.375,0.06
107-3,0.00,18.509,1.00,0.00,18.520,1.451,1.00
108-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
109-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
110-1,0.95,21.252,1.00,0.95,21.324,1.536,1.00
110-2,0.91,17.711,0.95,0.91,17.723,1.380,0.93
110-3,1.00,22.688,1.00,1.00,22.743,1.177,1.00
111-1,0.95,20.351,1.00,0.95,20.431,1.454,1.00
111-2,0.96,21.249,1.00,0.96,21.304,1.224,1.00
111-3,0.08,18.127,0.24,0.08,18.125,1.428,0.30
112-1,0.98,17.780,0.76,0.99,17.748,1.372,0.81
112-2,0.98,17.761,0.79,0.99,17.735,1.371,0.81
112-3,0.98,17.490,0.72,0.99,17.424,1.374,0.69
113-1,0.98,17.478,0.66,0.99,17.422,1.370,0.68
113-2,0.77,21.531,1.00,0.77,21.577,1.144,1.00
113-3,0.94,20.007,1.00,0.94,20.082,1.414,1.00
114-1,1.00,22.568,1.00,1.00,22.628,1.573,1.00
115-1,1.00,17.363,0.71,1.00,17.302,1.385,0.68
116-1,0.68,17.544,0.66,0.68,17.532,1.414,0.63
116-2,0.31,17.946,0.49,0.31,17.954,1.430,0.55
117-1,1.00,17.534,0.17,1.00,17.478,1.379,0.17
117-2,0.32,22.339,1.00,0.32,22.537,2.687,1.00
119-1,0.98,17.781,0.90,0.98,17.759,1.377,0.90
120-1,1.00,23.305,1.00,1.00,23.365,1.638,1.00
120-2,1.00,17.298,0.64,1.00,17.252,1.364,0.64
120-3,1.00,17.236,0.56,1.00,17.247,1.384,0.56
121-1,0.62,17.630,0.60,0.62,17.661,1.336,0.61
121-2,0.07,18.346,0.85,0.07,18.365,1.428,0.87
121-3,0.66,17.323,0.06,0.66,17.286,1.373,0.08
122-1,0.83,17.466,0.99,0.83,17.435,1.429,0.99
124-1,1.00,17.841,0.45,1.00,17.831,1.378,0.45
124-2,1.00,17.846,0.30,1.00,17.764,1.357,0.31
124-3,1.00,17.846,0.45,1.00,17.824,1.374,0.44
125-1,1.00,22.477,1.00,1.00,22.537,1.561,1.00
125-2,0.95,18.074,0.93,0.95,18.049,1.411,0.90
125-3,0.96,17.989,0.97,0.96,17.971,1.405,0.97
126-1,0.20,17.917,0.34,0.20,17.899,1.426,0.31
127-1,0.95,17.274,0.60,0.95,17.252,1.407,0.58
127-2,0.95,17.200,0.64,0.95,17.180,1.393,0.61
127-3,0.44,18.193,0.31,0.44,18.183,1.427,0.30
128-1,0.62,37.999,1.00,0.62,38.221,6.280,1.00
129-1,0.98,17.335,0.67,0.98,17.323,1.374,0.66
129-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
129-3,0.98,17.335,0.67,0.98,17.323,1.374,0.66
130-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
130-2,0.00,18.509,1.00,0.00,18.520,1.451,1.00
130-3,0.00,18.509,1.00,0.00,18.520,1.451,1.00
131-1,0.88,17.451,0.84,0.88,17.395,1.377,0.68
131-2,0.86,17.462,0.81,0.86,17.441,1.396,0.77
131-3,0.99,17.359,0.37,0.99,17.357,1.419,0.38
132-1,0.98,17.659,0.79,0.99,17.615,1.361,0.80
132-2,0.98,17.356,0.73,0.99,17.313,1.355,0.71
65-1,0.98,17.214,0.60,0.98,17.193,1.347,0.60
65-2,0.97,17.214,0.56,0.97,17.178,1.346,0.57
65-3,0.98,17.192,0.61,0.98,17.180,1.348,0.61
68-1,1.00,37.146,1.00,1.00,37.200,3.972,1.00
68-2,1.00,38.630,1.00,1.00,38.733,4.267,1.00
69-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
69-2,1.00,17.180,0.98,1.00,17.165,1.399,0.95
70-1,1.00,17.487,0.40,1.00,17.456,1.374,0.45
70-2,1.00,17.246,0.18,1.00,17.240,1.274,0.19
70-3,1.00,17.195,0.15,1.00,17.185,1.329,0.16
72-1,0.75,18.144,0.60,0.75,18.106,1.417,0.58
72-2,0.57,17.580,0.01,0.57,17.600,1.412,0.01
73-1,1.00,23.168,1.00,1.00,23.280,2.170,1.00
73-2,1.00,23.168,1.00,1.00,23.280,2.170,1.00
73-3,0.99,272.280,1.00,0.99,272.343,23.073,1.00
74-1,0.57,17.701,0.42,0.57,17.623,1.397,0.38
74-2,0.97,17.379,0.72,0.97,17.380,1.397,0.71
75-1,0.00,18.509,1.00,0.00,18.520,1.451,1.00
