ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.189,0.50,0.99,0.194,0.021,0.54
BLAST-S14,0.99,0.228,0.64,0.99,0.231,0.022,0.62
Naive-S11,1.00,0.235,0.13,1.00,0.238,0.009,0.16
Naive-S14,1.00,0.237,0.20,1.00,0.238,0.009,0.18
101-1,0.90,0.223,0.36,0.90,0.223,0.020,0.36
101-2,0.88,0.248,0.18,0.88,0.252,0.022,0.25
101-3,0.90,0.252,0.61,0.90,0.253,0.021,0.60
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.44,0.310,0.17,0.44,0.311,0.037,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.273,0.98,1.00,0.283,0.022,0.95
105-2,0.97,0.286,0.96,0.97,0.293,0.023,0.97
105-3,0.96,0.273,1.00,0.96,0.277,0.023,0.99
106-1,0.41,0.370,0.17,0.41,0.370,0.049,0.18
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.29,0.407,0.17,0.29,0.408,0.061,0.19
107-1,1.00,0.240,0.76,1.00,0.246,0.026,0.77
107-2,1.00,0.275,0.03,1.00,0.276,0.030,0.03
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.95,0.218,0.39,0.95,0.224,0.021,0.51
110-2,0.91,0.252,0.40,0.91,0.256,0.020,0.44
110-3,1.00,0.233,0.28,1.00,0.233,0.018,0.27
111-1,0.95,0.216,0.74,0.95,0.225,0.020,0.55
111-2,0.96,0.209,0.29,0.96,0.211,0.017,0.26
111-3,0.08,0.234,0.24,0.08,0.234,0.055,0.29
112-1,0.98,0.266,0.46,0.99,0.270,0.018,0.48
112-2,0.98,0.264,0.48,0.99,0.268,0.018,0.48
112-3,0.98,0.264,0.45,0.99,0.267,0.018,0.47
113-1,0.98,0.261,0.48,0.99,0.266,0.018,0.47
113-2,0.77,0.133,0.28,0.77,0.136,0.012,0.38
113-3,0.94,0.199,0.74,0.94,0.208,0.020,0.55
114-1,1.00,0.310,0.97,1.00,0.313,0.025,0.96
115-1,1.00,0.317,0.36,1.00,0.323,0.026,0.32
116-1,0.68,0.296,0.21,0.68,0.301,0.039,0.46
116-2,0.31,0.305,0.66,0.31,0.306,0.063,0.69
117-1,1.00,0.298,0.12,1.00,0.303,0.017,0.12
117-2,0.32,0.191,1.00,0.32,0.189,0.033,1.00
119-1,0.98,0.286,0.68,0.98,0.290,0.022,0.69
120-1,1.00,0.308,0.99,1.00,0.313,0.025,0.96
120-2,1.00,0.286,0.56,1.00,0.289,0.019,0.55
120-3,1.00,0.259,0.51,1.00,0.261,0.020,0.50
121-1,0.62,0.346,0.60,0.62,0.345,0.037,0.60
121-2,0.07,0.351,0.85,0.07,0.322,0.077,0.85
121-3,0.66,0.343,0.03,0.66,0.349,0.034,0.03
122-1,0.83,0.324,0.76,0.83,0.325,0.028,0.78
124-1,1.00,0.233,0.21,1.00,0.235,0.014,0.21
124-2,1.00,0.241,0.15,1.00,0.241,0.012,0.14
124-3,1.00,0.244,0.21,1.00,0.245,0.015,0.21
125-1,1.00,0.311,0.96,1.00,0.313,0.025,0.95
125-2,0.95,0.272,0.28,0.95,0.281,0.023,0.25
125-3,0.96,0.246,0.30,0.96,0.250,0.023,0.35
126-1,0.20,0.338,0.37,0.20,0.343,0.058,0.33
127-1,0.95,0.293,0.36,0.95,0.298,0.019,0.39
127-2,0.95,0.298,0.38,0.95,0.300,0.019,0.41
127-3,0.44,0.191,0.08,0.44,0.190,0.020,0.07
128-1,0.62,0.157,0.53,0.62,0.167,0.021,0.33
129-1,0.98,0.300,0.53,0.98,0.300,0.018,0.53
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.98,0.300,0.53,0.98,0.300,0.018,0.53
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.88,0.315,0.07,0.88,0.321,0.027,0.08
131-2,0.86,0.326,0.04,0.86,0.330,0.027,0.06
131-3,0.99,0.254,0.12,0.99,0.263,0.026,0.12
132-1,0.98,0.262,0.62,0.99,0.268,0.017,0.54
132-2,0.98,0.258,0.45,0.99,0.262,0.016,0.50
65-1,0.98,0.249,0.48,0.98,0.251,0.012,0.46
65-2,0.97,0.255,0.46,0.97,0.257,0.012,0.44
65-3,0.98,0.252,0.50,0.98,0.256,0.012,0.47
68-1,1.00,0.193,1.00,1.00,0.192,0.020,1.00
68-2,1.00,0.198,1.00,1.00,0.200,0.021,0.99
69-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
69-2,1.00,0.306,0.37,1.00,0.311,0.026,0.35
70-1,1.00,0.251,0.24,1.00,0.253,0.015,0.23
70-2,1.00,0.231,0.11,1.00,0.232,0.009,0.11
70-3,1.00,0.237,0.09,1.00,0.238,0.011,0.09
72-1,0.75,0.307,0.01,0.75,0.306,0.028,0.01
72-2,0.57,0.290,0.01,0.57,0.289,0.037,0.01
73-1,1.00,0.266,0.98,1.00,0.267,0.025,0.97
73-2,1.00,0.266,0.98,1.00,0.267,0.025,0.96
73-3,0.99,0.172,1.00,0.99,0.172,0.020,0.98
74-1,0.57,0.311,0.16,0.57,0.314,0.036,0.14
74-2,0.97,0.262,0.17,0.97,0.265,0.025,0.19
75-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
75-2,1.00,0.309,0.69,1.00,0.310,0.024,0.63
79-1,0.83,0.270,0.17,0.83,0.273,0.020,0.15
79-2,0.64,0.281,0.17,0.64,0.284,0.023,0.17
79-3,0.87,0.320,0.18,0.87,0.325,0.025,0.18
80-1,0.62,0.291,0.12,0.62,0.291,0.032,0.14
80-2,1.00,0.297,0.32,1.00,0.299,0.025,0.38
81-1,0.81,0.281,0.03,0.81,0.285,0.028,0.30
81-2,0.81,0.281,0.03,0.81,0.285,0.028,0.31
82-1,0.94,0.220,0.59,0.94,0.226,0.019,0.65
83-1,0.97,0.284,0.37,0.97,0.285,0.017,0.35
83-2,0.97,0.287,0.31,0.97,0.289,0.017,0.35
84-1,0.83,0.161,0.05,0.83,0.163,0.014,0.05
85-1,0.92,0.340,0.24,0.92,0.342,0.022,0.28
85-2,0.92,0.340,0.24,0.92,0.342,0.022,0.28
86-1,0.70,0.322,0.30,0.70,0.322,0.025,0.32
86-2,0.70,0.322,0.30,0.70,0.322,0.025,0.32
86-3,0.36,0.421,0.40,0.36,0.421,0.047,0.39
87-1,0.93,0.219,0.14,0.93,0.224,0.020,0.26
87-2,0.93,0.236,0.18,0.93,0.246,0.021,0.17
87-3,0.76,0.279,0.11,0.76,0.279,0.028,0.19
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
