ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.237,0.42,0.99,0.240,0.013,0.41
BLAST-S14,0.99,0.272,0.50,0.99,0.274,0.014,0.48
Naive-S11,1.00,0.293,0.17,1.00,0.294,0.007,0.19
Naive-S14,1.00,0.290,0.17,1.00,0.290,0.006,0.17
101-1,0.89,0.251,0.36,0.89,0.253,0.012,0.34
101-2,0.87,0.285,0.10,0.87,0.286,0.013,0.11
101-3,0.89,0.283,0.20,0.89,0.284,0.012,0.26
102-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
102-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
103-3,0.42,0.194,0.17,0.42,0.193,0.017,0.17
104-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-2,0.00,0.003,0.00,0.00,0.003,0.000,0.00
104-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
105-1,1.00,0.290,0.94,1.00,0.291,0.014,0.94
105-2,0.98,0.282,0.94,0.98,0.284,0.013,0.95
105-3,0.98,0.284,0.99,0.98,0.285,0.014,0.99
106-1,0.38,0.165,0.10,0.38,0.165,0.018,0.12
106-2,0.00,0.003,0.00,0.00,0.003,0.001,0.26
106-3,0.23,0.129,0.10,0.23,0.128,0.017,0.13
107-1,1.00,0.268,1.00,1.00,0.269,0.013,0.90
107-2,1.00,0.230,0.02,1.00,0.230,0.013,0.02
107-3,0.00,0.003,0.00,0.00,0.003,0.000,0.00
108-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
109-1,0.00,0.003,0.00,0.00,0.003,0.000,0.00
110-1,0.98,0.273,0.74,0.98,0.275,0.013,0.73
110-2,0.96,0.318,0.38,0.96,0.318,0.012,0.38
110-3,0.99,0.278,0.25,0.99,0.278,0.010,0.25
111-1,0.97,0.269,0.62,0.97,0.273,0.013,0.59
111-2,0.98,0.274,0.25,0.98,0.274,0.010,0.25
111-3,0.06,0.047,0.02,0.06,0.047,0.011,0.05
112-1,0.99,0.323,0.42,0.99,0.324,0.012,0.44
112-2,0.99,0.326,0.42,0.99,0.327,0.012,0.43
112-3,0.99,0.322,0.42,0.99,0.323,0.011,0.43
113-1,0.99,0.325,0.42,0.99,0.326,0.012,0.42
113-2,0.74,0.190,0.22,0.74,0.192,0.010,0.24
113-3,0.95,0.269,0.54,0.95,0.272,0.013,0.58
