ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.657,0.41,0.99,0.657,0.005,0.42
BLAST-S14,0.99,0.651,0.45,0.99,0.649,0.006,0.46
Naive-S11,1.00,0.634,0.14,1.00,0.634,0.002,0.14
Naive-S14,1.00,0.632,0.17,1.00,0.632,0.002,0.17
101-1,0.89,0.664,0.36,0.89,0.664,0.005,0.36
101-2,0.87,0.647,0.10,0.87,0.647,0.004,0.10
101-3,0.89,0.649,0.18,0.89,0.649,0.004,0.20
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.42,0.817,0.17,0.42,0.817,0.014,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.632,0.94,1.00,0.632,0.006,0.94
105-2,0.98,0.633,0.97,0.98,0.633,0.006,0.97
105-3,0.98,0.640,1.00,0.98,0.639,0.006,1.00
106-1,0.38,0.845,0.07,0.38,0.845,0.013,0.07
106-2,0.00,0.999,0.00,0.00,0.998,0.001,0.27
106-3,0.23,0.886,0.07,0.23,0.886,0.013,0.07
107-1,1.00,0.649,0.78,1.00,0.648,0.005,0.80
107-2,1.00,0.645,0.02,1.00,0.646,0.006,0.02
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.98,0.638,0.78,0.98,0.638,0.006,0.80
110-2,0.96,0.636,0.46,0.96,0.635,0.006,0.47
110-3,0.99,0.664,0.38,0.99,0.664,0.003,0.33
111-1,0.97,0.642,0.78,0.97,0.642,0.006,0.76
111-2,0.98,0.662,0.40,0.98,0.662,0.004,0.36
