ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.99,20.855,0.73,0.99,20.831,0.923,0.79
BLAST-S14,0.99,20.717,0.84,0.99,20.682,0.925,0.84
Naive-S11,1.00,19.601,0.23,1.00,19.609,0.885,0.23
Naive-S14,1.00,19.618,0.25,1.00,19.628,0.888,0.25
101-1,0.89,20.910,0.48,0.89,20.911,0.920,0.47
101-2,0.87,20.384,0.60,0.87,20.362,0.905,0.53
101-3,0.89,22.226,1.00,0.89,22.249,0.915,1.00
102-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
102-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
102-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
103-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
103-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
103-3,0.42,20.283,0.17,0.42,20.304,0.901,0.17
104-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
104-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
104-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
105-1,1.00,21.082,0.98,1.00,21.061,0.898,0.98
105-2,0.98,34.379,1.00,0.98,34.516,3.649,1.00
105-3,0.98,47.497,1.00,0.98,47.568,4.423,1.00
106-1,0.38,20.633,0.17,0.38,20.638,0.920,0.18
106-2,0.00,21.484,1.00,0.00,21.494,0.957,1.00
106-3,0.23,20.932,0.17,0.23,20.939,0.932,0.16
107-1,1.00,58.779,1.00,1.00,58.837,4.741,1.00
107-2,1.00,20.378,0.05,1.00,20.354,0.934,0.06
107-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
108-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
109-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
110-1,0.98,20.809,1.00,0.98,20.835,0.855,1.00
110-2,0.96,20.540,0.86,0.96,20.532,0.898,0.86
110-3,0.99,23.756,1.00,0.99,23.783,0.884,1.00
111-1,0.97,20.838,1.00,0.97,20.863,0.858,1.00
111-2,0.98,23.166,1.00,0.98,23.190,0.886,1.00
111-3,0.06,21.331,0.36,0.06,21.331,0.955,0.40
112-1,0.99,20.249,0.74,0.99,20.245,0.892,0.74
112-2,0.99,20.270,0.75,0.99,20.258,0.891,0.74
112-3,0.99,20.130,0.69,0.99,20.110,0.900,0.69
113-1,0.99,20.110,0.70,0.99,20.106,0.902,0.70
113-2,0.74,23.343,1.00,0.74,23.368,0.876,1.00
113-3,0.95,20.739,1.00,0.95,20.757,0.879,1.00
114-1,1.00,20.890,1.00,1.00,20.924,0.901,1.00
115-1,1.00,20.026,0.70,1.00,19.989,0.893,0.72
116-1,0.76,20.050,0.34,0.76,20.045,0.892,0.38
116-2,0.42,20.531,0.15,0.42,20.538,0.936,0.16
117-1,1.00,19.501,0.14,1.00,19.511,0.852,0.14
117-2,0.29,21.726,1.00,0.29,21.774,0.954,1.00
119-1,0.96,20.336,0.87,0.96,20.342,0.895,0.87
120-1,1.00,21.206,1.00,1.00,21.241,0.908,1.00
120-2,1.00,20.392,0.63,1.00,20.359,0.896,0.63
120-3,1.00,20.343,0.53,1.00,20.343,0.878,0.54
121-1,0.50,19.948,0.60,0.50,19.964,0.905,0.56
121-2,0.06,21.316,0.72,0.06,21.326,0.958,0.77
121-3,0.56,19.748,0.04,0.56,19.752,0.908,0.04
122-1,0.68,20.332,0.96,0.68,20.263,0.899,0.91
124-1,1.00,20.802,0.44,1.00,20.787,0.909,0.42
124-2,1.00,20.498,0.27,1.00,20.507,0.869,0.27
124-3,1.00,20.780,0.39,1.00,20.750,0.907,0.41
125-1,1.00,20.854,1.00,1.00,20.888,0.899,1.00
125-2,0.95,20.584,0.68,0.95,20.533,0.895,0.67
125-3,0.95,20.611,0.91,0.95,20.539,0.898,0.90
126-1,0.98,20.018,0.37,0.98,20.005,0.864,0.37
127-1,0.95,19.867,0.61,0.95,19.861,0.893,0.59
127-2,0.94,19.764,0.64,0.94,19.758,0.887,0.66
127-3,0.43,21.480,0.48,0.43,21.404,0.953,0.45
128-1,0.62,55.882,1.00,0.62,55.972,6.270,1.00
129-1,0.99,19.392,0.65,0.99,19.398,0.852,0.65
129-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
129-3,0.99,19.392,0.65,0.99,19.398,0.852,0.65
130-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
130-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
130-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
131-1,0.75,20.072,0.20,0.75,20.006,0.892,0.37
131-2,0.73,19.899,0.37,0.73,19.885,0.895,0.42
131-3,0.99,20.168,0.18,0.99,20.119,0.889,0.22
132-1,0.99,20.100,0.76,0.99,20.077,0.878,0.76
132-2,0.99,19.962,0.72,0.99,19.952,0.878,0.71
65-1,0.89,20.491,0.45,0.89,20.497,0.897,0.45
65-2,0.86,20.491,0.44,0.86,20.486,0.894,0.44
65-3,0.89,20.422,0.46,0.89,20.419,0.888,0.46
68-1,0.98,31.754,1.00,0.98,31.775,1.863,1.00
68-2,0.98,34.213,1.00,0.98,34.233,2.108,1.00
69-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
69-2,1.00,20.197,1.00,1.00,20.208,0.904,0.99
70-1,1.00,20.478,0.46,1.00,20.472,0.913,0.49
70-2,1.00,19.328,0.18,1.00,19.333,0.841,0.18
70-3,1.00,19.698,0.16,1.00,19.697,0.886,0.15
72-1,0.71,20.276,0.46,0.71,20.244,0.887,0.41
72-2,0.54,20.221,0.01,0.54,20.237,0.931,0.01
73-1,1.00,33.806,1.00,1.00,33.954,5.003,1.00
73-2,1.00,32.571,1.00,1.00,32.717,4.593,1.00
73-3,0.99,332.966,1.00,0.99,332.918,16.136,1.00
74-1,0.52,20.692,0.29,0.52,20.679,0.940,0.28
74-2,0.98,20.430,0.56,0.98,20.418,0.916,0.58
75-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
75-2,1.00,20.197,1.00,1.00,20.208,0.904,0.99
79-1,0.87,21.136,0.75,0.87,21.079,0.944,0.78
79-2,0.58,20.216,0.18,0.58,20.219,0.876,0.19
79-3,0.93,20.467,0.80,0.93,20.469,0.929,0.78
80-1,0.57,20.591,0.40,0.57,20.590,0.923,0.40
80-2,0.99,20.476,0.83,0.99,20.442,0.907,0.78
81-1,0.73,20.598,0.60,0.73,20.576,0.934,0.61
81-2,0.73,20.613,0.60,0.73,20.580,0.934,0.61
82-1,0.91,21.103,0.94,0.91,21.097,0.944,0.95
83-1,0.98,23.701,1.00,0.98,23.736,1.003,1.00
83-2,0.98,23.011,1.00,0.98,23.047,0.978,1.00
84-1,0.90,20.633,0.10,0.90,20.628,0.897,0.09
85-1,0.97,19.713,0.73,0.97,19.691,0.877,0.74
85-2,0.97,19.713,0.73,0.97,19.691,0.877,0.74
86-1,0.96,20.072,1.00,0.96,20.088,0.887,1.00
86-2,0.96,20.072,1.00,0.96,20.088,0.887,1.00
86-3,0.72,20.575,0.93,0.72,20.568,0.926,0.92
87-1,0.91,20.670,0.52,0.91,20.619,0.884,0.53
87-2,0.91,20.593,0.29,0.91,20.582,0.903,0.29
87-3,0.75,20.805,0.76,0.75,20.778,0.914,0.77
88-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
89-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
89-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
89-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
91-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
91-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
91-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
93-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
93-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
94-1,0.99,20.066,1.00,0.99,20.088,0.822,0.99
95-1,0.98,31.800,1.00,0.98,31.824,1.889,1.00
95-2,0.98,37.553,1.00,0.98,37.562,2.352,1.00
96-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
96-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
96-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
97-1,0.00,21.511,1.00,0.00,21.521,0.958,1.00
97-2,0.00,21.511,1.00,0.00,21.521,0.958,1.00
97-3,0.00,21.511,1.00,0.00,21.521,0.958,1.00
98-1,0.06,21.433,0.49,0.06,21.433,0.952,0.49
99-1,0.97,20.289,0.32,0.97,20.300,0.906,0.32
