ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.195,0.41,0.99,0.196,0.012,0.42
BLAST-S14,0.99,0.225,0.50,0.99,0.226,0.013,0.49
Naive-S11,1.00,0.215,0.15,1.00,0.215,0.005,0.15
Naive-S14,1.00,0.219,0.17,1.00,0.219,0.005,0.17
101-1,0.89,0.202,0.36,0.89,0.203,0.012,0.35
101-2,0.87,0.225,0.10,0.87,0.226,0.011,0.12
101-3,0.89,0.224,0.18,0.89,0.225,0.011,0.23
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.42,0.161,0.17,0.42,0.161,0.017,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.235,0.94,1.00,0.236,0.013,0.93
105-2,0.98,0.229,0.94,0.98,0.230,0.013,0.95
105-3,0.98,0.231,0.99,0.98,0.233,0.013,0.98
106-1,0.38,0.129,0.10,0.38,0.129,0.016,0.11
106-2,0.00,0.002,0.00,0.00,0.003,0.001,0.26
106-3,0.23,0.100,0.10,0.23,0.100,0.015,0.11
107-1,1.00,0.226,1.00,1.00,0.227,0.013,0.91
107-2,1.00,0.185,0.02,1.00,0.184,0.013,0.02
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.230,0.70,0.98,0.232,0.013,0.68
110-2,0.96,0.257,0.36,0.96,0.258,0.012,0.34
110-3,0.99,0.232,0.25,0.99,0.232,0.010,0.21
111-1,0.97,0.225,0.70,0.97,0.231,0.013,0.57
111-2,0.98,0.227,0.25,0.98,0.227,0.010,0.23
111-3,0.06,0.040,0.03,0.06,0.039,0.010,0.04
112-1,0.99,0.267,0.44,0.99,0.267,0.012,0.44
112-2,0.99,0.269,0.45,0.99,0.270,0.012,0.44
112-3,0.99,0.267,0.44,0.99,0.267,0.012,0.44
113-1,0.99,0.269,0.45,0.99,0.270,0.012,0.44
113-2,0.74,0.139,0.21,0.74,0.140,0.009,0.21
113-3,0.95,0.225,0.54,0.95,0.229,0.013,0.57
114-1,1.00,0.266,0.74,1.00,0.269,0.013,0.79
115-1,1.00,0.260,0.21,1.00,0.261,0.014,0.20
116-1,0.76,0.173,0.01,0.76,0.172,0.014,0.03
116-2,0.42,0.102,0.01,0.42,0.102,0.012,0.01
117-1,1.00,0.304,0.11,1.00,0.306,0.011,0.11
117-2,0.29,0.127,1.00,0.29,0.126,0.015,1.00
119-1,0.96,0.268,0.53,0.96,0.270,0.014,0.53
120-1,1.00,0.265,0.91,1.00,0.266,0.014,0.86
120-2,1.00,0.233,0.44,1.00,0.233,0.009,0.43
120-3,1.00,0.198,0.46,1.00,0.198,0.009,0.46
121-1,0.50,0.173,0.43,0.50,0.172,0.017,0.49
121-2,0.06,0.025,0.72,0.06,0.025,0.009,0.74
121-3,0.56,0.206,0.01,0.56,0.206,0.017,0.01
122-1,0.68,0.232,0.70,0.68,0.232,0.017,0.70
124-1,1.00,0.210,0.18,1.00,0.210,0.008,0.18
124-2,1.00,0.206,0.11,1.00,0.207,0.006,0.11
124-3,1.00,0.219,0.18,1.00,0.219,0.008,0.18
125-1,1.00,0.266,0.85,1.00,0.270,0.013,0.77
125-2,0.95,0.241,0.16,0.95,0.244,0.013,0.18
125-3,0.95,0.238,0.20,0.95,0.239,0.014,0.21
126-1,0.98,0.245,0.21,0.98,0.245,0.014,0.21
127-1,0.95,0.271,0.44,0.95,0.273,0.013,0.41
127-2,0.94,0.266,0.40,0.94,0.268,0.012,0.44
127-3,0.43,0.113,0.03,0.43,0.114,0.008,0.03
128-1,0.62,0.162,0.05,0.62,0.164,0.014,0.07
129-1,0.99,0.295,0.57,0.99,0.296,0.011,0.57
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.99,0.295,0.57,0.99,0.296,0.011,0.57
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.75,0.218,0.04,0.75,0.218,0.014,0.04
131-2,0.73,0.228,0.02,0.73,0.228,0.015,0.03
131-3,0.99,0.218,0.04,0.99,0.220,0.013,0.05
132-1,0.99,0.268,0.48,0.99,0.269,0.012,0.47
132-2,0.99,0.268,0.48,0.99,0.269,0.012,0.46
65-1,0.89,0.197,0.23,0.89,0.201,0.009,0.24
65-2,0.86,0.200,0.21,0.86,0.203,0.009,0.24
65-3,0.89,0.209,0.24,0.89,0.211,0.009,0.25
68-1,0.98,0.170,0.99,0.98,0.169,0.011,0.99
