ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.195,0.41,0.99,0.197,0.012,0.42
BLAST-S14,0.99,0.225,0.50,0.99,0.227,0.013,0.49
Naive-S11,1.00,0.215,0.15,1.00,0.215,0.005,0.15
Naive-S14,1.00,0.219,0.17,1.00,0.219,0.005,0.17
101-1,0.89,0.213,0.36,0.89,0.213,0.012,0.36
101-2,0.87,0.239,0.10,0.87,0.241,0.012,0.13
101-3,0.89,0.237,0.18,0.89,0.238,0.012,0.26
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.42,0.301,0.17,0.42,0.301,0.025,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.235,0.94,1.00,0.236,0.013,0.93
105-2,0.98,0.231,0.94,0.98,0.232,0.013,0.95
105-3,0.98,0.233,0.99,0.98,0.235,0.013,0.98
106-1,0.38,0.265,0.10,0.38,0.265,0.026,0.13
106-2,0.00,0.359,1.00,0.00,0.359,0.000,1.00
106-3,0.23,0.295,0.10,0.23,0.294,0.034,0.14
107-1,1.00,0.226,1.00,1.00,0.227,0.013,0.91
107-2,1.00,0.185,0.02,1.00,0.184,0.013,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.98,0.233,0.70,0.98,0.234,0.013,0.69
110-2,0.96,0.261,0.36,0.96,0.263,0.012,0.35
110-3,0.99,0.232,0.25,0.99,0.233,0.010,0.21
111-1,0.97,0.228,0.70,0.97,0.233,0.013,0.58
111-2,0.98,0.228,0.25,0.98,0.229,0.010,0.23
111-3,0.06,0.239,0.23,0.06,0.245,0.049,0.27
112-1,0.99,0.267,0.44,0.99,0.268,0.012,0.44
112-2,0.99,0.270,0.45,0.99,0.271,0.012,0.44
112-3,0.99,0.267,0.44,0.99,0.268,0.012,0.45
113-1,0.99,0.270,0.45,0.99,0.271,0.012,0.44
113-2,0.74,0.152,0.21,0.74,0.153,0.010,0.24
113-3,0.95,0.229,0.54,0.95,0.233,0.013,0.58
114-1,1.00,0.266,0.74,1.00,0.269,0.013,0.79
115-1,1.00,0.260,0.21,1.00,0.261,0.014,0.20
116-1,0.76,0.210,0.01,0.76,0.209,0.016,0.04
116-2,0.42,0.205,0.01,0.42,0.204,0.020,0.02
117-1,1.00,0.304,0.11,1.00,0.306,0.011,0.11
117-2,0.29,0.269,1.00,0.29,0.268,0.028,1.00
119-1,0.96,0.273,0.53,0.96,0.275,0.014,0.53
120-1,1.00,0.265,0.91,1.00,0.266,0.014,0.86
120-2,1.00,0.233,0.44,1.00,0.233,0.009,0.43
120-3,1.00,0.198,0.46,1.00,0.198,0.009,0.46
121-1,0.50,0.287,0.43,0.50,0.286,0.024,0.49
121-2,0.06,0.243,0.72,0.06,0.242,0.063,0.77
121-3,0.56,0.304,0.02,0.56,0.303,0.022,0.02
122-1,0.68,0.293,0.70,0.68,0.292,0.019,0.70
124-1,1.00,0.210,0.18,1.00,0.210,0.008,0.18
124-2,1.00,0.206,0.11,1.00,0.207,0.006,0.11
124-3,1.00,0.219,0.18,1.00,0.219,0.008,0.18
125-1,1.00,0.266,0.85,1.00,0.270,0.013,0.77
125-2,0.95,0.246,0.16,0.95,0.249,0.013,0.18
125-3,0.95,0.244,0.20,0.95,0.245,0.014,0.21
126-1,0.98,0.248,0.21,0.98,0.248,0.014,0.21
127-1,0.95,0.279,0.44,0.95,0.281,0.013,0.42
127-2,0.94,0.274,0.49,0.94,0.276,0.012,0.45
127-3,0.43,0.171,0.06,0.43,0.172,0.012,0.06
128-1,0.62,0.180,0.05,0.62,0.184,0.017,0.11
129-1,0.99,0.296,0.57,0.99,0.298,0.011,0.57
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.99,0.296,0.57,0.99,0.298,0.011,0.57
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.75,0.260,0.04,0.75,0.259,0.016,0.05
131-2,0.73,0.273,0.04,0.73,0.274,0.017,0.04
131-3,0.99,0.219,0.04,0.99,0.221,0.013,0.05
132-1,0.99,0.269,0.48,0.99,0.270,0.012,0.47
132-2,0.99,0.268,0.48,0.99,0.270,0.012,0.47
65-1,0.89,0.209,0.29,0.89,0.213,0.010,0.26
65-2,0.86,0.213,0.22,0.86,0.219,0.010,0.25
65-3,0.89,0.222,0.27,0.89,0.224,0.009,0.26
68-1,0.98,0.171,0.99,0.98,0.171,0.012,0.99
68-2,0.98,0.181,0.99,0.98,0.182,0.012,0.98
