ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.88,0.645,0.40,0.87,0.639,0.038,0.39
BLAST-S14,0.88,0.570,0.41,0.87,0.564,0.071,0.40
Naive-S11,1.00,0.652,0.15,1.00,0.652,0.005,0.15
Naive-S14,1.00,0.641,0.15,1.00,0.639,0.010,0.16
101-1,1.00,0.519,0.36,1.00,0.525,0.043,0.36
101-2,1.00,0.460,0.30,1.00,0.457,0.043,0.29
101-3,1.00,0.681,0.89,1.00,0.687,0.039,0.89
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.69,0.602,0.04,0.69,0.601,0.041,0.08
103-2,1.00,0.355,0.15,1.00,0.356,0.058,0.16
103-3,0.62,0.587,0.17,0.62,0.590,0.097,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.315,0.95,1.00,0.318,0.060,0.94
105-2,1.00,0.338,0.97,1.00,0.345,0.060,0.97
105-3,1.00,0.328,1.00,1.00,0.338,0.063,1.00
106-1,0.44,0.723,0.10,0.44,0.724,0.090,0.17
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.44,0.723,0.10,0.44,0.724,0.090,0.17
107-1,1.00,0.368,1.00,1.00,0.367,0.067,0.91
107-2,1.00,0.380,0.05,1.00,0.381,0.070,0.06
107-3,1.00,0.482,0.04,1.00,0.483,0.054,0.04
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.94,0.497,0.90,0.94,0.499,0.061,0.89
110-2,1.00,0.508,0.63,1.00,0.504,0.057,0.54
110-3,1.00,0.376,1.00,1.00,0.384,0.064,0.98
111-1,0.94,0.497,0.90,0.94,0.499,0.061,0.89
111-2,1.00,0.376,1.00,1.00,0.384,0.064,0.98
111-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
112-1,1.00,0.439,0.49,1.00,0.439,0.052,0.50
112-2,1.00,0.448,0.46,1.00,0.446,0.052,0.51
112-3,1.00,0.461,0.46,1.00,0.459,0.043,0.44
113-1,1.00,0.465,0.45,1.00,0.464,0.042,0.44
113-2,1.00,0.425,1.00,1.00,0.414,0.062,0.87
113-3,0.88,0.574,0.51,0.87,0.560,0.053,0.67
114-1,1.00,0.267,0.98,1.00,0.276,0.061,0.97
115-1,1.00,0.324,0.57,1.00,0.321,0.054,0.57
116-1,1.00,0.387,0.56,1.00,0.393,0.070,0.60
116-2,0.69,0.605,0.68,0.69,0.609,0.084,0.72
117-1,1.00,0.320,0.10,1.00,0.320,0.058,0.10
117-2,0.25,0.849,1.00,0.25,0.850,0.074,0.99
119-1,1.00,0.356,0.54,1.00,0.354,0.061,0.58
120-1,1.00,0.267,0.99,1.00,0.275,0.060,0.98
120-2,1.00,0.605,0.52,1.00,0.601,0.018,0.52
120-3,1.00,0.629,0.48,1.00,0.630,0.012,0.47
121-1,0.88,0.352,0.60,0.87,0.357,0.083,0.60
121-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
121-3,1.00,0.310,0.01,1.00,0.314,0.062,0.07
122-1,0.69,0.507,0.69,0.69,0.512,0.094,0.70
124-1,1.00,0.550,0.16,1.00,0.553,0.024,0.16
124-2,1.00,0.590,0.13,1.00,0.592,0.021,0.13
124-3,1.00,0.557,0.16,1.00,0.560,0.022,0.16
125-1,1.00,0.267,0.98,1.00,0.276,0.061,0.97
125-2,1.00,0.331,0.21,1.00,0.325,0.065,0.22
125-3,0.88,0.480,0.23,0.87,0.471,0.080,0.20
126-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
127-1,1.00,0.444,0.37,1.00,0.431,0.064,0.40
127-2,1.00,0.478,0.42,1.00,0.475,0.058,0.40
127-3,0.12,0.886,0.01,0.12,0.890,0.068,0.05
128-1,0.75,0.576,0.05,0.75,0.584,0.044,0.06
129-1,0.88,0.588,0.55,0.87,0.588,0.043,0.52
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,0.88,0.588,0.55,0.87,0.588,0.043,0.52
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.69,0.518,0.10,0.69,0.522,0.090,0.20
131-2,0.94,0.377,0.05,0.94,0.381,0.075,0.07
131-3,0.94,0.402,0.02,0.94,0.387,0.058,0.08
132-1,1.00,0.446,0.54,1.00,0.449,0.052,0.54
