ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.88,0.207,0.44,0.87,0.222,0.082,0.44
BLAST-S14,0.88,0.403,0.44,0.87,0.425,0.108,0.47
Naive-S11,1.00,0.216,0.31,1.00,0.227,0.041,0.25
Naive-S14,1.00,0.233,0.15,1.00,0.245,0.032,0.22
101-1,1.00,0.504,0.36,1.00,0.506,0.060,0.36
101-2,1.00,0.605,0.30,1.00,0.607,0.050,0.32
101-3,1.00,0.357,0.89,1.00,0.351,0.051,0.78
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.69,0.400,0.26,0.69,0.404,0.071,0.21
103-2,1.00,0.653,0.15,1.00,0.665,0.064,0.16
103-3,0.62,0.483,0.17,0.62,0.475,0.100,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.714,0.95,1.00,0.714,0.064,0.94
105-2,1.00,0.687,0.97,1.00,0.686,0.065,0.97
105-3,1.00,0.705,1.00,1.00,0.701,0.066,1.00
106-1,0.44,0.380,0.10,0.44,0.372,0.108,0.18
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.44,0.380,0.10,0.44,0.372,0.108,0.18
107-1,1.00,0.658,1.00,1.00,0.662,0.071,0.89
107-2,1.00,0.626,0.05,1.00,0.632,0.081,0.07
107-3,1.00,0.483,0.03,1.00,0.495,0.073,0.03
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.94,0.462,0.90,0.94,0.472,0.081,0.78
110-2,1.00,0.498,0.81,1.00,0.502,0.074,0.72
110-3,1.00,0.597,1.00,1.00,0.594,0.087,0.94
111-1,0.94,0.462,0.90,0.94,0.472,0.081,0.78
111-2,1.00,0.597,1.00,1.00,0.594,0.087,0.94
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.567,0.63,1.00,0.572,0.068,0.63
112-2,1.00,0.565,0.71,1.00,0.566,0.069,0.65
112-3,1.00,0.529,0.45,1.00,0.536,0.062,0.44
113-1,1.00,0.520,0.46,1.00,0.526,0.061,0.44
113-2,1.00,0.554,0.75,1.00,0.560,0.086,0.75
113-3,0.88,0.379,0.46,0.87,0.388,0.082,0.61
114-1,1.00,0.752,0.98,1.00,0.748,0.066,0.97
115-1,1.00,0.682,0.57,1.00,0.693,0.063,0.54
116-1,1.00,0.660,0.56,1.00,0.655,0.075,0.61
116-2,0.69,0.480,0.68,0.69,0.472,0.088,0.72
117-1,1.00,0.715,0.10,1.00,0.719,0.058,0.10
117-2,0.25,0.184,1.00,0.25,0.178,0.092,0.99
119-1,1.00,0.694,0.52,1.00,0.697,0.063,0.58
120-1,1.00,0.752,0.99,1.00,0.748,0.066,0.98
120-2,1.00,0.306,0.63,1.00,0.322,0.053,0.58
120-3,1.00,0.241,0.48,1.00,0.247,0.038,0.52
121-1,0.88,0.707,0.60,0.87,0.702,0.074,0.60
121-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
121-3,1.00,0.710,0.02,1.00,0.710,0.069,0.06
122-1,0.69,0.555,0.69,0.69,0.547,0.091,0.70
124-1,1.00,0.398,0.16,1.00,0.406,0.034,0.15
124-2,1.00,0.307,0.13,1.00,0.318,0.035,0.13
124-3,1.00,0.376,0.16,1.00,0.373,0.038,0.16
125-1,1.00,0.752,0.98,1.00,0.748,0.066,0.97
125-2,1.00,0.694,0.21,1.00,0.701,0.069,0.22
125-3,0.88,0.592,0.26,0.87,0.586,0.093,0.28
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,1.00,0.637,0.44,1.00,0.642,0.067,0.44
127-2,1.00,0.525,0.42,1.00,0.532,0.073,0.45
127-3,0.12,0.104,0.40,0.12,0.101,0.051,0.30
128-1,0.75,0.376,0.05,0.75,0.370,0.073,0.06
129-1,0.88,0.306,0.55,0.87,0.311,0.075,0.56
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.88,0.306,0.55,0.87,0.311,0.075,0.56
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.69,0.540,0.10,0.69,0.534,0.093,0.20
131-2,0.94,0.655,0.05,0.94,0.654,0.078,0.11
131-3,0.94,0.579,0.02,0.94,0.599,0.074,0.09
132-1,1.00,0.554,0.60,1.00,0.564,0.064,0.62
132-2,1.00,0.554,0.60,1.00,0.561,0.067,0.56
65-1,0.94,0.401,0.11,0.94,0.404,0.043,0.16
65-2,0.88,0.378,0.11,0.88,0.380,0.047,0.16
65-3,0.94,0.376,0.14,0.94,0.387,0.043,0.16
68-1,1.00,0.493,0.94,1.00,0.523,0.039,0.93
68-2,1.00,0.533,0.99,1.00,0.545,0.059,0.96
69-1,1.00,0.595,0.59,1.00,0.607,0.062,0.61
69-2,1.00,0.494,0.57,1.00,0.504,0.071,0.56
70-1,1.00,0.333,0.37,1.00,0.338,0.057,0.34
70-2,1.00,0.208,0.10,1.00,0.209,0.013,0.11
70-3,1.00,0.221,0.05,1.00,0.220,0.017,0.05
72-1,1.00,0.665,0.09,1.00,0.660,0.077,0.09
72-2,1.00,0.268,0.01,1.00,0.263,0.077,0.01
73-1,1.00,0.525,1.00,1.00,0.527,0.081,1.00
73-2,1.00,0.525,1.00,1.00,0.527,0.081,1.00
73-3,0.94,0.587,0.91,0.94,0.581,0.077,0.94
74-1,0.44,0.521,0.45,0.44,0.507,0.105,0.48
74-2,1.00,0.608,0.42,1.00,0.616,0.079,0.34
75-1,1.00,0.639,0.59,1.00,0.647,0.055,0.65
75-2,1.00,0.604,0.57,1.00,0.611,0.057,0.62
79-1,0.62,0.348,0.13,0.63,0.348,0.075,0.13
79-2,0.38,0.346,0.17,0.38,0.336,0.093,0.19
79-3,0.94,0.685,0.40,0.94,0.685,0.068,0.34
80-1,0.44,0.521,0.48,0.44,0.507,0.105,0.57
80-2,1.00,0.724,0.49,1.00,0.724,0.069,0.56
81-1,0.94,0.645,0.07,0.94,0.641,0.048,0.25
81-2,0.94,0.645,0.07,0.94,0.641,0.048,0.25
82-1,0.81,0.414,0.67,0.81,0.413,0.092,0.62
83-1,1.00,0.580,0.46,1.00,0.586,0.052,0.45
83-2,1.00,0.697,0.27,1.00,0.696,0.054,0.29
84-1,0.75,0.415,0.08,0.75,0.410,0.048,0.09
85-1,0.94,0.574,0.67,0.94,0.580,0.081,0.54
85-2,0.94,0.574,0.67,0.94,0.580,0.081,0.54
86-1,0.75,0.204,0.51,0.75,0.199,0.090,0.52
86-2,0.75,0.204,0.51,0.75,0.199,0.090,0.52
86-3,0.50,0.081,1.00,0.50,0.080,0.074,0.71
87-1,1.00,0.600,0.46,1.00,0.602,0.070,0.47
87-2,1.00,0.593,0.22,1.00,0.612,0.067,0.24
87-3,1.00,0.612,0.61,1.00,0.614,0.068,0.62
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,1.00,0.614,1.00,1.00,0.605,0.087,1.00
93-2,1.00,0.369,1.00,1.00,0.360,0.089,1.00
94-1,1.00,0.731,0.13,1.00,0.735,0.064,0.28
95-1,1.00,0.478,1.00,1.00,0.510,0.040,0.93
95-2,1.00,0.528,0.97,1.00,0.539,0.056,0.95
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
99-1,0.81,0.430,0.20,0.81,0.440,0.073,0.19
