ID-model,GO:0008150,GO:0008152,GO:0009058,GO:0044249,GO:1901576,GO:0009059,GO:0043170,GO:0005975,GO:0044260,GO:0044710,GO:0071704,GO:0044237,GO:0009987,GO:0044281,GO:0044238
BLAST-S11,NaN,NaN,0.81,0.81,0.81,0.76,0.70,0.56,0.64,0.81,1.00,1.00,0.88,0.43,0.62
BLAST-S14,NaN,NaN,0.97,0.97,0.97,0.96,0.96,0.88,0.88,0.85,0.85,0.83,0.79,0.60,0.55
Naive-S11,NaN,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,NaN,0.74,0.74,0.74,0.63,0.76,0.93,0.69,0.73,0.83,0.91,0.68,0.67,0.67
101-2,NaN,NaN,0.91,0.88,0.88,0.63,0.73,1.00,0.82,0.23,0.47,0.96,0.95,0.73,0.36
101-3,NaN,NaN,0.80,0.80,0.80,0.70,0.60,0.91,0.55,0.40,0.47,0.71,0.71,0.75,0.46
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,0.79,0.67,0.75,0.73,0.70,0.75,0.50,0.75,0.70,0.28,0.28,0.32,0.33
103-2,NaN,NaN,0.70,0.75,0.76,0.77,0.66,0.86,0.74,0.87,0.60,0.43,0.43,0.79,0.49
103-3,NaN,NaN,0.81,0.81,0.81,0.75,0.83,0.84,0.80,NaN,NaN,0.17,0.17,0.75,0.34
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,NaN,0.97,0.97,0.97,0.98,0.85,0.86,1.00,0.93,1.00,0.59,0.59,0.77,0.51
105-2,NaN,NaN,0.85,0.85,0.85,0.88,0.87,0.90,1.00,0.93,0.93,0.66,0.66,0.71,0.62
105-3,NaN,NaN,0.88,0.88,0.88,0.92,0.90,0.92,1.00,0.93,0.97,0.70,0.70,0.73,0.67
106-1,NaN,NaN,0.83,0.75,0.83,0.75,0.88,0.62,0.67,NaN,NaN,0.50,0.50,0.80,0.40
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,NaN,0.83,0.75,0.83,0.75,0.88,0.62,0.67,NaN,NaN,0.50,0.50,0.80,0.40
