ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.88,0.626,0.40,0.87,0.624,0.045,0.41
BLAST-S14,0.88,0.524,0.41,0.87,0.526,0.078,0.41
Naive-S11,1.00,0.652,0.15,1.00,0.652,0.005,0.15
Naive-S14,1.00,0.641,0.15,1.00,0.639,0.010,0.16
101-1,1.00,0.519,0.36,1.00,0.525,0.043,0.36
101-2,1.00,0.460,0.30,1.00,0.457,0.043,0.29
101-3,1.00,0.681,0.89,1.00,0.687,0.039,0.89
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.69,0.522,0.14,0.69,0.509,0.046,0.17
103-2,1.00,0.355,0.15,1.00,0.356,0.058,0.16
103-3,0.62,0.364,0.17,0.62,0.373,0.092,0.17
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.315,0.95,1.00,0.318,0.060,0.94
105-2,1.00,0.338,0.97,1.00,0.345,0.060,0.97
105-3,1.00,0.328,1.00,1.00,0.338,0.063,1.00
106-1,0.44,0.377,0.10,0.44,0.381,0.105,0.17
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.44,0.377,0.10,0.44,0.381,0.105,0.17
107-1,1.00,0.368,1.00,1.00,0.367,0.067,0.91
107-2,1.00,0.380,0.05,1.00,0.381,0.070,0.06
107-3,1.00,0.482,0.04,1.00,0.483,0.054,0.04
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.94,0.480,0.90,0.94,0.485,0.064,0.91
110-2,1.00,0.508,0.63,1.00,0.504,0.057,0.54
110-3,1.00,0.376,1.00,1.00,0.384,0.064,0.98
111-1,0.94,0.480,0.90,0.94,0.485,0.064,0.91
111-2,1.00,0.376,1.00,1.00,0.384,0.064,0.98
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.439,0.49,1.00,0.439,0.052,0.50
112-2,1.00,0.448,0.46,1.00,0.446,0.052,0.51
112-3,1.00,0.461,0.46,1.00,0.459,0.043,0.44
113-1,1.00,0.465,0.45,1.00,0.464,0.042,0.44
113-2,1.00,0.425,1.00,1.00,0.414,0.062,0.87
113-3,0.88,0.556,0.88,0.87,0.543,0.060,0.76
114-1,1.00,0.267,0.98,1.00,0.276,0.061,0.97
115-1,1.00,0.324,0.57,1.00,0.321,0.054,0.57
116-1,1.00,0.387,0.56,1.00,0.393,0.070,0.60
116-2,0.69,0.441,0.68,0.69,0.449,0.074,0.72
117-1,1.00,0.320,0.10,1.00,0.320,0.058,0.10
117-2,0.25,0.460,1.00,0.25,0.479,0.166,1.00
119-1,1.00,0.356,0.54,1.00,0.354,0.061,0.58
120-1,1.00,0.267,0.99,1.00,0.275,0.060,0.98
120-2,1.00,0.605,0.52,1.00,0.601,0.018,0.52
120-3,1.00,0.629,0.48,1.00,0.630,0.012,0.47
121-1,0.88,0.269,0.60,0.87,0.276,0.068,0.60
121-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
121-3,1.00,0.310,0.01,1.00,0.314,0.062,0.07
122-1,0.69,0.320,0.69,0.69,0.327,0.077,0.70
124-1,1.00,0.550,0.16,1.00,0.553,0.024,0.16
124-2,1.00,0.590,0.13,1.00,0.592,0.021,0.13
124-3,1.00,0.557,0.16,1.00,0.560,0.022,0.16
125-1,1.00,0.267,0.98,1.00,0.276,0.061,0.97
125-2,1.00,0.331,0.21,1.00,0.325,0.065,0.22
125-3,0.88,0.417,0.23,0.87,0.416,0.085,0.22
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,1.00,0.444,0.37,1.00,0.431,0.064,0.40
127-2,1.00,0.478,0.42,1.00,0.475,0.058,0.40
127-3,0.12,0.618,0.46,0.12,0.625,0.060,0.46
128-1,0.75,0.564,0.05,0.75,0.560,0.050,0.13
129-1,0.88,0.562,0.55,0.87,0.564,0.046,0.55
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.88,0.562,0.55,0.87,0.564,0.046,0.55
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.69,0.321,0.10,0.69,0.325,0.071,0.20
131-2,0.94,0.339,0.05,0.94,0.343,0.069,0.07
131-3,0.94,0.387,0.06,0.94,0.368,0.058,0.09
132-1,1.00,0.446,0.54,1.00,0.449,0.052,0.54
132-2,1.00,0.449,0.54,1.00,0.449,0.054,0.53
65-1,0.94,0.604,0.21,0.94,0.595,0.022,0.19
65-2,0.88,0.603,0.21,0.88,0.597,0.022,0.20
65-3,0.94,0.608,0.19,0.94,0.599,0.022,0.20
68-1,1.00,0.516,0.99,1.00,0.522,0.036,0.97
68-2,1.00,0.477,0.99,1.00,0.483,0.050,0.98
69-1,1.00,0.416,0.59,1.00,0.405,0.047,0.64
69-2,1.00,0.479,0.57,1.00,0.473,0.049,0.66
70-1,1.00,0.603,0.27,1.00,0.597,0.026,0.28
70-2,1.00,0.643,0.13,1.00,0.645,0.010,0.13
70-3,1.00,0.656,0.07,1.00,0.652,0.008,0.08
72-1,1.00,0.453,0.01,1.00,0.451,0.086,0.04
72-2,1.00,0.835,0.01,1.00,0.836,0.052,0.01
73-1,1.00,0.451,1.00,1.00,0.456,0.068,1.00
73-2,1.00,0.451,1.00,1.00,0.456,0.068,1.00
73-3,0.94,0.463,1.00,0.94,0.469,0.083,0.96
74-1,0.44,0.240,0.45,0.44,0.251,0.086,0.48
74-2,1.00,0.398,0.18,1.00,0.396,0.059,0.23
75-1,1.00,0.389,0.70,1.00,0.385,0.042,0.68
75-2,1.00,0.427,0.70,1.00,0.427,0.045,0.67
79-1,0.62,0.511,0.17,0.63,0.511,0.064,0.19
79-2,0.38,0.454,0.26,0.38,0.437,0.107,0.26
79-3,0.94,0.319,0.40,0.94,0.317,0.063,0.28
80-1,0.44,0.240,0.48,0.44,0.249,0.085,0.59
80-2,1.00,0.299,0.38,1.00,0.304,0.062,0.46
81-1,0.94,0.397,0.07,0.94,0.403,0.042,0.35
81-2,0.94,0.397,0.07,0.94,0.403,0.042,0.35
82-1,0.81,0.521,0.53,0.81,0.525,0.085,0.56
83-1,1.00,0.433,0.45,1.00,0.430,0.046,0.45
83-2,1.00,0.330,0.27,1.00,0.333,0.049,0.29
84-1,0.75,0.530,0.08,0.75,0.529,0.020,0.09
85-1,0.94,0.410,0.22,0.94,0.405,0.059,0.21
85-2,0.94,0.410,0.22,0.94,0.405,0.059,0.21
86-1,0.75,0.706,0.30,0.75,0.711,0.088,0.35
86-2,0.75,0.706,0.30,0.75,0.711,0.088,0.35
86-3,0.50,0.772,0.31,0.50,0.774,0.095,0.59
87-1,1.00,0.419,0.46,1.00,0.426,0.059,0.45
87-2,1.00,0.412,0.22,1.00,0.408,0.056,0.23
87-3,1.00,0.405,0.61,1.00,0.409,0.059,0.61
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,1.00,0.457,1.00,1.00,0.464,0.092,1.00
93-2,1.00,0.741,1.00,1.00,0.743,0.074,1.00
94-1,1.00,0.293,0.45,1.00,0.290,0.060,0.30
95-1,1.00,0.521,1.00,1.00,0.529,0.038,0.98
95-2,1.00,0.492,0.97,1.00,0.493,0.046,0.97
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
99-1,0.81,0.539,0.19,0.81,0.535,0.055,0.19
