ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.96,14.004,0.62,0.96,13.904,1.626,0.59
BLAST-S14,1.00,13.956,0.62,1.00,13.915,1.592,0.61
Naive-S11,1.00,13.636,0.31,1.00,13.629,1.599,0.31
Naive-S14,1.00,13.636,0.33,1.00,13.629,1.599,0.33
101-1,0.96,13.831,0.44,0.96,13.765,1.620,0.47
101-2,0.96,12.220,0.60,0.96,12.212,1.728,0.59
101-3,0.96,15.551,1.00,0.96,15.678,2.169,1.00
102-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
102-2,0.00,14.640,1.00,0.00,14.630,1.631,1.00
102-3,0.00,14.640,1.00,0.00,14.630,1.631,1.00
103-1,0.80,12.688,0.54,0.80,12.636,1.680,0.46
103-2,0.98,11.944,0.91,0.98,11.869,1.790,0.83
103-3,0.90,12.613,0.17,0.90,12.611,1.714,0.19
104-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
104-2,0.00,14.640,1.00,0.00,14.630,1.631,1.00
104-3,0.00,14.640,1.00,0.00,14.630,1.631,1.00
105-1,1.00,14.234,0.98,1.00,13.990,1.568,0.99
105-2,1.00,18.950,1.00,1.00,19.092,1.954,1.00
105-3,1.00,23.369,1.00,1.00,23.516,2.760,1.00
106-1,0.70,11.998,0.12,0.70,11.986,1.710,0.20
106-2,0.00,14.640,1.00,0.00,14.630,1.631,1.00
106-3,0.48,12.786,0.12,0.48,12.790,1.657,0.18
107-1,1.00,33.531,1.00,1.00,33.816,7.085,1.00
107-2,1.00,13.078,0.19,1.00,12.962,1.675,0.19
107-3,1.00,13.404,0.12,1.00,13.178,1.645,0.12
108-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
109-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
110-1,0.96,13.980,1.00,0.96,14.029,1.644,1.00
110-2,1.00,13.808,1.00,1.00,13.762,1.653,0.96
110-3,1.00,18.118,1.00,1.00,18.174,1.340,1.00
111-1,0.96,13.980,1.00,0.96,14.029,1.644,1.00
111-2,1.00,18.118,1.00,1.00,18.174,1.340,1.00
111-3,0.00,14.640,1.00,0.00,14.630,1.631,1.00
112-1,1.00,13.387,0.94,1.00,13.393,1.673,0.93
112-2,1.00,13.392,0.95,1.00,13.395,1.675,0.94
112-3,1.00,13.587,0.73,1.00,13.554,1.652,0.75
113-1,1.00,13.602,0.73,1.00,13.564,1.652,0.75
113-2,0.92,17.275,1.00,0.92,17.322,1.294,1.00
113-3,0.82,13.934,1.00,0.82,13.964,1.622,1.00
114-1,1.00,13.788,1.00,1.00,13.862,1.478,1.00
115-1,1.00,12.343,0.87,1.00,12.188,1.715,0.81
116-1,0.92,12.609,0.87,0.92,12.423,1.719,0.68
116-2,0.52,12.953,0.70,0.52,12.924,1.718,0.76
117-1,1.00,12.697,0.20,1.00,12.615,1.737,0.19
117-2,0.36,13.389,1.00,0.36,13.395,1.681,1.00
119-1,1.00,13.870,0.87,1.00,13.800,1.617,0.87
120-1,1.00,13.993,1.00,1.00,14.077,1.447,1.00
120-2,1.00,13.999,0.67,1.00,13.911,1.590,0.65
120-3,0.98,13.629,0.52,0.98,13.585,1.497,0.53
121-1,0.86,13.239,0.60,0.86,13.262,1.632,0.60
121-2,0.08,14.312,0.61,0.08,14.308,1.658,0.65
121-3,0.98,12.166,0.95,0.98,12.137,1.750,0.92
122-1,0.88,12.557,0.92,0.88,12.468,1.731,0.86
124-1,1.00,13.845,0.43,1.00,13.840,1.608,0.43
124-2,1.00,13.591,0.22,1.00,13.559,1.555,0.24
124-3,1.00,13.836,0.43,1.00,13.791,1.608,0.40
125-1,1.00,13.788,1.00,1.00,13.862,1.478,1.00
125-2,1.00,13.443,0.53,1.00,13.358,1.613,0.47
125-3,1.00,13.877,0.95,1.00,13.845,1.660,0.87
126-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
127-1,0.96,11.913,0.44,0.96,11.875,1.626,0.45
127-2,0.94,12.637,0.72,0.94,12.563,1.584,0.66
127-3,0.22,14.614,0.92,0.22,14.393,1.613,0.72
128-1,0.80,19.401,1.00,0.80,19.997,4.733,0.96
129-1,0.92,12.986,0.66,0.92,12.980,1.575,0.66
129-2,0.00,14.640,1.00,0.00,14.630,1.631,1.00
129-3,0.92,12.986,0.66,0.92,12.980,1.575,0.66
130-1,0.00,14.640,1.00,0.00,14.630,1.631,1.00
130-2,0.00,14.640,1.00,0.00,14.630,1.631,1.00
130-3,0.00,14.640,1.00,0.00,14.630,1.631,1.00
131-1,0.88,12.445,0.20,0.88,12.383,1.669,0.56
131-2,0.88,12.081,0.80,0.88,12.092,1.680,0.75
131-3,0.94,12.158,0.33,0.94,12.173,1.654,0.36
132-1,1.00,13.392,0.95,1.00,13.342,1.675,0.88
132-2,1.00,13.320,0.77,1.00,13.260,1.658,0.75
65-1,0.98,13.882,0.39,0.98,13.846,1.645,0.39
65-2,0.80,13.941,0.39,0.80,13.910,1.654,0.38
65-3,0.98,13.889,0.40,0.98,13.868,1.649,0.41
68-1,1.00,26.787,1.00,1.00,26.991,4.096,1.00
68-2,1.00,27.175,1.00,1.00,27.375,3.915,1.00
69-1,1.00,11.851,1.00,1.00,11.860,1.667,0.99
69-2,1.00,11.797,0.81,1.00,11.790,1.694,0.80
70-1,1.00,13.381,0.50,1.00,13.321,1.591,0.51
70-2,0.98,14.548,0.36,0.98,14.522,1.606,0.36
70-3,0.98,14.461,0.28,0.98,14.450,1.634,0.30
72-1,1.00,12.161,0.16,1.00,12.115,1.727,0.11
72-2,0.98,13.538,0.01,0.98,13.538,1.654,0.01
73-1,1.00,15.968,1.00,1.00,16.248,2.763,1.00
