ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.96,0.203,0.44,0.96,0.212,0.038,0.43
BLAST-S14,1.00,0.233,0.42,1.00,0.238,0.036,0.44
Naive-S11,1.00,0.198,0.31,1.00,0.202,0.017,0.24
Naive-S14,1.00,0.208,0.15,1.00,0.212,0.014,0.20
101-1,0.96,0.356,0.36,0.96,0.356,0.041,0.36
101-2,0.96,0.376,0.25,0.96,0.380,0.037,0.35
101-3,0.96,0.390,0.57,0.96,0.392,0.043,0.77
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.80,0.349,0.20,0.80,0.350,0.047,0.24
103-2,0.98,0.441,0.67,0.98,0.444,0.051,0.57
103-3,0.90,0.410,0.17,0.90,0.408,0.052,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.322,0.62,1.00,0.332,0.035,0.75
105-2,1.00,0.342,1.00,1.00,0.344,0.040,0.99
105-3,1.00,0.310,0.99,1.00,0.321,0.035,0.96
106-1,0.70,0.392,0.12,0.70,0.392,0.051,0.17
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.48,0.297,0.12,0.48,0.296,0.052,0.17
107-1,1.00,0.320,0.67,1.00,0.331,0.037,0.70
107-2,1.00,0.312,0.04,1.00,0.314,0.042,0.05
107-3,1.00,0.305,0.04,1.00,0.308,0.042,0.05
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.96,0.320,0.85,0.96,0.325,0.038,0.80
110-2,1.00,0.305,0.65,1.00,0.309,0.042,0.56
110-3,1.00,0.191,1.00,1.00,0.196,0.024,0.81
111-1,0.96,0.320,0.85,0.96,0.325,0.038,0.80
111-2,1.00,0.191,1.00,1.00,0.196,0.024,0.81
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.323,0.51,1.00,0.329,0.039,0.57
112-2,1.00,0.323,0.51,1.00,0.329,0.039,0.57
112-3,1.00,0.313,0.51,1.00,0.315,0.036,0.48
113-1,1.00,0.311,0.50,1.00,0.314,0.036,0.48
113-2,0.92,0.162,0.59,0.92,0.164,0.022,0.64
113-3,0.82,0.262,0.84,0.82,0.266,0.033,0.83
114-1,1.00,0.436,0.99,1.00,0.441,0.046,0.94
115-1,1.00,0.407,0.26,1.00,0.408,0.044,0.31
116-1,0.92,0.363,0.30,0.92,0.365,0.049,0.45
116-2,0.52,0.264,0.70,0.52,0.266,0.054,0.77
117-1,1.00,0.435,0.10,1.00,0.439,0.041,0.10
117-2,0.36,0.177,1.00,0.36,0.175,0.048,1.00
119-1,1.00,0.387,0.51,1.00,0.387,0.037,0.53
120-1,1.00,0.427,0.99,1.00,0.428,0.044,0.97
120-2,1.00,0.227,0.49,1.00,0.235,0.025,0.54
120-3,0.98,0.223,0.51,0.98,0.223,0.024,0.51
121-1,0.86,0.396,0.60,0.86,0.395,0.048,0.60
121-2,0.08,0.114,0.61,0.08,0.107,0.046,0.64
121-3,0.98,0.430,0.61,0.98,0.437,0.049,0.59
122-1,0.88,0.388,0.69,0.88,0.389,0.050,0.74
124-1,1.00,0.254,0.16,1.00,0.263,0.028,0.19
124-2,1.00,0.245,0.11,1.00,0.251,0.028,0.14
124-3,1.00,0.253,0.15,1.00,0.261,0.028,0.18
125-1,1.00,0.436,0.99,1.00,0.440,0.046,0.94
125-2,1.00,0.382,0.16,1.00,0.389,0.040,0.16
125-3,1.00,0.302,0.18,1.00,0.307,0.041,0.21
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.96,0.383,0.42,0.96,0.392,0.043,0.40
127-2,0.94,0.327,0.57,0.94,0.334,0.038,0.54
127-3,0.22,0.128,0.23,0.22,0.133,0.027,0.33
128-1,0.80,0.219,0.13,0.80,0.229,0.037,0.11
129-1,0.92,0.291,0.57,0.92,0.295,0.035,0.58
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.92,0.291,0.57,0.92,0.295,0.035,0.58
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.88,0.379,0.07,0.88,0.384,0.052,0.16
131-2,0.88,0.425,0.09,0.88,0.425,0.052,0.19
131-3,0.94,0.385,0.11,0.94,0.395,0.048,0.12
132-1,1.00,0.328,0.60,1.00,0.332,0.038,0.65
132-2,1.00,0.295,0.60,1.00,0.298,0.035,0.61
65-1,0.98,0.299,0.08,0.98,0.302,0.034,0.11
65-2,0.80,0.256,0.19,0.80,0.263,0.034,0.21
65-3,0.98,0.270,0.05,0.98,0.292,0.031,0.13
68-1,1.00,0.314,0.77,1.00,0.327,0.043,0.86
68-2,1.00,0.320,0.87,1.00,0.334,0.044,0.86
69-1,1.00,0.367,0.69,1.00,0.383,0.043,0.63
69-2,1.00,0.399,0.76,1.00,0.411,0.047,0.43
70-1,1.00,0.316,0.36,1.00,0.318,0.035,0.34
70-2,0.98,0.183,0.10,0.98,0.184,0.014,0.10
70-3,0.98,0.154,0.06,0.98,0.155,0.010,0.07
72-1,1.00,0.403,0.01,1.00,0.405,0.047,0.04
72-2,0.98,0.248,0.01,0.98,0.245,0.044,0.01
73-1,1.00,0.317,0.99,1.00,0.321,0.042,0.96
73-2,1.00,0.317,0.99,1.00,0.321,0.042,0.96
73-3,1.00,0.403,0.97,1.00,0.400,0.045,0.97
74-1,0.76,0.339,0.05,0.76,0.341,0.045,0.24
74-2,1.00,0.377,0.20,1.00,0.379,0.044,0.24
75-1,1.00,0.400,0.70,1.00,0.403,0.043,0.65
75-2,1.00,0.406,0.70,1.00,0.416,0.045,0.68
79-1,0.80,0.335,0.16,0.80,0.336,0.037,0.17
79-2,0.60,0.337,0.16,0.60,0.335,0.040,0.17
79-3,1.00,0.386,0.02,1.00,0.395,0.041,0.14
80-1,0.82,0.373,0.07,0.82,0.376,0.044,0.20
80-2,1.00,0.380,0.20,1.00,0.383,0.042,0.35
81-1,0.96,0.360,0.64,0.96,0.366,0.046,0.70
81-2,0.96,0.360,0.64,0.96,0.366,0.046,0.70
82-1,0.84,0.285,0.57,0.84,0.291,0.033,0.59
83-1,1.00,0.367,0.49,1.00,0.373,0.037,0.50
83-2,1.00,0.427,0.46,1.00,0.435,0.044,0.36
84-1,0.86,0.288,0.17,0.86,0.293,0.034,0.16
85-1,0.92,0.314,0.24,0.92,0.323,0.037,0.23
85-2,0.92,0.314,0.24,0.92,0.323,0.037,0.23
86-1,1.00,0.219,0.71,1.00,0.221,0.030,0.75
86-2,1.00,0.219,0.71,1.00,0.221,0.030,0.75
86-3,0.92,0.194,0.36,0.92,0.195,0.037,0.41
87-1,1.00,0.401,0.22,1.00,0.409,0.044,0.32
87-2,1.00,0.425,0.22,1.00,0.428,0.046,0.21
87-3,1.00,0.386,0.25,1.00,0.391,0.044,0.37
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,1.00,0.171,1.00,1.00,0.170,0.033,1.00
93-2,1.00,0.103,1.00,1.00,0.103,0.014,1.00
