ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,12.295,0.98,0.94,12.160,2.093,0.98
BLAST-S14,1.00,12.692,1.00,1.00,12.918,2.050,1.00
Naive-S11,1.00,11.439,0.31,1.00,11.305,1.814,0.28
Naive-S14,1.00,11.439,0.33,1.00,11.326,1.839,0.30
101-1,1.00,12.395,0.85,1.00,12.026,1.964,0.71
101-2,1.00,10.833,0.77,1.00,10.818,1.709,0.77
101-3,1.00,24.777,1.00,1.00,24.999,6.418,1.00
102-1,0.00,12.457,1.00,0.00,12.468,2.099,1.00
102-2,0.00,12.457,1.00,0.00,12.468,2.099,1.00
102-3,0.00,12.457,1.00,0.00,12.468,2.099,1.00
103-1,0.00,12.457,1.00,0.00,12.468,2.099,1.00
103-2,0.00,12.457,1.00,0.00,12.468,2.099,1.00
103-3,0.31,11.640,0.33,0.31,11.482,2.262,0.34
104-1,0.00,12.457,1.00,0.00,12.468,2.099,1.00
104-2,0.00,12.457,1.00,0.00,12.468,2.099,1.00
104-3,0.00,12.457,1.00,0.00,12.468,2.099,1.00
105-1,1.00,12.457,1.00,1.00,12.117,2.231,1.00
105-2,1.00,93.275,1.00,1.00,93.793,44.966,1.00
105-3,1.00,102.774,1.00,1.00,103.284,45.649,1.00
106-1,0.31,11.717,0.80,0.31,11.733,2.181,0.70
106-2,0.00,12.457,1.00,0.00,12.468,2.099,1.00
106-3,0.19,11.797,0.28,0.19,11.811,2.180,0.49
107-1,1.00,119.358,1.00,1.00,119.322,35.181,1.00
107-2,1.00,8.235,0.11,1.00,8.176,1.885,0.12
107-3,0.00,12.457,1.00,0.00,12.468,2.099,1.00
108-1,0.00,12.457,1.00,0.00,12.468,2.099,1.00
109-1,0.00,12.457,1.00,0.00,12.468,2.099,1.00
110-1,1.00,21.182,1.00,1.00,21.572,7.272,1.00
110-2,1.00,13.397,0.93,1.00,13.915,3.245,0.88
110-3,1.00,16.753,1.00,1.00,17.130,4.150,0.97
111-1,1.00,16.597,0.99,1.00,16.979,4.792,0.99
111-2,1.00,20.608,1.00,1.00,20.983,5.537,0.99
111-3,0.12,12.464,1.00,0.12,12.503,2.070,0.97
112-1,1.00,13.290,0.89,1.00,13.696,3.246,0.84
112-2,1.00,13.293,0.94,1.00,13.673,3.249,0.84
112-3,1.00,11.221,0.69,1.00,11.090,1.760,0.71
113-1,1.00,11.180,0.71,1.00,11.074,1.780,0.72
113-2,0.50,15.980,1.00,0.50,16.371,4.011,0.97
113-3,1.00,12.236,0.99,1.00,12.643,2.835,0.99
114-1,1.00,33.556,1.00,1.00,33.597,11.797,1.00
115-1,1.00,10.781,0.97,1.00,10.620,1.996,0.88
116-1,0.75,10.861,0.97,0.75,10.883,1.965,0.98
116-2,0.38,11.739,1.00,0.38,11.759,2.240,1.00
117-1,1.00,7.970,0.23,1.00,8.061,1.993,0.23
117-2,0.50,16.386,1.00,0.50,17.037,6.407,1.00
119-1,1.00,12.112,0.91,1.00,11.780,1.807,0.91
120-1,1.00,34.852,1.00,1.00,34.848,12.302,1.00
120-2,1.00,10.728,0.66,1.00,10.612,1.912,0.65
120-3,1.00,10.475,0.61,1.00,10.398,1.859,0.58
121-1,0.31,11.837,1.00,0.31,11.254,2.165,0.84
121-2,0.12,11.767,1.00,0.13,11.791,2.056,0.98
121-3,0.31,10.370,0.26,0.31,10.371,2.245,0.32
122-1,0.94,8.193,1.00,0.94,8.138,2.346,0.99
124-1,1.00,10.903,0.54,1.00,10.735,2.184,0.63
124-2,1.00,11.738,0.34,1.00,11.613,1.796,0.34
124-3,1.00,10.752,0.54,1.00,10.668,2.142,0.62
125-1,1.00,33.556,1.00,1.00,33.561,11.821,1.00
125-2,1.00,12.281,0.97,1.00,12.477,3.356,0.91
125-3,1.00,12.457,1.00,1.00,12.278,2.053,0.99
126-1,0.25,12.313,0.42,0.25,12.072,2.160,0.40
127-1,1.00,11.413,0.84,1.00,11.129,1.854,0.77
127-2,1.00,11.357,0.74,1.00,11.140,1.737,0.77
127-3,0.06,12.447,0.70,0.06,12.463,2.098,0.83
128-1,0.69,57.657,1.00,0.69,58.255,27.064,1.00
129-1,1.00,9.858,0.69,1.00,9.807,1.622,0.70
129-2,0.00,12.457,1.00,0.00,12.468,2.099,1.00
129-3,1.00,9.858,0.69,1.00,9.807,1.622,0.70
