ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.355,0.85,0.94,0.349,0.080,0.82
BLAST-S14,1.00,0.303,0.71,1.00,0.300,0.054,0.76
Naive-S11,1.00,0.228,0.22,1.00,0.232,0.025,0.20
Naive-S14,1.00,0.233,0.18,1.00,0.236,0.023,0.19
101-1,1.00,0.232,0.40,1.00,0.259,0.062,0.26
101-2,1.00,0.375,0.40,1.00,0.375,0.057,0.39
101-3,1.00,0.392,0.62,1.00,0.386,0.067,0.65
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.31,0.323,0.17,0.31,0.304,0.104,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.314,0.93,1.00,0.338,0.065,0.95
105-2,1.00,0.338,1.00,1.00,0.335,0.076,0.99
105-3,1.00,0.282,0.99,1.00,0.292,0.058,0.99
106-1,0.31,0.150,0.80,0.31,0.147,0.073,0.72
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.19,0.130,0.80,0.19,0.127,0.078,0.66
107-1,1.00,0.305,0.80,1.00,0.302,0.060,0.88
107-2,1.00,0.377,0.04,1.00,0.394,0.111,0.08
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,1.00,0.423,0.65,1.00,0.438,0.069,0.71
110-2,1.00,0.345,0.45,1.00,0.355,0.051,0.43
110-3,1.00,0.262,0.01,1.00,0.272,0.041,0.12
111-1,1.00,0.425,0.65,1.00,0.434,0.070,0.67
111-2,1.00,0.256,0.22,1.00,0.271,0.044,0.17
111-3,0.12,0.063,0.43,0.12,0.056,0.039,0.40
112-1,1.00,0.400,0.44,1.00,0.411,0.058,0.42
112-2,1.00,0.403,0.42,1.00,0.417,0.057,0.43
112-3,1.00,0.421,0.44,1.00,0.430,0.061,0.42
113-1,1.00,0.425,0.42,1.00,0.436,0.060,0.42
113-2,0.50,0.161,0.24,0.50,0.161,0.072,0.42
113-3,1.00,0.382,0.65,1.00,0.417,0.072,0.60
114-1,1.00,0.547,0.96,1.00,0.539,0.082,0.96
115-1,1.00,0.466,0.37,1.00,0.468,0.081,0.37
116-1,0.75,0.233,0.97,0.75,0.229,0.086,0.98
116-2,0.38,0.173,1.00,0.38,0.167,0.091,0.96
117-1,1.00,0.472,0.14,1.00,0.483,0.084,0.17
117-2,0.50,0.366,1.00,0.50,0.350,0.074,1.00
119-1,1.00,0.518,0.52,1.00,0.516,0.075,0.56
120-1,1.00,0.541,0.97,1.00,0.533,0.081,0.97
120-2,1.00,0.402,0.50,1.00,0.414,0.055,0.55
120-3,1.00,0.353,0.49,1.00,0.354,0.046,0.51
121-1,0.31,0.319,0.60,0.31,0.302,0.099,0.61
121-2,0.12,0.095,0.85,0.13,0.098,0.055,0.80
121-3,0.31,0.334,0.02,0.31,0.315,0.106,0.08
122-1,0.94,0.578,0.92,0.94,0.572,0.083,0.92
124-1,1.00,0.326,0.36,1.00,0.337,0.089,0.44
124-2,1.00,0.208,0.15,1.00,0.211,0.035,0.16
124-3,1.00,0.325,0.36,1.00,0.337,0.091,0.45
125-1,1.00,0.548,0.96,1.00,0.540,0.082,0.96
125-2,1.00,0.460,0.65,1.00,0.461,0.088,0.52
125-3,1.00,0.504,0.36,1.00,0.500,0.087,0.42
126-1,0.25,0.248,0.32,0.25,0.233,0.095,0.33
127-1,1.00,0.336,0.36,1.00,0.364,0.049,0.45
127-2,1.00,0.381,0.30,1.00,0.386,0.048,0.38
127-3,0.06,0.039,0.46,0.06,0.030,0.023,0.30
128-1,0.69,0.356,0.01,0.69,0.328,0.084,0.04
129-1,1.00,0.440,0.61,1.00,0.447,0.050,0.59
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,1.00,0.440,0.61,1.00,0.447,0.050,0.59
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
131-1,0.88,0.383,0.04,0.87,0.379,0.068,0.07
131-2,0.88,0.513,0.26,0.87,0.507,0.093,0.25
131-3,1.00,0.473,0.19,1.00,0.471,0.102,0.22
132-1,1.00,0.446,0.50,1.00,0.444,0.063,0.52
132-2,1.00,0.459,0.50,1.00,0.456,0.068,0.51
65-1,1.00,0.308,0.52,1.00,0.316,0.031,0.46
65-2,1.00,0.306,0.39,1.00,0.314,0.031,0.44
65-3,1.00,0.301,0.40,1.00,0.312,0.030,0.47
68-1,1.00,0.258,0.87,1.00,0.269,0.063,0.91
68-2,1.00,0.279,0.87,1.00,0.283,0.073,0.91
69-1,1.00,0.341,0.30,1.00,0.347,0.068,0.36
69-2,1.00,0.507,0.16,1.00,0.514,0.092,0.26
70-1,1.00,0.364,0.34,1.00,0.368,0.053,0.39
70-2,1.00,0.244,0.20,1.00,0.251,0.043,0.17
70-3,1.00,0.273,0.10,1.00,0.281,0.045,0.14
72-1,0.81,0.396,0.01,0.81,0.401,0.076,0.11
72-2,0.81,0.366,0.01,0.81,0.357,0.086,0.02
73-1,1.00,0.441,0.98,1.00,0.438,0.092,0.94
73-2,1.00,0.441,0.98,1.00,0.438,0.092,0.94
73-3,1.00,0.427,1.00,1.00,0.412,0.101,1.00
74-1,0.31,0.159,0.12,0.31,0.148,0.042,0.14
74-2,1.00,0.302,0.24,1.00,0.324,0.063,0.50
75-1,1.00,0.444,0.62,1.00,0.448,0.075,0.56
75-2,1.00,0.487,0.18,1.00,0.497,0.085,0.43
79-1,0.81,0.295,0.11,0.81,0.305,0.046,0.10
79-2,0.69,0.250,0.11,0.69,0.262,0.047,0.09
79-3,1.00,0.365,0.15,1.00,0.381,0.054,0.17
80-1,0.44,0.212,0.13,0.44,0.200,0.044,0.17
80-2,1.00,0.467,0.70,1.00,0.465,0.081,0.65
81-1,1.00,0.442,0.50,1.00,0.447,0.071,0.55
81-2,1.00,0.442,0.50,1.00,0.447,0.071,0.55
82-1,1.00,0.375,0.51,1.00,0.373,0.061,0.58
83-1,1.00,0.389,0.18,1.00,0.399,0.068,0.37
83-2,1.00,0.412,0.33,1.00,0.421,0.065,0.41
84-1,0.94,0.231,0.07,0.94,0.231,0.048,0.07
85-1,1.00,0.473,0.73,1.00,0.488,0.056,0.50
85-2,1.00,0.473,0.73,1.00,0.488,0.056,0.50
86-1,1.00,0.452,0.56,1.00,0.456,0.078,0.61
86-2,1.00,0.452,0.56,1.00,0.456,0.078,0.61
86-3,0.88,0.435,0.30,0.88,0.434,0.086,0.37
87-1,1.00,0.510,0.53,1.00,0.517,0.096,0.51
87-2,1.00,0.425,0.25,1.00,0.437,0.077,0.24
87-3,0.88,0.421,0.55,0.87,0.448,0.092,0.65
88-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
89-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
