ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,0.94,0.566,0.76,0.94,0.576,0.047,0.80
BLAST-S14,1.00,0.623,0.71,1.00,0.632,0.026,0.74
Naive-S11,1.00,0.630,0.17,1.00,0.627,0.011,0.17
Naive-S14,1.00,0.624,0.18,1.00,0.624,0.010,0.19
101-1,1.00,0.665,0.37,1.00,0.661,0.021,0.37
101-2,1.00,0.579,0.40,1.00,0.585,0.027,0.41
101-3,1.00,0.616,0.67,1.00,0.612,0.039,0.76
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.31,0.439,0.17,0.31,0.438,0.134,0.22
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.584,0.98,1.00,0.587,0.044,0.98
105-2,1.00,0.630,1.00,1.00,0.637,0.060,1.00
105-3,1.00,0.704,1.00,1.00,0.707,0.047,1.00
106-1,0.31,0.570,0.28,0.31,0.581,0.076,0.49
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.19,0.516,0.28,0.19,0.524,0.082,0.47
107-1,1.00,0.672,1.00,1.00,0.682,0.055,1.00
107-2,1.00,0.522,0.04,1.00,0.520,0.073,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.559,0.91,1.00,0.553,0.047,0.91
110-2,1.00,0.604,0.52,1.00,0.602,0.025,0.54
110-3,1.00,0.624,0.22,1.00,0.630,0.034,0.22
111-1,1.00,0.555,0.91,1.00,0.552,0.047,0.91
111-2,1.00,0.625,0.22,1.00,0.630,0.034,0.27
111-3,0.12,0.693,1.00,0.12,0.702,0.014,1.00
112-1,1.00,0.581,0.55,1.00,0.579,0.028,0.56
112-2,1.00,0.580,0.55,1.00,0.578,0.028,0.55
112-3,1.00,0.572,0.55,1.00,0.571,0.029,0.53
113-1,1.00,0.573,0.55,1.00,0.571,0.029,0.53
113-2,0.50,0.615,1.00,0.50,0.619,0.072,0.91
113-3,1.00,0.555,0.91,1.00,0.556,0.046,0.87
114-1,1.00,0.546,0.96,1.00,0.544,0.078,0.98
115-1,1.00,0.500,0.38,1.00,0.501,0.065,0.40
116-1,0.75,0.598,0.57,0.75,0.608,0.058,0.62
116-2,0.38,0.546,0.63,0.38,0.559,0.098,0.73
117-1,1.00,0.494,0.14,1.00,0.479,0.065,0.17
117-2,0.50,0.595,1.00,0.50,0.607,0.069,1.00
119-1,1.00,0.529,0.54,1.00,0.529,0.067,0.58
120-1,1.00,0.534,0.97,1.00,0.539,0.078,0.98
120-2,1.00,0.552,0.56,1.00,0.548,0.035,0.58
120-3,1.00,0.592,0.49,1.00,0.595,0.020,0.48
121-1,0.31,0.424,0.60,0.31,0.438,0.120,0.63
121-2,0.12,0.529,1.00,0.13,0.539,0.082,1.00
121-3,0.31,0.387,0.04,0.31,0.363,0.142,0.19
122-1,0.94,0.442,0.94,0.94,0.447,0.078,0.94
124-1,1.00,0.563,0.34,1.00,0.563,0.053,0.35
124-2,1.00,0.631,0.17,1.00,0.631,0.015,0.17
124-3,1.00,0.567,0.33,1.00,0.567,0.054,0.33
125-1,1.00,0.526,0.96,1.00,0.531,0.079,0.97
125-2,1.00,0.544,0.27,1.00,0.529,0.061,0.46
125-3,1.00,0.555,0.67,1.00,0.540,0.066,0.59
126-1,0.25,0.477,0.34,0.25,0.475,0.163,0.36
127-1,1.00,0.605,0.55,1.00,0.602,0.030,0.50
127-2,1.00,0.606,0.52,1.00,0.602,0.029,0.52
127-3,0.06,0.747,0.70,0.06,0.747,0.000,0.70
128-1,0.69,0.670,0.56,0.69,0.681,0.044,0.56
129-1,1.00,0.560,0.61,1.00,0.559,0.030,0.63
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.560,0.61,1.00,0.559,0.030,0.63
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.88,0.592,0.18,0.87,0.585,0.049,0.16
131-2,0.88,0.489,0.27,0.87,0.485,0.084,0.34
131-3,1.00,0.483,0.15,1.00,0.487,0.075,0.15
132-1,1.00,0.579,0.68,1.00,0.560,0.033,0.62
132-2,1.00,0.562,0.55,1.00,0.550,0.042,0.59
65-1,1.00,0.627,0.39,1.00,0.619,0.016,0.43
65-2,1.00,0.623,0.39,1.00,0.618,0.016,0.43
65-3,1.00,0.631,0.40,1.00,0.621,0.015,0.45
68-1,1.00,0.675,0.99,1.00,0.679,0.027,0.98
68-2,1.00,0.670,0.99,1.00,0.669,0.037,0.98
69-1,1.00,0.566,0.50,1.00,0.564,0.040,0.50
69-2,1.00,0.451,0.38,1.00,0.442,0.068,0.43
70-1,1.00,0.594,0.33,1.00,0.590,0.023,0.36
70-2,1.00,0.617,0.17,1.00,0.617,0.020,0.17
70-3,1.00,0.600,0.11,1.00,0.600,0.024,0.12
72-1,0.81,0.569,0.51,0.81,0.554,0.060,0.30
72-2,0.81,0.539,0.01,0.81,0.549,0.058,0.01
73-1,1.00,0.526,0.99,1.00,0.521,0.073,0.99
73-2,1.00,0.526,0.99,1.00,0.521,0.073,0.99
73-3,1.00,0.693,1.00,1.00,0.698,0.089,1.00
74-1,0.31,0.677,0.37,0.31,0.685,0.040,0.38
74-2,1.00,0.613,0.24,1.00,0.601,0.029,0.36
75-1,1.00,0.532,0.66,1.00,0.533,0.055,0.67
75-2,1.00,0.487,0.73,1.00,0.476,0.065,0.71
79-1,0.81,0.573,0.11,0.81,0.572,0.028,0.12
79-2,0.69,0.591,0.11,0.69,0.585,0.031,0.13
79-3,1.00,0.553,0.15,1.00,0.551,0.031,0.13
80-1,0.44,0.655,0.50,0.44,0.649,0.033,0.40
80-2,1.00,0.513,0.70,1.00,0.517,0.069,0.71
81-1,1.00,0.527,0.52,1.00,0.522,0.043,0.55
81-2,1.00,0.527,0.52,1.00,0.522,0.043,0.55
82-1,1.00,0.629,0.81,1.00,0.627,0.026,0.77
83-1,1.00,0.648,0.63,1.00,0.650,0.058,0.78
83-2,1.00,0.617,0.97,1.00,0.620,0.055,0.86
84-1,0.94,0.616,0.07,0.94,0.618,0.026,0.07
85-1,1.00,0.553,0.71,1.00,0.559,0.042,0.67
85-2,1.00,0.553,0.71,1.00,0.559,0.042,0.67
86-1,1.00,0.561,0.46,1.00,0.548,0.052,0.51
86-2,1.00,0.561,0.46,1.00,0.548,0.052,0.51
86-3,0.88,0.530,0.30,0.88,0.541,0.057,0.31
87-1,1.00,0.468,0.53,1.00,0.479,0.075,0.53
87-2,1.00,0.539,0.26,1.00,0.546,0.065,0.26
87-3,0.88,0.505,0.77,0.87,0.501,0.075,0.76
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
89-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
91-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
93-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
94-1,1.00,0.470,1.00,1.00,0.476,0.080,1.00
95-1,1.00,0.678,1.00,1.00,0.689,0.031,0.98
95-2,1.00,0.685,1.00,1.00,0.692,0.033,0.99
96-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
96-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
97-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
98-1,1.00,0.699,0.50,1.00,0.705,0.022,0.50
99-1,1.00,0.586,0.27,1.00,0.570,0.032,0.30
