ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.647,0.73,1.00,0.642,0.018,0.65
BLAST-S14,1.00,0.660,0.85,1.00,0.663,0.013,0.83
Naive-S11,1.00,0.626,0.14,1.00,0.626,0.007,0.15
Naive-S14,1.00,0.622,0.17,1.00,0.621,0.008,0.18
101-1,0.97,0.666,0.37,0.97,0.662,0.016,0.37
101-2,0.97,0.653,0.23,0.97,0.650,0.011,0.23
101-3,0.97,0.648,0.53,0.97,0.649,0.011,0.56
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.32,0.776,0.17,0.32,0.782,0.046,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.645,0.98,1.00,0.644,0.025,0.98
105-2,1.00,0.637,1.00,1.00,0.641,0.029,1.00
105-3,1.00,0.707,1.00,1.00,0.709,0.036,1.00
106-1,0.39,0.862,0.13,0.39,0.864,0.045,0.18
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.23,0.887,0.13,0.23,0.889,0.045,0.18
107-1,1.00,0.768,1.00,1.00,0.771,0.036,0.97
107-2,1.00,0.640,0.02,1.00,0.642,0.021,0.02
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,1.00,0.625,0.95,1.00,0.627,0.022,0.93
110-2,1.00,0.639,0.59,1.00,0.636,0.019,0.61
110-3,1.00,0.677,0.03,1.00,0.683,0.011,0.11
111-1,1.00,0.624,0.95,1.00,0.625,0.022,0.89
111-2,0.94,0.681,0.24,0.94,0.679,0.007,0.39
111-3,0.23,0.823,0.01,0.23,0.826,0.050,0.02
112-1,1.00,0.625,0.59,1.00,0.622,0.020,0.57
112-2,1.00,0.624,0.52,1.00,0.621,0.022,0.55
112-3,1.00,0.617,0.54,1.00,0.614,0.020,0.53
113-1,1.00,0.613,0.52,1.00,0.612,0.021,0.52
113-2,0.42,0.715,0.02,0.42,0.724,0.027,0.05
113-3,0.97,0.625,0.81,0.97,0.623,0.022,0.83
114-1,1.00,0.638,1.00,1.00,0.642,0.035,1.00
115-1,1.00,0.614,0.40,1.00,0.617,0.030,0.40
116-1,0.68,0.717,0.43,0.68,0.721,0.028,0.47
116-2,0.39,0.853,0.28,0.39,0.854,0.035,0.37
117-1,1.00,0.595,0.13,1.00,0.594,0.023,0.13
117-2,0.61,0.669,1.00,0.61,0.676,0.025,1.00
119-1,1.00,0.642,0.85,1.00,0.642,0.014,0.83
120-1,1.00,0.641,1.00,1.00,0.645,0.036,1.00
120-2,1.00,0.623,0.54,1.00,0.624,0.014,0.53
120-3,1.00,0.646,0.46,1.00,0.648,0.015,0.46
121-1,0.32,0.789,0.60,0.32,0.793,0.046,0.60
121-2,0.16,0.881,0.85,0.16,0.883,0.047,0.85
121-3,0.35,0.759,0.01,0.35,0.765,0.043,0.01
122-1,0.84,0.601,0.81,0.84,0.601,0.033,0.82
124-1,1.00,0.640,0.34,1.00,0.639,0.014,0.31
124-2,1.00,0.634,0.15,1.00,0.635,0.011,0.15
124-3,1.00,0.641,0.30,1.00,0.638,0.014,0.29
125-1,1.00,0.638,1.00,1.00,0.642,0.035,1.00
125-2,0.97,0.634,0.32,0.97,0.635,0.021,0.32
125-3,1.00,0.659,0.31,1.00,0.653,0.019,0.61
126-1,1.00,0.629,0.36,1.00,0.627,0.018,0.32
127-1,1.00,0.634,0.46,1.00,0.632,0.015,0.48
127-2,1.00,0.625,0.51,1.00,0.625,0.015,0.51
127-3,0.13,0.902,0.03,0.13,0.903,0.044,0.03
128-1,0.71,0.664,0.33,0.71,0.665,0.022,0.42
129-1,1.00,0.597,0.59,1.00,0.597,0.015,0.59
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
129-3,1.00,0.597,0.59,1.00,0.597,0.015,0.59
130-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
130-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
131-1,0.90,0.635,0.06,0.90,0.636,0.018,0.09
131-2,0.87,0.623,0.11,0.87,0.622,0.028,0.17
131-3,1.00,0.621,0.11,1.00,0.622,0.029,0.11
132-1,1.00,0.599,0.64,1.00,0.594,0.025,0.62
132-2,1.00,0.586,0.57,1.00,0.582,0.025,0.58
65-1,0.97,0.636,0.29,0.97,0.639,0.014,0.29
65-2,0.97,0.638,0.29,0.97,0.640,0.014,0.29
65-3,0.97,0.636,0.30,0.97,0.637,0.013,0.31
68-1,1.00,0.662,0.97,1.00,0.666,0.019,0.97
68-2,1.00,0.666,1.00,1.00,0.671,0.019,0.99
69-1,1.00,0.628,0.36,1.00,0.629,0.019,0.37
69-2,1.00,0.609,0.44,1.00,0.609,0.025,0.43
70-1,1.00,0.645,0.30,1.00,0.644,0.010,0.31
70-2,1.00,0.617,0.15,1.00,0.616,0.012,0.15
70-3,1.00,0.621,0.11,1.00,0.620,0.011,0.11
72-1,0.90,0.649,0.01,0.90,0.646,0.014,0.18
72-2,0.74,0.685,0.01,0.74,0.689,0.031,0.01
73-1,0.97,0.635,0.99,0.97,0.636,0.027,0.99
73-2,1.00,0.637,0.99,1.00,0.638,0.027,0.99
73-3,1.00,0.867,1.00,1.00,0.867,0.042,0.99
74-1,0.65,0.652,0.01,0.65,0.658,0.022,0.02
74-2,1.00,0.619,0.16,1.00,0.616,0.020,0.14
75-1,1.00,0.636,0.70,1.00,0.637,0.025,0.65
75-2,1.00,0.620,0.69,1.00,0.618,0.031,0.64
79-1,0.97,0.605,0.13,0.97,0.604,0.020,0.14
79-2,0.74,0.636,0.11,0.74,0.636,0.020,0.10
