ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,15.450,0.96,1.00,15.390,2.071,0.96
BLAST-S14,1.00,15.822,1.00,1.00,15.913,2.176,1.00
Naive-S11,1.00,14.187,0.23,1.00,14.190,1.978,0.24
Naive-S14,1.00,14.191,0.25,1.00,14.199,1.985,0.25
101-1,0.97,15.461,0.46,0.97,15.254,2.025,0.52
101-2,0.97,15.455,0.80,0.97,15.175,2.151,0.63
101-3,0.97,24.898,1.00,0.97,25.163,4.481,0.98
102-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
102-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
102-3,0.00,15.773,1.00,0.00,15.774,2.229,1.00
103-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
103-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
103-3,0.32,15.543,0.50,0.32,15.544,2.248,0.55
104-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
104-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
104-3,0.00,15.773,1.00,0.00,15.774,2.229,1.00
105-1,1.00,15.708,1.00,1.00,15.719,2.224,1.00
105-2,1.00,38.371,1.00,1.00,38.340,8.691,1.00
105-3,1.00,66.541,1.00,1.00,66.424,12.737,1.00
106-1,0.39,15.009,0.40,0.39,14.989,2.179,0.43
106-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
106-3,0.23,15.362,0.40,0.23,15.335,2.206,0.44
107-1,1.00,121.157,1.00,1.00,121.204,19.979,1.00
107-2,1.00,14.859,0.14,1.00,14.748,2.203,0.20
107-3,0.00,15.773,1.00,0.00,15.774,2.229,1.00
108-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
109-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
110-1,1.00,21.710,1.00,1.00,21.820,2.798,1.00
110-2,1.00,16.534,0.99,1.00,16.661,1.724,0.97
110-3,1.00,20.444,1.00,1.00,20.784,2.583,1.00
111-1,1.00,20.604,1.00,1.00,20.706,2.649,1.00
111-2,0.94,21.646,0.94,0.94,21.953,2.615,0.96
111-3,0.23,15.584,0.94,0.23,15.585,2.209,0.87
112-1,1.00,17.014,0.99,1.00,17.079,1.688,0.91
112-2,1.00,17.014,0.99,1.00,17.097,1.692,0.92
112-3,1.00,14.520,0.74,1.00,14.409,1.902,0.75
113-1,1.00,14.532,0.75,1.00,14.441,1.921,0.75
113-2,0.42,19.343,1.00,0.42,19.654,2.369,1.00
113-3,0.97,17.292,1.00,0.97,17.415,2.379,1.00
114-1,1.00,32.888,1.00,1.00,32.946,4.515,1.00
115-1,1.00,15.562,0.98,1.00,15.510,2.157,0.95
116-1,0.68,15.645,0.98,0.68,15.570,2.110,0.92
116-2,0.39,15.566,0.78,0.39,15.568,2.169,0.81
117-1,1.00,13.844,0.18,1.00,13.748,1.900,0.20
117-2,0.61,28.519,1.00,0.61,28.751,5.402,1.00
119-1,1.00,14.559,0.91,1.00,14.564,2.009,0.91
120-1,1.00,34.360,1.00,1.00,34.411,4.695,1.00
120-2,1.00,14.589,0.66,1.00,14.549,2.027,0.66
120-3,1.00,14.959,0.57,1.00,14.826,2.019,0.58
121-1,0.32,15.754,1.00,0.32,15.708,2.210,0.94
121-2,0.16,15.264,1.00,0.16,15.271,2.284,1.00
121-3,0.35,15.689,0.76,0.35,15.597,2.204,0.58
122-1,0.84,14.718,1.00,0.84,14.695,2.130,1.00
124-1,1.00,14.879,0.42,1.00,14.710,1.967,0.49
124-2,1.00,15.394,0.34,1.00,15.270,2.051,0.33
124-3,1.00,14.720,0.42,1.00,14.603,1.981,0.47
125-1,1.00,32.888,1.00,1.00,32.946,4.515,1.00
125-2,0.97,15.450,1.00,0.97,15.519,2.123,0.97
125-3,1.00,15.733,1.00,1.00,15.757,2.160,1.00
126-1,1.00,14.446,0.39,1.00,14.437,2.047,0.40
127-1,1.00,14.882,0.71,1.00,14.651,2.017,0.74
127-2,1.00,14.398,0.68,1.00,14.337,1.925,0.71
127-3,0.13,15.674,0.60,0.13,15.719,2.222,0.73
128-1,0.71,55.060,1.00,0.71,55.055,13.791,1.00
129-1,1.00,13.364,0.65,1.00,13.272,1.807,0.67
129-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
129-3,1.00,13.364,0.65,1.00,13.272,1.807,0.67
130-1,0.00,15.773,1.00,0.00,15.774,2.229,1.00
130-2,0.00,15.773,1.00,0.00,15.774,2.229,1.00
130-3,0.00,15.773,1.00,0.00,15.774,2.229,1.00
131-1,0.90,14.745,0.81,0.90,14.700,1.987,0.76
131-2,0.87,14.484,0.90,0.87,14.455,2.160,0.82
131-3,1.00,14.242,0.34,1.00,14.189,2.040,0.42
132-1,1.00,16.882,0.99,1.00,16.835,1.672,0.89
132-2,1.00,14.173,0.72,1.00,13.833,1.831,0.74
65-1,0.97,14.707,0.43,0.97,14.648,2.062,0.45
65-2,0.97,14.526,0.43,0.97,14.509,2.048,0.43
65-3,0.97,14.483,0.45,0.97,14.481,2.055,0.46
68-1,1.00,51.305,1.00,1.00,51.279,10.972,1.00
68-2,1.00,57.432,1.00,1.00,57.338,11.227,1.00
69-1,1.00,15.153,1.00,1.00,15.156,1.861,0.97
69-2,1.00,14.465,1.00,1.00,14.501,1.933,0.99
70-1,1.00,15.277,0.77,1.00,15.263,2.124,0.75
70-2,1.00,14.196,0.19,1.00,14.120,1.976,0.20
70-3,1.00,13.914,0.24,1.00,13.833,1.879,0.24
72-1,0.90,15.349,0.77,0.90,15.360,2.088,0.77
72-2,0.74,15.196,0.26,0.74,15.123,2.163,0.19
73-1,0.97,43.399,1.00,0.97,43.651,12.767,1.00
73-2,1.00,43.399,1.00,1.00,43.651,12.767,1.00
73-3,1.00,402.677,1.00,1.00,401.880,49.444,1.00
74-1,0.65,15.339,0.46,0.65,15.170,2.094,0.65
