ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.192,0.73,1.00,0.209,0.035,0.62
BLAST-S14,1.00,0.170,0.75,1.00,0.179,0.027,0.67
Naive-S11,1.00,0.227,0.14,1.00,0.233,0.020,0.18
Naive-S14,1.00,0.235,0.17,1.00,0.238,0.020,0.19
101-1,0.97,0.207,0.37,0.97,0.221,0.034,0.37
101-2,0.97,0.227,0.18,0.97,0.226,0.033,0.21
101-3,0.97,0.263,0.20,0.97,0.271,0.035,0.37
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.32,0.074,0.17,0.32,0.085,0.031,0.31
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.231,0.96,1.00,0.231,0.045,0.96
105-2,1.00,0.235,0.95,1.00,0.239,0.047,0.95
105-3,1.00,0.207,0.96,1.00,0.219,0.044,0.98
106-1,0.39,0.126,0.13,0.39,0.120,0.049,0.30
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.23,0.078,0.13,0.23,0.078,0.041,0.31
107-1,1.00,0.162,0.68,1.00,0.169,0.038,0.71
107-2,1.00,0.183,0.02,1.00,0.186,0.046,0.03
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,1.00,0.236,0.68,1.00,0.249,0.043,0.83
110-2,1.00,0.273,0.32,1.00,0.276,0.045,0.42
110-3,1.00,0.248,0.01,1.00,0.240,0.029,0.01
111-1,1.00,0.255,0.42,1.00,0.270,0.045,0.64
111-2,0.94,0.244,0.01,0.94,0.237,0.034,0.03
111-3,0.23,0.092,0.17,0.23,0.087,0.028,0.16
112-1,1.00,0.283,0.42,1.00,0.287,0.044,0.44
112-2,1.00,0.290,0.46,1.00,0.294,0.044,0.43
112-3,1.00,0.280,0.42,1.00,0.283,0.043,0.41
113-1,1.00,0.284,0.44,1.00,0.290,0.043,0.41
113-2,0.42,0.049,0.60,0.42,0.050,0.013,0.44
113-3,0.97,0.254,0.42,0.97,0.266,0.045,0.60
114-1,1.00,0.270,0.74,1.00,0.282,0.046,0.81
115-1,1.00,0.275,0.17,1.00,0.275,0.049,0.19
116-1,0.68,0.097,0.56,0.68,0.096,0.027,0.62
116-2,0.39,0.031,0.28,0.39,0.030,0.015,0.46
117-1,1.00,0.292,0.14,1.00,0.297,0.039,0.14
117-2,0.61,0.166,1.00,0.61,0.159,0.049,1.00
119-1,1.00,0.249,0.69,1.00,0.259,0.041,0.69
120-1,1.00,0.258,0.72,1.00,0.266,0.046,0.84
120-2,1.00,0.240,0.44,1.00,0.244,0.030,0.47
120-3,1.00,0.205,0.46,1.00,0.203,0.034,0.47
121-1,0.32,0.073,0.60,0.32,0.071,0.027,0.61
121-2,0.16,0.077,1.00,0.16,0.079,0.053,0.90
121-3,0.35,0.089,0.10,0.35,0.095,0.035,0.08
122-1,0.84,0.276,0.77,0.84,0.280,0.054,0.80
124-1,1.00,0.243,0.34,1.00,0.251,0.034,0.28
124-2,1.00,0.221,0.15,1.00,0.220,0.027,0.15
124-3,1.00,0.238,0.34,1.00,0.245,0.035,0.28
125-1,1.00,0.273,0.74,1.00,0.283,0.046,0.81
125-2,0.97,0.240,0.33,0.97,0.247,0.048,0.37
125-3,1.00,0.250,0.28,1.00,0.251,0.043,0.28
126-1,1.00,0.266,0.27,1.00,0.268,0.042,0.30
127-1,1.00,0.240,0.43,1.00,0.247,0.036,0.46
127-2,1.00,0.240,0.52,1.00,0.255,0.034,0.47
127-3,0.13,0.022,0.60,0.13,0.028,0.014,0.33
128-1,0.71,0.191,0.60,0.71,0.200,0.055,0.37
129-1,1.00,0.317,0.64,1.00,0.319,0.035,0.62
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,1.00,0.317,0.64,1.00,0.319,0.035,0.62
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.90,0.247,0.06,0.90,0.244,0.042,0.07
131-2,0.87,0.238,0.04,0.87,0.242,0.051,0.19
131-3,1.00,0.269,0.05,1.00,0.269,0.055,0.06
132-1,1.00,0.295,0.57,1.00,0.307,0.043,0.56
132-2,1.00,0.299,0.57,1.00,0.311,0.042,0.54
65-1,0.97,0.220,0.29,0.97,0.222,0.032,0.28
65-2,0.97,0.214,0.25,0.97,0.221,0.030,0.27
65-3,0.97,0.232,0.30,0.97,0.233,0.031,0.30
68-1,1.00,0.222,0.97,1.00,0.218,0.050,0.94
68-2,1.00,0.180,0.97,1.00,0.186,0.047,0.98
69-1,1.00,0.256,0.12,1.00,0.260,0.045,0.17
69-2,1.00,0.306,0.27,1.00,0.306,0.049,0.22
70-1,1.00,0.217,0.27,1.00,0.220,0.028,0.26
70-2,1.00,0.252,0.18,1.00,0.254,0.029,0.17
70-3,1.00,0.244,0.15,1.00,0.247,0.032,0.16
72-1,0.90,0.221,0.01,0.90,0.221,0.039,0.11
72-2,0.74,0.174,0.01,0.74,0.172,0.043,0.04
73-1,0.97,0.263,0.87,0.97,0.267,0.052,0.92
73-2,1.00,0.262,0.98,1.00,0.265,0.051,0.92
73-3,1.00,0.167,0.96,1.00,0.165,0.056,0.93
74-1,0.65,0.198,0.01,0.65,0.194,0.045,0.02
74-2,1.00,0.253,0.09,1.00,0.261,0.042,0.11
75-1,1.00,0.262,0.21,1.00,0.265,0.049,0.26
75-2,1.00,0.291,0.27,1.00,0.294,0.053,0.27
79-1,0.97,0.256,0.13,0.97,0.260,0.037,0.14
79-2,0.74,0.215,0.13,0.74,0.219,0.036,0.12
79-3,1.00,0.285,0.10,1.00,0.286,0.041,0.10
80-1,0.77,0.182,0.01,0.77,0.182,0.044,0.05
80-2,1.00,0.293,0.18,1.00,0.305,0.050,0.22
81-1,0.94,0.232,0.48,0.94,0.234,0.045,0.50
81-2,0.94,0.230,0.44,0.94,0.231,0.045,0.47
82-1,0.97,0.194,0.56,0.97,0.198,0.036,0.62
83-1,1.00,0.247,0.39,1.00,0.248,0.037,0.40
83-2,1.00,0.252,0.27,1.00,0.253,0.038,0.37
84-1,0.74,0.148,0.06,0.74,0.152,0.028,0.05
85-1,1.00,0.262,0.72,1.00,0.273,0.038,0.54
85-2,1.00,0.262,0.72,1.00,0.273,0.038,0.54
86-1,0.97,0.238,0.80,0.97,0.246,0.034,0.62
86-2,0.97,0.238,0.80,0.97,0.246,0.034,0.62
86-3,0.90,0.212,0.30,0.90,0.210,0.039,0.33
87-1,0.90,0.216,0.49,0.90,0.228,0.044,0.45
87-2,0.90,0.214,0.21,0.90,0.215,0.041,0.21
87-3,0.77,0.219,0.46,0.77,0.219,0.044,0.50
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
93-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
94-1,1.00,0.319,0.91,1.00,0.316,0.057,0.86
95-1,1.00,0.196,0.95,1.00,0.228,0.034,0.87
95-2,1.00,0.176,0.90,1.00,0.196,0.043,0.89
96-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
96-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
