ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.647,0.73,1.00,0.642,0.018,0.65
BLAST-S14,1.00,0.660,0.85,1.00,0.663,0.013,0.83
Naive-S11,1.00,0.626,0.14,1.00,0.626,0.007,0.15
Naive-S14,1.00,0.622,0.17,1.00,0.621,0.008,0.18
101-1,0.97,0.661,0.37,0.97,0.660,0.017,0.37
101-2,0.97,0.650,0.23,0.97,0.648,0.012,0.25
101-3,0.97,0.647,0.60,0.97,0.649,0.012,0.59
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.32,0.666,0.33,0.32,0.677,0.026,0.33
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.645,0.98,1.00,0.644,0.025,0.98
105-2,1.00,0.637,1.00,1.00,0.641,0.029,1.00
105-3,1.00,0.707,1.00,1.00,0.709,0.036,1.00
106-1,0.39,0.684,0.13,0.39,0.695,0.059,0.20
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.23,0.645,0.13,0.23,0.663,0.059,0.29
107-1,1.00,0.768,1.00,1.00,0.771,0.036,0.97
107-2,1.00,0.640,0.02,1.00,0.642,0.021,0.02
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,0.625,0.95,1.00,0.627,0.022,0.93
110-2,1.00,0.639,0.59,1.00,0.636,0.019,0.61
110-3,1.00,0.677,0.03,1.00,0.683,0.011,0.11
111-1,1.00,0.624,0.95,1.00,0.625,0.022,0.89
111-2,0.94,0.682,0.55,0.94,0.678,0.007,0.51
111-3,0.23,0.650,0.88,0.23,0.654,0.024,0.89
112-1,1.00,0.625,0.59,1.00,0.622,0.020,0.57
112-2,1.00,0.624,0.52,1.00,0.621,0.022,0.55
112-3,1.00,0.617,0.54,1.00,0.614,0.020,0.53
113-1,1.00,0.613,0.52,1.00,0.612,0.021,0.52
113-2,0.42,0.731,1.00,0.42,0.735,0.026,1.00
113-3,0.97,0.624,0.81,0.97,0.621,0.023,0.85
114-1,1.00,0.638,1.00,1.00,0.642,0.035,1.00
115-1,1.00,0.614,0.40,1.00,0.617,0.030,0.40
116-1,0.68,0.664,0.56,0.68,0.667,0.013,0.57
116-2,0.39,0.696,0.28,0.39,0.703,0.016,0.38
117-1,1.00,0.595,0.13,1.00,0.594,0.023,0.13
117-2,0.61,0.712,1.00,0.61,0.715,0.044,1.00
119-1,1.00,0.642,0.85,1.00,0.642,0.014,0.83
120-1,1.00,0.641,1.00,1.00,0.645,0.036,1.00
120-2,1.00,0.623,0.54,1.00,0.624,0.014,0.53
120-3,1.00,0.646,0.46,1.00,0.648,0.015,0.46
121-1,0.32,0.722,0.85,0.32,0.714,0.035,0.75
121-2,0.16,0.649,1.00,0.16,0.624,0.145,0.95
121-3,0.35,0.663,0.06,0.35,0.665,0.024,0.11
122-1,0.84,0.590,0.90,0.84,0.588,0.040,0.88
124-1,1.00,0.640,0.34,1.00,0.639,0.014,0.31
124-2,1.00,0.634,0.15,1.00,0.635,0.011,0.15
124-3,1.00,0.641,0.30,1.00,0.638,0.014,0.29
125-1,1.00,0.638,1.00,1.00,0.642,0.035,1.00
125-2,0.97,0.632,0.33,0.97,0.634,0.021,0.33
125-3,1.00,0.659,0.31,1.00,0.653,0.019,0.61
126-1,1.00,0.629,0.36,1.00,0.627,0.018,0.32
127-1,1.00,0.634,0.46,1.00,0.632,0.015,0.48
127-2,1.00,0.625,0.51,1.00,0.625,0.015,0.51
127-3,0.13,0.703,0.45,0.13,0.707,0.029,0.38
128-1,0.71,0.662,0.67,0.71,0.669,0.040,0.74
129-1,1.00,0.597,0.59,1.00,0.597,0.015,0.59
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,0.597,0.59,1.00,0.597,0.015,0.59
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.90,0.635,0.15,0.90,0.634,0.021,0.12
131-2,0.87,0.614,0.36,0.87,0.615,0.032,0.31
131-3,1.00,0.621,0.11,1.00,0.622,0.029,0.11
132-1,1.00,0.599,0.64,1.00,0.594,0.025,0.62
132-2,1.00,0.586,0.57,1.00,0.582,0.025,0.58
65-1,0.97,0.635,0.29,0.97,0.637,0.015,0.30
65-2,0.97,0.637,0.29,0.97,0.638,0.014,0.29
65-3,0.97,0.636,0.30,0.97,0.635,0.013,0.31
68-1,1.00,0.662,0.97,1.00,0.666,0.019,0.97
68-2,1.00,0.666,1.00,1.00,0.671,0.019,0.99
69-1,1.00,0.628,0.36,1.00,0.629,0.019,0.37
69-2,1.00,0.609,0.44,1.00,0.609,0.025,0.43
70-1,1.00,0.645,0.30,1.00,0.644,0.010,0.31
70-2,1.00,0.617,0.15,1.00,0.616,0.012,0.15
70-3,1.00,0.621,0.11,1.00,0.620,0.011,0.11
72-1,0.90,0.649,0.23,0.90,0.643,0.016,0.31
72-2,0.74,0.634,0.01,0.74,0.637,0.021,0.01
73-1,0.97,0.635,0.99,0.97,0.636,0.028,0.99
73-2,1.00,0.637,0.99,1.00,0.638,0.027,0.99
73-3,1.00,0.867,1.00,1.00,0.867,0.042,0.99
74-1,0.65,0.640,0.16,0.65,0.637,0.031,0.16
74-2,1.00,0.619,0.16,1.00,0.616,0.020,0.14
75-1,1.00,0.636,0.70,1.00,0.637,0.025,0.65
75-2,1.00,0.620,0.69,1.00,0.618,0.031,0.64
79-1,0.97,0.603,0.13,0.97,0.601,0.021,0.14
79-2,0.74,0.609,0.13,0.74,0.609,0.023,0.13
