ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,15.450,0.96,1.00,15.390,2.071,0.96
BLAST-S14,1.00,15.822,1.00,1.00,15.913,2.176,1.00
Naive-S11,1.00,14.187,0.23,1.00,14.190,1.978,0.24
Naive-S14,1.00,14.191,0.25,1.00,14.199,1.985,0.25
101-1,0.97,15.781,0.46,0.97,15.561,2.068,0.52
101-2,0.97,15.770,0.80,0.97,15.481,2.199,0.64
101-3,0.97,25.617,1.00,0.97,25.880,4.581,0.98
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.32,8.387,0.50,0.32,8.382,1.340,0.61
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,15.708,1.00,1.00,15.719,2.224,1.00
105-2,1.00,38.371,1.00,1.00,38.340,8.691,1.00
105-3,1.00,66.541,1.00,1.00,66.424,12.737,1.00
106-1,0.39,12.476,0.67,0.39,12.575,1.171,0.63
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.23,12.947,0.72,0.23,12.979,0.549,0.83
107-1,1.00,121.157,1.00,1.00,121.204,19.979,1.00
107-2,1.00,14.859,0.14,1.00,14.748,2.203,0.20
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,1.00,21.710,1.00,1.00,21.820,2.798,1.00
110-2,1.00,16.534,0.99,1.00,16.661,1.724,0.97
110-3,1.00,20.444,1.00,1.00,20.784,2.583,1.00
111-1,1.00,20.604,1.00,1.00,20.706,2.649,1.00
111-2,0.94,22.088,0.94,0.94,22.404,2.881,0.96
111-3,0.23,9.995,1.00,0.23,10.090,1.783,0.97
112-1,1.00,17.014,0.99,1.00,17.079,1.688,0.91
112-2,1.00,17.014,0.99,1.00,17.097,1.692,0.92
112-3,1.00,14.520,0.74,1.00,14.409,1.902,0.75
113-1,1.00,14.532,0.75,1.00,14.441,1.921,0.75
113-2,0.42,30.022,1.00,0.42,30.264,5.440,1.00
113-3,0.97,17.696,1.00,0.97,17.823,2.432,1.00
114-1,1.00,32.888,1.00,1.00,32.946,4.515,1.00
115-1,1.00,15.562,0.98,1.00,15.510,2.157,0.95
116-1,0.68,15.476,0.98,0.68,15.419,3.026,0.96
116-2,0.39,13.498,1.00,0.39,13.377,2.393,0.90
117-1,1.00,13.844,0.18,1.00,13.748,1.900,0.20
117-2,0.61,41.964,1.00,0.61,41.887,8.665,1.00
119-1,1.00,14.559,0.91,1.00,14.564,2.009,0.91
120-1,1.00,34.360,1.00,1.00,34.411,4.695,1.00
120-2,1.00,14.589,0.66,1.00,14.549,2.027,0.66
120-3,1.00,14.959,0.57,1.00,14.826,2.019,0.58
121-1,0.32,8.922,1.00,0.32,8.928,1.319,1.00
121-2,0.16,8.219,1.00,0.16,8.333,2.492,1.00
121-3,0.35,10.325,0.76,0.35,10.188,1.875,0.83
122-1,0.84,15.744,1.00,0.84,15.730,2.471,1.00
124-1,1.00,14.879,0.42,1.00,14.710,1.967,0.49
124-2,1.00,15.394,0.34,1.00,15.270,2.051,0.33
124-3,1.00,14.720,0.42,1.00,14.603,1.981,0.47
125-1,1.00,32.888,1.00,1.00,32.946,4.515,1.00
125-2,0.97,15.582,1.00,0.97,15.664,2.195,0.97
125-3,1.00,15.733,1.00,1.00,15.757,2.160,1.00
126-1,1.00,14.446,0.39,1.00,14.437,2.047,0.40
127-1,1.00,14.882,0.71,1.00,14.651,2.017,0.74
127-2,1.00,14.398,0.68,1.00,14.337,1.925,0.71
127-3,0.13,11.353,1.00,0.13,11.356,1.981,1.00
128-1,0.71,76.670,1.00,0.71,76.633,17.868,1.00
129-1,1.00,13.364,0.65,1.00,13.272,1.807,0.67
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,1.00,13.364,0.65,1.00,13.272,1.807,0.67
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.90,14.371,0.81,0.90,14.337,2.134,0.78
131-2,0.87,13.298,0.90,0.87,13.307,2.325,0.84
131-3,1.00,14.242,0.34,1.00,14.189,2.040,0.42
132-1,1.00,16.882,0.99,1.00,16.835,1.672,0.89
132-2,1.00,14.173,0.72,1.00,13.833,1.831,0.74
65-1,0.97,14.255,0.46,0.97,14.193,2.078,0.45
65-2,0.97,14.067,0.43,0.97,14.053,2.062,0.43
65-3,0.97,14.025,0.45,0.97,14.023,2.066,0.46
68-1,1.00,51.305,1.00,1.00,51.279,10.972,1.00
68-2,1.00,57.432,1.00,1.00,57.338,11.227,1.00
69-1,1.00,15.153,1.00,1.00,15.156,1.861,0.97
69-2,1.00,14.465,1.00,1.00,14.501,1.933,0.99
70-1,1.00,15.277,0.77,1.00,15.263,2.124,0.75
70-2,1.00,14.196,0.19,1.00,14.120,1.976,0.20
70-3,1.00,13.914,0.24,1.00,13.833,1.879,0.24
72-1,0.90,15.372,0.77,0.90,15.408,2.325,0.78
72-2,0.74,14.064,0.26,0.74,14.050,2.609,0.25
73-1,0.97,44.768,1.00,0.97,45.017,13.125,1.00
73-2,1.00,43.399,1.00,1.00,43.651,12.767,1.00
73-3,1.00,402.677,1.00,1.00,401.880,49.444,1.00
74-1,0.65,15.155,0.81,0.65,14.877,2.787,0.71
