ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.597,0.40,1.00,0.597,0.027,0.41
BLAST-S14,0.98,0.600,0.40,0.98,0.601,0.025,0.40
Naive-S11,1.00,0.635,0.14,1.00,0.635,0.006,0.14
Naive-S14,1.00,0.641,0.17,1.00,0.637,0.006,0.16
101-1,0.90,0.602,0.36,0.90,0.606,0.022,0.36
101-2,0.88,0.575,0.13,0.88,0.572,0.026,0.13
101-3,0.90,0.573,0.40,0.90,0.572,0.027,0.48
102-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
102-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
103-3,0.60,0.576,0.17,0.60,0.577,0.053,0.17
104-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
104-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
105-1,1.00,0.550,0.93,1.00,0.549,0.030,0.93
105-2,0.96,0.545,0.98,0.96,0.544,0.027,0.98
105-3,0.96,0.554,0.98,0.96,0.551,0.027,0.99
106-1,0.33,0.766,0.10,0.33,0.766,0.050,0.14
106-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
106-3,0.21,0.850,0.10,0.21,0.850,0.044,0.15
107-1,1.00,0.598,0.78,1.00,0.593,0.022,0.84
107-2,1.00,0.524,0.03,1.00,0.521,0.030,0.03
107-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
108-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
109-1,0.00,0.999,0.00,0.00,0.999,0.000,0.00
110-1,0.96,0.596,0.87,0.96,0.595,0.018,0.89
110-2,0.92,0.552,0.49,0.92,0.551,0.027,0.49
110-3,1.00,0.608,0.92,1.00,0.608,0.020,0.93
111-1,0.96,0.601,0.87,0.96,0.602,0.018,0.87
111-2,1.00,0.614,0.92,1.00,0.614,0.020,0.91
111-3,0.04,0.971,0.04,0.04,0.971,0.020,0.06
112-1,1.00,0.524,0.54,1.00,0.523,0.028,0.52
112-2,1.00,0.525,0.51,1.00,0.523,0.028,0.53
112-3,1.00,0.525,0.49,1.00,0.525,0.028,0.50
113-1,1.00,0.528,0.48,1.00,0.527,0.028,0.49
113-2,0.94,0.607,0.92,0.94,0.607,0.021,0.92
113-3,0.94,0.602,0.87,0.94,0.603,0.020,0.85
114-1,1.00,0.504,1.00,1.00,0.501,0.030,0.93
115-1,1.00,0.471,0.31,1.00,0.466,0.033,0.34
116-1,0.75,0.539,0.01,0.75,0.540,0.047,0.06
116-2,0.35,0.779,0.01,0.35,0.779,0.048,0.05
117-1,1.00,0.531,0.11,1.00,0.529,0.020,0.11
117-2,0.40,0.689,1.00,0.40,0.690,0.051,1.00
119-1,0.90,0.566,0.57,0.90,0.563,0.036,0.61
120-1,1.00,0.496,0.89,1.00,0.496,0.030,0.92
120-2,1.00,0.593,0.48,1.00,0.589,0.015,0.49
120-3,1.00,0.633,0.45,1.00,0.635,0.016,0.45
121-1,0.56,0.613,0.19,0.56,0.616,0.045,0.29
121-2,0.46,0.704,0.32,0.46,0.705,0.047,0.34
121-3,0.48,0.622,0.01,0.48,0.623,0.051,0.01
122-1,0.90,0.496,0.79,0.90,0.496,0.031,0.77
124-1,1.00,0.579,0.28,1.00,0.579,0.015,0.29
124-2,1.00,0.594,0.22,1.00,0.593,0.015,0.23
124-3,1.00,0.575,0.26,1.00,0.575,0.016,0.27
125-1,1.00,0.499,0.88,1.00,0.498,0.031,0.92
125-2,0.92,0.552,0.19,0.92,0.546,0.023,0.19
125-3,1.00,0.531,0.54,1.00,0.530,0.035,0.51
126-1,0.17,0.886,0.26,0.17,0.886,0.039,0.26
127-1,0.88,0.531,0.36,0.88,0.527,0.030,0.39
127-2,0.88,0.531,0.42,0.88,0.527,0.029,0.44
127-3,0.00,0.999,0.00,0.00,0.999,0.000,0.00
128-1,0.46,0.681,0.05,0.46,0.681,0.030,0.08
129-1,0.96,0.585,0.56,0.96,0.583,0.020,0.55
129-2,0.00,0.999,0.00,0.00,0.999,0.000,0.00
