ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,12.429,0.54,1.00,12.135,1.172,0.62
BLAST-S14,0.98,13.804,0.56,0.98,13.249,1.213,0.64
Naive-S11,1.00,12.950,0.31,1.00,12.952,0.917,0.31
Naive-S14,1.00,12.950,0.33,1.00,12.952,0.917,0.33
101-1,0.90,12.135,0.39,0.90,12.151,1.061,0.39
101-2,0.88,11.744,0.32,0.88,11.644,1.070,0.38
101-3,0.90,18.287,1.00,0.90,18.331,2.678,0.96
102-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
102-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
102-3,0.00,14.113,1.00,0.00,14.113,0.983,1.00
103-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
103-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
103-3,0.60,10.041,0.17,0.60,10.066,1.165,0.17
104-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
104-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
104-3,0.00,14.113,1.00,0.00,14.113,0.983,1.00
105-1,1.00,10.910,0.98,1.00,10.960,0.976,0.98
105-2,0.96,16.089,1.00,0.96,16.247,2.776,1.00
105-3,0.96,20.499,1.00,0.96,20.566,3.802,1.00
106-1,0.33,12.274,0.46,0.33,12.270,1.116,0.41
106-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
106-3,0.21,12.605,0.46,0.21,12.626,1.071,0.41
107-1,1.00,33.256,1.00,1.00,33.190,7.625,1.00
107-2,1.00,10.715,0.08,1.00,10.661,0.991,0.08
107-3,0.00,14.113,1.00,0.00,14.113,0.983,1.00
108-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
109-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
110-1,0.96,14.490,1.00,0.96,14.646,2.019,1.00
110-2,0.92,11.844,0.78,0.92,11.771,0.980,0.81
110-3,1.00,17.652,1.00,1.00,17.678,1.278,0.99
111-1,0.96,14.053,1.00,0.96,14.206,1.867,1.00
111-2,1.00,17.505,1.00,1.00,17.539,1.278,0.99
111-3,0.04,13.940,0.10,0.04,13.948,0.994,0.23
112-1,1.00,11.983,0.77,1.00,11.860,1.041,0.75
112-2,1.00,11.909,0.76,1.00,11.810,1.029,0.75
112-3,1.00,11.968,0.60,1.00,11.753,1.051,0.66
113-1,1.00,11.911,0.62,1.00,11.726,1.035,0.67
113-2,0.94,16.673,1.00,0.94,16.696,1.210,0.98
113-3,0.94,13.364,1.00,0.94,13.511,1.651,1.00
114-1,1.00,12.110,1.00,1.00,12.169,1.106,1.00
115-1,1.00,10.106,0.64,1.00,9.984,1.030,0.60
116-1,0.75,9.739,0.10,0.75,9.740,1.035,0.17
116-2,0.35,12.687,0.10,0.35,12.686,1.117,0.16
117-1,1.00,10.690,0.14,1.00,10.643,0.943,0.14
117-2,0.40,11.972,1.00,0.40,12.051,1.202,1.00
119-1,0.90,10.999,0.88,0.90,10.919,1.089,0.89
120-1,1.00,12.174,1.00,1.00,12.234,1.123,1.00
120-2,1.00,12.323,0.61,1.00,12.255,0.894,0.61
120-3,1.00,12.561,0.52,1.00,12.443,0.786,0.51
121-1,0.56,11.365,0.60,0.56,11.439,1.002,0.61
121-2,0.46,11.633,0.85,0.46,11.666,1.071,0.82
121-3,0.48,10.412,0.07,0.48,10.419,1.100,0.10
122-1,0.90,11.251,0.81,0.90,11.179,1.000,0.82
124-1,1.00,11.980,0.42,1.00,11.958,0.989,0.46
124-2,1.00,13.129,0.43,1.00,12.949,0.850,0.36
124-3,1.00,11.828,0.42,1.00,11.836,0.982,0.43
125-1,1.00,12.110,1.00,1.00,12.169,1.107,1.00
125-2,0.92,12.557,0.74,0.92,12.376,1.093,0.69
125-3,1.00,11.131,0.76,1.00,10.988,1.053,0.89
126-1,0.17,13.076,0.26,0.17,13.077,1.101,0.27
127-1,0.88,10.114,0.59,0.88,9.996,0.990,0.59
127-2,0.88,10.056,0.60,0.88,10.055,0.980,0.59
127-3,0.00,14.113,1.00,0.00,14.113,0.983,1.00
128-1,0.46,16.954,1.00,0.46,17.469,3.980,0.96
129-1,0.96,11.340,0.64,0.96,11.308,0.917,0.65
129-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
129-3,0.96,11.340,0.64,0.96,11.308,0.917,0.65
130-1,0.00,14.113,1.00,0.00,14.113,0.983,1.00
130-2,0.00,14.113,1.00,0.00,14.113,0.983,1.00
130-3,0.00,14.113,1.00,0.00,14.113,0.983,1.00
131-1,0.69,10.257,0.30,0.69,10.245,1.052,0.39
131-2,0.83,10.904,0.75,0.83,10.907,1.064,0.59
131-3,0.96,10.979,0.23,0.96,10.975,1.148,0.25
132-1,1.00,10.856,0.67,1.00,10.795,1.004,0.68
132-2,1.00,10.312,0.67,1.00,10.253,1.008,0.66
65-1,1.00,12.326,0.84,1.00,12.276,0.789,0.82
65-2,1.00,12.335,0.81,1.00,12.281,0.803,0.82
65-3,1.00,12.320,0.85,1.00,12.301,0.816,0.86
68-1,1.00,15.647,1.00,1.00,15.866,2.198,1.00
68-2,1.00,15.738,1.00,1.00,16.043,2.554,1.00
69-1,1.00,10.369,0.97,1.00,10.367,1.021,0.97
69-2,1.00,10.980,0.98,1.00,10.959,1.014,0.98
70-1,1.00,11.093,0.50,1.00,11.078,0.950,0.49
70-2,1.00,13.954,0.36,1.00,13.886,0.920,0.31
70-3,1.00,12.772,0.16,1.00,12.760,0.933,0.17
72-1,0.73,11.125,0.36,0.73,11.058,1.101,0.33
72-2,0.48,12.781,0.01,0.48,12.793,1.041,0.01
73-1,0.98,14.380,1.00,0.98,14.538,2.117,1.00
73-2,1.00,14.380,1.00,1.00,14.538,2.117,1.00
73-3,0.98,135.051,1.00,0.98,134.764,22.522,1.00
74-1,0.63,12.105,0.31,0.63,12.089,1.089,0.38
74-2,0.98,10.847,0.84,0.98,10.777,1.149,0.83
75-1,1.00,10.369,0.97,1.00,10.369,1.021,0.97
75-2,1.00,10.980,0.98,1.00,10.960,1.014,0.99
79-1,0.90,13.659,0.96,0.90,12.883,1.620,0.72
79-2,0.56,11.337,0.27,0.56,11.244,1.065,0.24
79-3,0.98,11.349,0.90,0.98,11.020,1.329,0.75
80-1,0.90,11.169,0.42,0.90,11.194,1.017,0.46
80-2,0.98,10.914,0.84,0.98,10.726,1.116,0.85
81-1,0.48,11.154,0.05,0.48,10.966,1.135,0.29
81-2,0.48,11.154,0.05,0.48,10.966,1.135,0.29
82-1,0.92,11.076,0.93,0.92,11.006,1.001,0.92
83-1,1.00,14.948,0.71,1.00,14.905,1.383,0.68
83-2,1.00,11.946,0.54,1.00,11.918,1.000,0.51
84-1,0.81,11.578,0.25,0.81,11.469,0.918,0.23
85-1,0.94,10.034,0.78,0.94,9.993,1.042,0.77
85-2,0.94,10.034,0.78,0.94,9.993,1.042,0.77
86-1,0.60,11.913,0.31,0.60,11.898,0.987,0.37
86-2,0.60,11.913,0.31,0.60,11.898,0.987,0.37
86-3,0.21,12.663,0.42,0.21,12.666,1.066,0.57
87-1,0.92,12.416,0.51,0.92,12.046,0.915,0.53
87-2,0.92,12.067,0.24,0.92,12.085,0.997,0.26
87-3,0.58,12.485,0.72,0.58,12.430,1.055,0.73
