ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.330,0.53,1.00,0.337,0.055,0.49
BLAST-S14,0.98,0.316,0.40,0.98,0.324,0.045,0.43
Naive-S11,1.00,0.219,0.12,1.00,0.219,0.014,0.12
Naive-S14,1.00,0.235,0.13,1.00,0.235,0.016,0.13
101-1,0.90,0.327,0.36,0.90,0.327,0.041,0.36
101-2,0.88,0.384,0.23,0.88,0.390,0.045,0.21
101-3,0.90,0.399,0.60,0.90,0.404,0.039,0.68
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.60,0.468,0.17,0.60,0.466,0.057,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.411,0.96,1.00,0.412,0.047,0.94
105-2,0.96,0.397,0.99,0.96,0.402,0.045,0.98
105-3,0.96,0.399,1.00,0.96,0.401,0.045,0.99
106-1,0.33,0.297,0.21,0.33,0.297,0.063,0.30
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.21,0.196,0.26,0.21,0.194,0.061,0.35
107-1,1.00,0.338,0.77,1.00,0.345,0.040,0.84
107-2,1.00,0.418,0.06,1.00,0.424,0.047,0.05
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.96,0.327,0.94,0.96,0.337,0.036,0.83
110-2,0.92,0.384,0.30,0.92,0.390,0.039,0.36
110-3,1.00,0.284,0.40,1.00,0.283,0.038,0.42
111-1,0.96,0.304,0.94,0.96,0.322,0.036,0.75
111-2,1.00,0.286,0.40,1.00,0.284,0.038,0.40
111-3,0.04,0.029,0.10,0.04,0.029,0.022,0.10
112-1,1.00,0.389,0.48,1.00,0.398,0.041,0.48
112-2,1.00,0.393,0.45,1.00,0.401,0.040,0.47
112-3,1.00,0.379,0.48,1.00,0.388,0.041,0.45
113-1,1.00,0.384,0.45,1.00,0.391,0.040,0.44
113-2,0.94,0.229,0.40,0.94,0.235,0.035,0.57
113-3,0.94,0.309,0.51,0.94,0.330,0.038,0.74
114-1,1.00,0.455,0.87,1.00,0.467,0.042,0.86
115-1,1.00,0.482,0.44,1.00,0.493,0.047,0.37
116-1,0.75,0.472,0.01,0.75,0.471,0.053,0.11
116-2,0.35,0.245,0.01,0.35,0.243,0.059,0.09
117-1,1.00,0.438,0.10,1.00,0.440,0.034,0.11
117-2,0.40,0.336,1.00,0.40,0.333,0.057,1.00
119-1,0.90,0.463,0.73,0.90,0.461,0.049,0.73
120-1,1.00,0.471,0.89,1.00,0.475,0.044,0.89
120-2,1.00,0.304,0.54,1.00,0.310,0.028,0.50
120-3,1.00,0.248,0.45,1.00,0.248,0.023,0.46
121-1,0.56,0.382,0.60,0.56,0.379,0.051,0.60
121-2,0.46,0.297,0.85,0.46,0.297,0.056,0.69
121-3,0.48,0.402,0.07,0.48,0.404,0.059,0.06
122-1,0.90,0.473,0.79,0.90,0.473,0.046,0.78
124-1,1.00,0.319,0.28,1.00,0.321,0.029,0.28
124-2,1.00,0.283,0.15,1.00,0.288,0.027,0.17
124-3,1.00,0.315,0.26,1.00,0.317,0.030,0.27
125-1,1.00,0.463,0.88,1.00,0.471,0.043,0.85
125-2,0.92,0.397,0.19,0.92,0.410,0.039,0.20
125-3,1.00,0.430,0.54,1.00,0.435,0.045,0.46
126-1,0.17,0.180,0.31,0.17,0.178,0.060,0.30
127-1,0.88,0.407,0.52,0.88,0.417,0.047,0.48
127-2,0.88,0.409,0.52,0.88,0.416,0.045,0.49
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.46,0.237,0.15,0.46,0.246,0.041,0.23
129-1,0.96,0.318,0.60,0.96,0.333,0.038,0.59
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.96,0.318,0.60,0.96,0.333,0.038,0.59
