ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.365,0.40,1.00,0.378,0.050,0.45
BLAST-S14,0.98,0.376,0.40,0.98,0.380,0.047,0.41
Naive-S11,1.00,0.288,0.31,1.00,0.292,0.014,0.24
Naive-S14,1.00,0.290,0.14,1.00,0.297,0.014,0.22
101-1,0.90,0.396,0.36,0.90,0.395,0.042,0.36
101-2,0.88,0.485,0.23,0.88,0.488,0.047,0.20
101-3,0.90,0.457,0.56,0.90,0.460,0.038,0.59
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.60,0.635,0.17,0.60,0.636,0.062,0.18
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.453,0.96,1.00,0.460,0.044,0.91
105-2,0.96,0.446,0.99,0.96,0.455,0.043,0.97
105-3,0.96,0.451,0.98,0.96,0.458,0.043,0.99
106-1,0.33,0.665,0.46,0.33,0.670,0.081,0.38
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,0.672,0.46,0.21,0.664,0.112,0.49
107-1,1.00,0.391,0.77,1.00,0.400,0.040,0.82
107-2,1.00,0.461,0.06,1.00,0.466,0.047,0.05
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.96,0.411,0.87,0.96,0.420,0.038,0.84
110-2,0.92,0.454,0.34,0.92,0.462,0.037,0.37
110-3,1.00,0.360,0.40,1.00,0.360,0.038,0.42
111-1,0.96,0.388,0.87,0.96,0.403,0.038,0.76
111-2,1.00,0.362,0.40,1.00,0.360,0.038,0.41
111-3,0.04,0.364,0.10,0.04,0.358,0.104,0.12
112-1,1.00,0.458,0.45,1.00,0.462,0.038,0.46
112-2,1.00,0.461,0.45,1.00,0.464,0.037,0.44
112-3,1.00,0.451,0.45,1.00,0.455,0.038,0.45
113-1,1.00,0.453,0.45,1.00,0.457,0.037,0.43
113-2,0.94,0.316,0.50,0.94,0.323,0.038,0.57
113-3,0.94,0.387,0.87,0.94,0.410,0.041,0.77
114-1,1.00,0.510,0.87,1.00,0.522,0.042,0.84
115-1,1.00,0.520,0.26,1.00,0.531,0.045,0.31
116-1,0.75,0.588,0.10,0.75,0.590,0.055,0.16
116-2,0.35,0.497,0.10,0.35,0.503,0.095,0.16
117-1,1.00,0.488,0.11,1.00,0.492,0.034,0.11
117-2,0.40,0.599,1.00,0.40,0.598,0.074,1.00
119-1,0.90,0.524,0.73,0.90,0.523,0.049,0.73
120-1,1.00,0.525,0.88,1.00,0.530,0.044,0.87
120-2,1.00,0.373,0.52,1.00,0.375,0.029,0.52
120-3,1.00,0.335,0.45,1.00,0.336,0.025,0.46
121-1,0.56,0.552,0.60,0.56,0.550,0.057,0.60
121-2,0.46,0.525,0.85,0.46,0.524,0.069,0.77
121-3,0.48,0.615,0.07,0.48,0.624,0.067,0.06
122-1,0.90,0.551,0.79,0.90,0.553,0.047,0.77
124-1,1.00,0.384,0.27,1.00,0.385,0.030,0.28
124-2,1.00,0.333,0.24,1.00,0.338,0.026,0.20
124-3,1.00,0.379,0.26,1.00,0.383,0.030,0.27
125-1,1.00,0.520,0.88,1.00,0.527,0.043,0.84
125-2,0.92,0.482,0.19,0.92,0.491,0.041,0.19
125-3,1.00,0.475,0.30,1.00,0.484,0.044,0.41
126-1,0.17,0.719,0.31,0.17,0.709,0.113,0.31
127-1,0.88,0.480,0.49,0.88,0.492,0.045,0.46
127-2,0.88,0.487,0.48,0.88,0.497,0.043,0.47
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.46,0.390,0.15,0.46,0.414,0.058,0.31
129-1,0.96,0.381,0.55,0.96,0.396,0.038,0.58
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,0.381,0.55,0.96,0.396,0.038,0.58
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.69,0.584,0.25,0.69,0.587,0.057,0.34
131-2,0.83,0.550,0.22,0.83,0.553,0.052,0.28
131-3,0.96,0.454,0.04,0.96,0.467,0.045,0.08
132-1,1.00,0.489,0.56,1.00,0.490,0.039,0.56
132-2,1.00,0.485,0.56,1.00,0.487,0.039,0.56
65-1,1.00,0.370,0.59,1.00,0.379,0.027,0.61
65-2,1.00,0.379,0.51,1.00,0.382,0.027,0.55
65-3,1.00,0.379,0.54,1.00,0.383,0.027,0.59
68-1,1.00,0.334,0.90,1.00,0.340,0.035,0.90
68-2,1.00,0.318,0.93,1.00,0.330,0.038,0.93
69-1,1.00,0.491,0.49,1.00,0.501,0.043,0.44
69-2,1.00,0.476,0.38,1.00,0.478,0.042,0.39
70-1,1.00,0.473,0.26,1.00,0.473,0.037,0.27
70-2,1.00,0.287,0.10,1.00,0.287,0.019,0.10
70-3,1.00,0.316,0.09,1.00,0.317,0.021,0.09
72-1,0.73,0.525,0.04,0.73,0.529,0.055,0.04
72-2,0.48,0.397,0.01,0.48,0.392,0.067,0.01
73-1,0.98,0.435,0.73,0.98,0.451,0.040,0.81
73-2,1.00,0.431,0.73,1.00,0.446,0.039,0.82
73-3,0.98,0.368,1.00,0.98,0.366,0.040,1.00
74-1,0.63,0.369,0.21,0.63,0.386,0.054,0.14
74-2,0.98,0.477,0.18,0.98,0.478,0.046,0.18
75-1,1.00,0.518,0.49,1.00,0.523,0.043,0.47
75-2,1.00,0.507,0.38,1.00,0.512,0.041,0.49
79-1,0.90,0.474,0.22,0.90,0.483,0.044,0.22
79-2,0.56,0.509,0.22,0.56,0.515,0.058,0.23
