ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,12.429,0.54,1.00,12.135,1.172,0.62
BLAST-S14,0.98,13.824,0.56,0.98,13.244,1.233,0.65
Naive-S11,1.00,12.950,0.31,1.00,12.952,0.917,0.31
Naive-S14,1.00,12.950,0.33,1.00,12.952,0.917,0.33
101-1,0.90,12.223,0.39,0.90,12.238,1.162,0.39
101-2,0.88,11.840,0.32,0.88,11.710,1.196,0.39
101-3,0.90,19.532,1.00,0.90,19.575,3.000,0.97
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.60,7.375,0.17,0.60,7.284,1.311,0.21
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,10.910,0.98,1.00,10.960,0.976,0.98
105-2,0.96,16.456,1.00,0.96,16.612,2.914,1.00
105-3,0.96,21.132,1.00,0.96,21.191,3.962,1.00
106-1,0.33,9.123,0.46,0.33,8.286,2.036,0.59
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.21,11.384,0.46,0.21,10.372,2.990,0.61
107-1,1.00,33.256,1.00,1.00,33.190,7.625,1.00
107-2,1.00,10.715,0.08,1.00,10.661,0.991,0.08
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.96,14.668,1.00,0.96,14.829,2.133,1.00
110-2,0.92,11.961,0.78,0.92,11.872,1.038,0.82
110-3,1.00,17.652,1.00,1.00,17.678,1.278,0.99
111-1,0.96,14.181,1.00,0.96,14.340,1.972,1.00
111-2,1.00,17.505,1.00,1.00,17.539,1.278,0.99
111-3,0.04,12.923,1.00,0.04,12.929,1.085,1.00
112-1,1.00,11.983,0.77,1.00,11.860,1.041,0.75
112-2,1.00,11.909,0.76,1.00,11.810,1.029,0.75
112-3,1.00,11.968,0.60,1.00,11.753,1.051,0.66
113-1,1.00,11.911,0.62,1.00,11.726,1.035,0.67
113-2,0.94,16.909,1.00,0.94,16.925,1.251,0.98
113-3,0.94,13.611,1.00,0.94,13.772,1.772,1.00
114-1,1.00,12.110,1.00,1.00,12.169,1.106,1.00
115-1,1.00,10.106,0.64,1.00,9.984,1.030,0.60
116-1,0.75,8.528,0.10,0.75,8.498,1.073,0.23
116-2,0.35,8.801,0.34,0.35,8.575,1.424,0.33
117-1,1.00,10.690,0.14,1.00,10.643,0.943,0.14
117-2,0.40,13.524,1.00,0.40,13.537,2.916,1.00
119-1,0.90,10.581,0.88,0.90,10.412,1.108,0.89
120-1,1.00,12.174,1.00,1.00,12.234,1.123,1.00
120-2,1.00,12.323,0.61,1.00,12.255,0.894,0.61
120-3,1.00,12.561,0.52,1.00,12.443,0.786,0.51
121-1,0.56,12.136,0.60,0.56,11.770,1.327,0.72
121-2,0.46,11.037,0.85,0.46,10.709,1.746,0.90
121-3,0.48,7.846,0.07,0.48,7.363,1.197,0.32
122-1,0.90,11.471,0.81,0.90,11.434,1.065,0.82
124-1,1.00,11.980,0.42,1.00,11.958,0.989,0.46
124-2,1.00,13.129,0.43,1.00,12.949,0.850,0.36
124-3,1.00,11.828,0.42,1.00,11.836,0.982,0.43
125-1,1.00,12.110,1.00,1.00,12.169,1.107,1.00
125-2,0.92,12.716,0.74,0.92,12.534,1.164,0.70
125-3,1.00,11.131,0.76,1.00,10.988,1.053,0.89
126-1,0.17,5.956,0.31,0.17,5.981,2.043,0.31
127-1,0.88,9.703,0.59,0.88,9.527,1.008,0.60
127-2,0.88,9.610,0.60,0.88,9.610,1.002,0.60
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.46,27.305,1.00,0.46,27.794,10.705,0.99
129-1,0.96,11.359,0.64,0.96,11.316,0.950,0.65
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.96,11.359,0.64,0.96,11.316,0.950,0.65
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.69,9.703,0.30,0.69,9.755,1.406,0.50
131-2,0.83,11.126,0.75,0.83,11.165,1.238,0.71
131-3,0.96,10.929,0.23,0.96,10.923,1.193,0.26
132-1,1.00,10.856,0.67,1.00,10.795,1.004,0.68
132-2,1.00,10.312,0.67,1.00,10.253,1.008,0.66
65-1,1.00,12.326,0.84,1.00,12.276,0.789,0.82
65-2,1.00,12.335,0.81,1.00,12.281,0.803,0.82
65-3,1.00,12.320,0.85,1.00,12.301,0.816,0.86
68-1,1.00,15.647,1.00,1.00,15.866,2.198,1.00
68-2,1.00,15.738,1.00,1.00,16.043,2.554,1.00
69-1,1.00,10.369,0.97,1.00,10.367,1.021,0.97
69-2,1.00,10.980,0.98,1.00,10.959,1.014,0.98
70-1,1.00,11.093,0.50,1.00,11.078,0.950,0.49
70-2,1.00,13.954,0.36,1.00,13.886,0.920,0.31
70-3,1.00,12.772,0.16,1.00,12.760,0.933,0.17
72-1,0.73,10.724,0.36,0.73,10.617,1.321,0.36
72-2,0.48,11.521,0.01,0.48,11.538,1.583,0.01
73-1,0.98,14.462,1.00,0.98,14.620,2.180,1.00
73-2,1.00,14.380,1.00,1.00,14.538,2.117,1.00
73-3,0.98,137.688,1.00,0.98,137.396,22.834,1.00
74-1,0.63,10.731,0.42,0.63,10.710,1.292,0.41
74-2,0.98,10.859,0.84,0.98,10.785,1.172,0.83
75-1,1.00,10.369,0.97,1.00,10.369,1.021,0.97
75-2,1.00,10.980,0.98,1.00,10.960,1.014,0.99
79-1,0.90,13.721,0.96,0.90,12.933,1.769,0.74
79-2,0.56,9.462,0.27,0.56,9.394,1.395,0.29
79-3,0.98,11.319,0.90,0.98,10.993,1.355,0.75
80-1,0.90,11.024,0.42,0.90,11.051,1.077,0.46
80-2,0.98,10.928,0.84,0.98,10.741,1.138,0.85
81-1,0.48,9.357,0.51,0.48,8.890,1.364,0.54
81-2,0.48,9.357,0.51,0.48,8.890,1.364,0.54
82-1,0.92,11.198,0.93,0.92,11.112,1.074,0.92
83-1,1.00,14.948,0.71,1.00,14.905,1.383,0.68
83-2,1.00,11.946,0.54,1.00,11.918,1.000,0.51
84-1,0.81,11.048,0.27,0.81,10.949,0.937,0.25
85-1,0.94,10.120,0.78,0.94,10.077,1.097,0.78
85-2,0.94,10.120,0.78,0.94,10.077,1.097,0.78
86-1,0.60,11.540,0.31,0.60,11.384,1.312,0.47
86-2,0.60,11.540,0.31,0.60,11.384,1.312,0.47
86-3,0.21,8.769,0.42,0.21,8.767,3.030,0.58
87-1,0.92,12.591,0.54,0.92,12.230,0.965,0.53
87-2,0.92,12.257,0.24,0.92,12.255,1.070,0.26
87-3,0.58,12.225,0.78,0.58,11.613,1.324,0.75
88-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
