ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.276,0.37,1.00,0.278,0.055,0.38
BLAST-S14,1.00,0.223,0.39,1.00,0.225,0.049,0.40
Naive-S11,1.00,0.314,0.31,1.00,0.319,0.029,0.28
Naive-S14,1.00,0.314,0.33,1.00,0.320,0.028,0.29
101-1,0.64,0.247,0.36,0.64,0.236,0.058,0.36
101-2,0.56,0.254,0.05,0.56,0.246,0.054,0.09
101-3,0.64,0.216,0.50,0.64,0.222,0.046,0.56
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-3,0.40,0.182,0.17,0.40,0.175,0.054,0.18
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.275,0.77,1.00,0.278,0.056,0.72
105-2,0.88,0.300,0.98,0.88,0.300,0.058,0.97
105-3,0.96,0.296,0.97,0.96,0.307,0.056,0.96
106-1,0.16,0.081,0.11,0.16,0.079,0.049,0.25
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.16,0.081,0.11,0.16,0.079,0.049,0.25
107-1,1.00,0.282,0.71,1.00,0.299,0.056,0.71
107-2,1.00,0.230,0.02,1.00,0.235,0.051,0.04
107-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.88,0.313,0.80,0.88,0.337,0.047,0.59
110-2,0.84,0.400,0.26,0.84,0.400,0.045,0.31
110-3,1.00,0.267,0.46,1.00,0.277,0.040,0.52
111-1,0.88,0.313,0.80,0.88,0.337,0.047,0.59
111-2,1.00,0.267,0.46,1.00,0.277,0.040,0.52
111-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
112-1,1.00,0.384,0.44,1.00,0.389,0.049,0.47
112-2,1.00,0.375,0.46,1.00,0.384,0.050,0.46
112-3,1.00,0.384,0.44,1.00,0.390,0.050,0.47
113-1,1.00,0.376,0.46,1.00,0.385,0.050,0.46
113-2,0.92,0.267,0.46,0.92,0.275,0.041,0.54
113-3,0.76,0.314,0.80,0.76,0.315,0.051,0.78
114-1,1.00,0.309,0.62,1.00,0.321,0.047,0.66
115-1,1.00,0.266,0.09,1.00,0.278,0.050,0.20
116-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
116-2,0.20,0.096,0.01,0.20,0.092,0.050,0.05
117-1,1.00,0.455,0.11,1.00,0.463,0.049,0.12
117-2,0.12,0.061,1.00,0.12,0.059,0.049,0.87
119-1,0.92,0.276,0.54,0.92,0.301,0.047,0.55
120-1,1.00,0.327,0.75,1.00,0.332,0.049,0.74
120-2,1.00,0.304,0.52,1.00,0.305,0.032,0.53
120-3,1.00,0.324,0.51,1.00,0.331,0.036,0.50
121-1,0.20,0.084,0.60,0.20,0.081,0.048,0.60
121-2,0.08,0.030,1.00,0.08,0.029,0.019,0.87
121-3,0.40,0.185,0.17,0.40,0.177,0.058,0.25
122-1,0.40,0.154,0.72,0.40,0.152,0.057,0.74
124-1,1.00,0.351,0.40,1.00,0.354,0.041,0.37
124-2,1.00,0.303,0.21,1.00,0.317,0.034,0.27
124-3,1.00,0.383,0.26,1.00,0.387,0.047,0.29
125-1,1.00,0.304,0.61,1.00,0.319,0.046,0.66
125-2,0.72,0.287,0.13,0.72,0.294,0.064,0.14
125-3,0.84,0.346,0.14,0.84,0.352,0.061,0.13
126-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
127-1,0.72,0.340,0.26,0.72,0.349,0.054,0.25
127-2,0.72,0.323,0.36,0.72,0.335,0.053,0.33
127-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
128-1,0.80,0.265,0.06,0.80,0.274,0.056,0.17
129-1,0.88,0.298,0.46,0.88,0.307,0.055,0.49
129-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
129-3,0.88,0.298,0.46,0.88,0.307,0.055,0.49
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.40,0.165,0.12,0.40,0.159,0.055,0.29
131-2,0.44,0.178,0.12,0.44,0.172,0.053,0.39
131-3,1.00,0.250,0.04,1.00,0.257,0.048,0.03
132-1,1.00,0.384,0.49,1.00,0.389,0.054,0.53
132-2,1.00,0.384,0.49,1.00,0.389,0.054,0.53
65-1,1.00,0.313,0.93,1.00,0.319,0.037,0.85
65-2,1.00,0.321,0.88,1.00,0.328,0.034,0.84
65-3,1.00,0.318,0.91,1.00,0.327,0.033,0.85
68-1,1.00,0.295,0.87,1.00,0.298,0.038,0.87
68-2,1.00,0.285,0.88,1.00,0.293,0.041,0.89
69-1,1.00,0.260,0.17,1.00,0.271,0.052,0.32
69-2,1.00,0.276,0.29,1.00,0.288,0.052,0.31
70-1,1.00,0.327,0.28,1.00,0.335,0.042,0.30
70-2,1.00,0.234,0.11,1.00,0.235,0.021,0.11
70-3,1.00,0.236,0.09,1.00,0.238,0.022,0.09
72-1,1.00,0.323,0.01,1.00,0.320,0.053,0.02
72-2,1.00,0.318,0.01,1.00,0.314,0.053,0.01
73-1,1.00,0.297,0.76,1.00,0.300,0.045,0.82
73-2,1.00,0.297,0.76,1.00,0.301,0.045,0.82
73-3,1.00,0.263,1.00,1.00,0.260,0.048,0.99
74-1,0.44,0.201,0.01,0.44,0.205,0.059,0.02
74-2,0.88,0.273,0.03,0.88,0.279,0.053,0.09
75-1,1.00,0.266,0.64,1.00,0.280,0.051,0.43
75-2,1.00,0.282,0.40,1.00,0.297,0.051,0.43
79-1,0.80,0.325,0.28,0.80,0.331,0.046,0.23
79-2,0.28,0.193,0.01,0.28,0.179,0.058,0.06
79-3,0.88,0.314,0.51,0.88,0.320,0.051,0.43
