ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.218,0.40,1.00,0.216,0.046,0.40
BLAST-S14,1.00,0.161,0.40,1.00,0.163,0.036,0.41
Naive-S11,1.00,0.226,0.19,1.00,0.230,0.026,0.22
Naive-S14,1.00,0.233,0.20,1.00,0.236,0.024,0.23
101-1,0.64,0.187,0.36,0.64,0.176,0.052,0.36
101-2,0.56,0.184,0.10,0.56,0.182,0.051,0.18
101-3,0.64,0.140,0.67,0.64,0.144,0.036,0.59
102-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
102-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
103-3,0.40,0.129,0.17,0.40,0.124,0.046,0.17
104-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
104-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
105-1,1.00,0.225,0.80,1.00,0.230,0.053,0.74
105-2,0.88,0.245,0.98,0.88,0.243,0.055,0.97
105-3,0.96,0.254,0.97,0.96,0.259,0.056,0.96
106-1,0.16,0.055,0.11,0.16,0.054,0.037,0.25
106-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
106-3,0.16,0.055,0.11,0.16,0.054,0.037,0.25
107-1,1.00,0.214,0.71,1.00,0.239,0.051,0.73
107-2,1.00,0.188,0.02,1.00,0.193,0.049,0.04
107-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
108-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
109-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
110-1,0.88,0.278,0.36,0.88,0.292,0.048,0.54
110-2,0.84,0.343,0.26,0.84,0.337,0.042,0.30
110-3,1.00,0.190,0.32,1.00,0.213,0.036,0.47
111-1,0.88,0.278,0.36,0.88,0.292,0.048,0.54
111-2,1.00,0.190,0.32,1.00,0.213,0.036,0.47
111-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
112-1,1.00,0.317,0.46,1.00,0.323,0.048,0.50
112-2,1.00,0.309,0.49,1.00,0.321,0.047,0.50
112-3,1.00,0.319,0.46,1.00,0.326,0.049,0.50
113-1,1.00,0.314,0.49,1.00,0.324,0.049,0.50
113-2,0.92,0.182,0.32,0.92,0.204,0.038,0.56
113-3,0.76,0.250,0.80,0.76,0.262,0.048,0.73
114-1,1.00,0.251,0.67,1.00,0.272,0.048,0.68
115-1,1.00,0.208,0.10,1.00,0.221,0.046,0.20
116-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
116-2,0.20,0.066,0.01,0.20,0.064,0.037,0.06
117-1,1.00,0.413,0.11,1.00,0.416,0.050,0.11
117-2,0.12,0.050,1.00,0.12,0.049,0.038,0.87
119-1,0.92,0.228,0.54,0.92,0.251,0.044,0.58
120-1,1.00,0.277,0.75,1.00,0.284,0.047,0.75
120-2,1.00,0.217,0.52,1.00,0.219,0.030,0.53
120-3,1.00,0.243,0.46,1.00,0.244,0.036,0.48
121-1,0.20,0.064,0.60,0.20,0.062,0.038,0.61
121-2,0.08,0.022,1.00,0.08,0.021,0.015,0.87
121-3,0.40,0.145,0.17,0.40,0.140,0.053,0.26
122-1,0.40,0.118,0.72,0.40,0.116,0.050,0.74
124-1,1.00,0.255,0.40,1.00,0.268,0.043,0.32
124-2,1.00,0.217,0.15,1.00,0.227,0.030,0.23
124-3,1.00,0.312,0.22,1.00,0.325,0.045,0.26
125-1,1.00,0.253,0.64,1.00,0.270,0.047,0.68
125-2,0.72,0.219,0.13,0.72,0.231,0.061,0.15
125-3,0.84,0.306,0.14,0.84,0.307,0.066,0.14
126-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
127-1,0.72,0.298,0.28,0.72,0.302,0.050,0.27
127-2,0.72,0.277,0.33,0.72,0.285,0.046,0.34
127-3,0.00,0.001,0.00,0.00,0.001,0.000,0.00
128-1,0.80,0.206,0.06,0.80,0.218,0.056,0.26
129-1,0.88,0.223,0.46,0.88,0.239,0.051,0.50
129-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
129-3,0.88,0.223,0.46,0.88,0.239,0.051,0.50
130-1,0.00,0.001,0.00,0.00,0.001,0.000,0.00
130-2,0.00,0.001,0.00,0.00,0.001,0.000,0.00
