ID-model,GO:0008150,GO:0006996,GO:0016043,GO:0044763,GO:0071840,GO:0009987,GO:0008152,GO:0044699
BLAST-S11,NaN,0.58,0.63,0.52,0.62,0.39,0.48,0.41
BLAST-S14,NaN,0.48,0.47,0.47,0.46,0.43,0.43,0.32
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.53,0.34,0.57,0.34,0.65,0.52,0.52
101-2,NaN,0.47,0.38,0.56,0.38,0.62,0.49,0.56
101-3,NaN,0.53,0.32,0.54,0.32,0.70,0.58,0.52
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103-3,NaN,0.43,0.43,0.75,0.43,0.47,0.36,0.75
104-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105-1,NaN,0.41,0.27,0.55,0.29,0.51,0.49,0.52
105-2,NaN,0.46,0.47,0.74,0.53,0.48,0.37,0.72
105-3,NaN,0.59,0.48,0.64,0.46,0.42,0.47,0.62
106-1,NaN,0.50,0.50,NaN,0.50,NaN,0.67,NaN
106-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106-3,NaN,0.50,0.50,NaN,0.50,NaN,0.67,NaN
107-1,NaN,0.46,0.37,0.45,0.39,0.53,0.49,0.45
107-2,NaN,0.49,0.50,0.53,0.59,0.48,0.59,0.49
107-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110-1,NaN,0.38,0.34,0.49,0.34,0.48,0.78,0.51
110-2,NaN,0.38,0.38,0.40,0.38,0.59,0.79,0.30
110-3,NaN,0.89,0.75,0.59,0.69,0.58,0.50,0.61
111-1,NaN,0.38,0.34,0.49,0.34,0.48,0.78,0.51
111-2,NaN,0.89,0.75,0.59,0.69,0.58,0.50,0.61
111-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112-1,NaN,0.72,0.69,0.49,0.65,0.55,0.69,0.46
112-2,NaN,0.69,0.66,0.47,0.62,0.54,0.70,0.45
112-3,NaN,0.72,0.69,0.49,0.65,0.55,0.70,0.46
113-1,NaN,0.69,0.66,0.47,0.62,0.54,0.70,0.45
113-2,NaN,0.88,0.71,0.51,0.63,0.53,0.51,0.56
113-3,NaN,0.44,0.45,0.51,0.45,0.43,0.77,0.53
114-1,NaN,0.73,0.65,0.74,0.65,0.69,0.43,0.81
115-1,NaN,0.65,0.73,0.71,0.72,0.48,0.53,0.71
116-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116-2,NaN,NaN,NaN,NaN,NaN,NaN,0.67,NaN
117-1,NaN,0.74,0.62,0.69,0.55,0.32,0.60,0.74
117-2,NaN,0.50,0.50,0.75,0.50,0.50,0.75,0.75
119-1,NaN,0.67,0.65,0.59,0.64,0.38,0.46,0.61
120-1,NaN,0.74,0.68,0.75,0.63,0.69,0.57,0.79
120-2,NaN,0.58,0.62,0.68,0.62,0.40,0.58,0.73
120-3,NaN,0.50,0.50,0.57,0.50,0.18,0.55,0.59
121-1,NaN,0.33,0.33,0.33,0.33,0.00,0.67,0.33
121-2,NaN,NaN,NaN,0.50,NaN,0.50,NaN,0.50
121-3,NaN,0.44,0.44,0.80,0.44,0.64,0.40,0.80
122-1,NaN,0.50,0.50,0.58,0.50,0.69,0.83,0.69
124-1,NaN,0.57,0.53,0.54,0.49,0.35,0.48,0.54
124-2,NaN,0.53,0.46,0.46,0.46,0.35,0.48,0.46
