ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.276,0.37,1.00,0.278,0.055,0.38
BLAST-S14,1.00,0.223,0.39,1.00,0.225,0.049,0.40
Naive-S11,1.00,0.314,0.31,1.00,0.319,0.029,0.28
Naive-S14,1.00,0.314,0.33,1.00,0.320,0.028,0.29
101-1,0.64,0.320,0.36,0.64,0.304,0.072,0.36
101-2,0.56,0.356,0.05,0.56,0.354,0.064,0.14
101-3,0.64,0.287,0.67,0.64,0.286,0.054,0.66
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.40,0.319,0.17,0.40,0.311,0.080,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.275,0.77,1.00,0.278,0.056,0.72
105-2,0.88,0.319,0.98,0.88,0.318,0.062,0.97
105-3,0.96,0.301,0.97,0.96,0.313,0.058,0.96
106-1,0.16,0.346,0.54,0.16,0.331,0.187,0.43
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.16,0.346,0.54,0.16,0.331,0.187,0.43
107-1,1.00,0.282,0.71,1.00,0.299,0.056,0.71
107-2,1.00,0.230,0.02,1.00,0.235,0.051,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.88,0.334,0.80,0.88,0.356,0.049,0.61
110-2,0.84,0.433,0.26,0.84,0.436,0.047,0.32
110-3,1.00,0.267,0.46,1.00,0.277,0.040,0.52
111-1,0.88,0.334,0.80,0.88,0.356,0.049,0.61
111-2,1.00,0.267,0.46,1.00,0.277,0.040,0.52
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.384,0.44,1.00,0.389,0.049,0.47
112-2,1.00,0.375,0.46,1.00,0.384,0.050,0.46
112-3,1.00,0.384,0.44,1.00,0.390,0.050,0.47
113-1,1.00,0.376,0.46,1.00,0.385,0.050,0.46
113-2,0.92,0.273,0.46,0.92,0.282,0.042,0.56
113-3,0.76,0.357,0.80,0.76,0.360,0.056,0.80
114-1,1.00,0.309,0.62,1.00,0.321,0.047,0.66
115-1,1.00,0.266,0.09,1.00,0.278,0.050,0.20
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.20,0.282,0.07,0.20,0.275,0.154,0.15
117-1,1.00,0.455,0.11,1.00,0.463,0.049,0.12
117-2,0.12,0.366,1.00,0.12,0.347,0.235,0.91
119-1,0.92,0.286,0.57,0.92,0.313,0.049,0.56
120-1,1.00,0.327,0.75,1.00,0.332,0.049,0.74
120-2,1.00,0.304,0.52,1.00,0.305,0.032,0.53
120-3,1.00,0.324,0.51,1.00,0.331,0.036,0.50
121-1,0.20,0.308,0.60,0.20,0.289,0.145,0.62
121-2,0.08,0.288,1.00,0.08,0.265,0.034,1.00
121-3,0.40,0.335,0.17,0.40,0.323,0.088,0.26
122-1,0.40,0.310,0.79,0.40,0.312,0.097,0.76
124-1,1.00,0.351,0.40,1.00,0.354,0.041,0.37
124-2,1.00,0.303,0.21,1.00,0.317,0.034,0.27
124-3,1.00,0.383,0.26,1.00,0.387,0.047,0.29
125-1,1.00,0.304,0.61,1.00,0.319,0.046,0.66
125-2,0.72,0.332,0.13,0.72,0.344,0.073,0.14
125-3,0.84,0.370,0.14,0.84,0.376,0.067,0.13
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.72,0.400,0.26,0.72,0.410,0.059,0.27
127-2,0.72,0.380,0.36,0.72,0.392,0.060,0.36
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.80,0.286,0.06,0.80,0.302,0.062,0.21
129-1,0.88,0.313,0.46,0.88,0.327,0.058,0.50
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.88,0.313,0.46,0.88,0.327,0.058,0.50
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.40,0.298,0.12,0.40,0.286,0.086,0.38
131-2,0.44,0.295,0.12,0.44,0.290,0.081,0.60
131-3,1.00,0.250,0.04,1.00,0.257,0.048,0.03
132-1,1.00,0.384,0.49,1.00,0.389,0.054,0.53
132-2,1.00,0.384,0.49,1.00,0.389,0.054,0.53
65-1,1.00,0.313,0.93,1.00,0.319,0.037,0.85
65-2,1.00,0.321,0.88,1.00,0.328,0.034,0.84
65-3,1.00,0.318,0.91,1.00,0.327,0.033,0.85
68-1,1.00,0.295,0.87,1.00,0.298,0.038,0.87
68-2,1.00,0.285,0.88,1.00,0.293,0.041,0.89
69-1,1.00,0.260,0.17,1.00,0.271,0.052,0.32
69-2,1.00,0.276,0.29,1.00,0.288,0.052,0.31
70-1,1.00,0.327,0.28,1.00,0.335,0.042,0.30
70-2,1.00,0.234,0.11,1.00,0.235,0.021,0.11
70-3,1.00,0.236,0.09,1.00,0.238,0.022,0.09
72-1,1.00,0.323,0.01,1.00,0.320,0.053,0.02
72-2,1.00,0.318,0.01,1.00,0.314,0.053,0.01
73-1,1.00,0.297,0.76,1.00,0.300,0.045,0.82
73-2,1.00,0.297,0.76,1.00,0.301,0.045,0.82
73-3,1.00,0.263,1.00,1.00,0.260,0.048,0.99
74-1,0.44,0.299,0.03,0.44,0.309,0.095,0.04
74-2,0.88,0.284,0.03,0.88,0.295,0.056,0.10
75-1,1.00,0.266,0.64,1.00,0.280,0.051,0.43
75-2,1.00,0.282,0.40,1.00,0.297,0.051,0.43
79-1,0.80,0.365,0.28,0.80,0.370,0.050,0.26
79-2,0.28,0.384,0.06,0.28,0.388,0.091,0.15
79-3,0.88,0.338,0.51,0.88,0.342,0.054,0.46
