ID-model,Coverage,S2-min,Threshold,Coverage Avg(B),S2-min Avg(B),S2-min Std(B),Threshold Avg(B)
BLAST-S11,1.00,12.518,0.56,1.00,12.466,1.529,0.77
BLAST-S14,1.00,12.525,1.00,1.00,12.539,1.544,0.99
Naive-S11,1.00,11.532,0.31,1.00,11.538,1.454,0.33
Naive-S14,1.00,11.532,0.33,1.00,11.536,1.452,0.35
101-1,0.64,11.093,0.64,0.64,11.007,2.111,0.60
101-2,0.56,9.498,0.30,0.56,9.519,2.256,0.45
101-3,0.64,16.276,1.00,0.64,17.082,5.326,1.00
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.40,10.492,0.50,0.40,10.531,1.894,0.51
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,12.432,0.98,1.00,12.323,1.532,0.98
105-2,0.88,14.044,1.00,0.88,14.326,2.633,1.00
105-3,0.96,15.723,1.00,0.96,16.247,4.063,1.00
106-1,0.16,13.136,0.54,0.16,13.283,4.352,0.61
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.16,13.136,0.54,0.16,13.283,4.352,0.61
107-1,1.00,20.638,0.80,1.00,21.237,8.047,0.89
107-2,1.00,12.307,0.25,1.00,12.214,1.524,0.22
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.88,13.248,1.00,0.88,13.446,1.685,0.99
110-2,0.84,11.778,0.88,0.84,11.790,1.483,0.87
110-3,1.00,17.875,1.00,1.00,17.961,2.152,1.00
111-1,0.88,13.248,1.00,0.88,13.446,1.685,0.99
111-2,1.00,17.875,1.00,1.00,17.961,2.152,1.00
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,11.693,0.83,1.00,11.713,1.416,0.81
112-2,1.00,11.627,0.81,1.00,11.672,1.416,0.81
112-3,1.00,11.664,0.83,1.00,11.676,1.417,0.81
113-1,1.00,11.598,0.81,1.00,11.635,1.417,0.81
113-2,0.92,18.991,1.00,0.92,19.070,2.194,1.00
113-3,0.76,13.661,1.00,0.76,13.915,1.947,1.00
114-1,1.00,12.178,1.00,1.00,12.202,1.554,0.97
115-1,1.00,11.959,0.51,1.00,11.926,1.493,0.66
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.20,14.149,0.59,0.20,14.112,2.601,0.59
117-1,1.00,10.326,0.14,1.00,10.299,1.393,0.15
117-2,0.12,11.835,1.00,0.12,12.360,5.389,1.00
119-1,0.92,11.414,0.73,0.92,11.418,1.669,0.73
120-1,1.00,12.442,1.00,1.00,12.441,1.524,0.97
120-2,1.00,11.936,0.64,1.00,11.933,1.425,0.64
120-3,1.00,11.855,0.53,1.00,11.791,1.358,0.55
121-1,0.20,10.958,1.00,0.20,11.078,1.362,0.95
121-2,0.08,11.920,1.00,0.08,13.010,4.012,1.00
121-3,0.40,10.000,1.00,0.40,9.883,2.384,0.88
122-1,0.40,12.383,1.00,0.40,12.203,3.018,0.89
124-1,1.00,11.449,0.44,1.00,11.525,1.472,0.43
124-2,1.00,11.926,0.45,1.00,11.948,1.537,0.40
124-3,1.00,11.034,0.31,1.00,10.961,1.455,0.34
125-1,1.00,12.178,1.00,1.00,12.208,1.554,0.98
125-2,0.72,11.758,0.86,0.72,11.683,2.062,0.82
125-3,0.84,12.143,0.34,0.84,12.050,1.804,0.34
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.72,11.224,0.45,0.72,11.157,1.878,0.44
127-2,0.72,10.859,0.50,0.72,10.869,1.834,0.50
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.80,40.569,1.00,0.80,41.215,23.063,0.99
129-1,0.88,11.764,0.61,0.88,11.643,1.644,0.60
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.88,11.764,0.61,0.88,11.643,1.644,0.60
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
131-1,0.40,14.969,1.00,0.40,15.144,3.092,0.98
131-2,0.44,13.236,0.92,0.44,13.477,2.635,0.95
131-3,1.00,12.210,0.62,1.00,12.237,1.513,0.69
132-1,1.00,11.664,0.78,1.00,11.571,1.434,0.78
132-2,1.00,11.622,0.78,1.00,11.523,1.437,0.78
65-1,1.00,11.443,0.93,1.00,11.434,1.469,0.93
65-2,1.00,11.347,0.89,1.00,11.348,1.458,0.89
65-3,1.00,11.427,0.91,1.00,11.407,1.453,0.92
68-1,1.00,30.646,1.00,1.00,30.964,9.246,1.00
68-2,1.00,30.929,1.00,1.00,31.245,9.431,1.00
69-1,1.00,12.658,1.00,1.00,12.658,1.401,0.96
69-2,1.00,11.972,1.00,1.00,11.894,1.462,0.93
70-1,1.00,12.360,0.78,1.00,12.294,1.508,0.72
70-2,1.00,12.415,0.40,1.00,12.396,1.512,0.39
