ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,1.00,0.218,0.40,1.00,0.216,0.046,0.40
BLAST-S14,1.00,0.161,0.40,1.00,0.163,0.036,0.41
Naive-S11,1.00,0.226,0.19,1.00,0.230,0.026,0.22
Naive-S14,1.00,0.233,0.20,1.00,0.236,0.024,0.23
101-1,0.64,0.248,0.36,0.64,0.233,0.068,0.36
101-2,0.56,0.262,0.10,0.56,0.277,0.072,0.27
101-3,0.64,0.190,0.67,0.64,0.188,0.044,0.66
102-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
102-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
103-3,0.40,0.242,0.17,0.40,0.234,0.074,0.19
104-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
104-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
105-1,1.00,0.225,0.80,1.00,0.230,0.053,0.74
105-2,0.88,0.260,0.98,0.88,0.258,0.059,0.97
105-3,0.96,0.259,0.97,0.96,0.264,0.058,0.96
106-1,0.16,0.263,0.54,0.16,0.253,0.157,0.44
106-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
106-3,0.16,0.263,0.54,0.16,0.253,0.157,0.44
107-1,1.00,0.214,0.71,1.00,0.239,0.051,0.73
107-2,1.00,0.188,0.02,1.00,0.193,0.049,0.04
107-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
108-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
109-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
110-1,0.88,0.289,0.36,0.88,0.308,0.051,0.55
110-2,0.84,0.371,0.26,0.84,0.368,0.044,0.31
110-3,1.00,0.190,0.32,1.00,0.213,0.036,0.47
111-1,0.88,0.289,0.36,0.88,0.308,0.051,0.55
111-2,1.00,0.190,0.32,1.00,0.213,0.036,0.47
111-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
112-1,1.00,0.317,0.46,1.00,0.323,0.048,0.50
112-2,1.00,0.309,0.49,1.00,0.321,0.047,0.50
112-3,1.00,0.319,0.46,1.00,0.326,0.049,0.50
113-1,1.00,0.314,0.49,1.00,0.324,0.049,0.50
113-2,0.92,0.184,0.32,0.92,0.208,0.039,0.57
113-3,0.76,0.281,0.80,0.76,0.297,0.055,0.77
114-1,1.00,0.251,0.67,1.00,0.272,0.048,0.68
115-1,1.00,0.208,0.10,1.00,0.221,0.046,0.20
116-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
116-2,0.20,0.212,0.07,0.20,0.208,0.120,0.16
117-1,1.00,0.413,0.11,1.00,0.416,0.050,0.11
117-2,0.12,0.312,1.00,0.12,0.304,0.187,0.91
119-1,0.92,0.234,0.54,0.92,0.261,0.046,0.58
120-1,1.00,0.277,0.75,1.00,0.284,0.047,0.75
120-2,1.00,0.217,0.52,1.00,0.219,0.030,0.53
120-3,1.00,0.243,0.46,1.00,0.244,0.036,0.48
121-1,0.20,0.246,0.60,0.20,0.232,0.121,0.63
121-2,0.08,0.219,1.00,0.08,0.169,0.042,1.00
121-3,0.40,0.276,0.17,0.40,0.267,0.086,0.30
122-1,0.40,0.243,0.72,0.40,0.245,0.091,0.76
124-1,1.00,0.255,0.40,1.00,0.268,0.043,0.32
124-2,1.00,0.217,0.15,1.00,0.227,0.030,0.23
124-3,1.00,0.312,0.22,1.00,0.325,0.045,0.26
125-1,1.00,0.253,0.64,1.00,0.270,0.047,0.68
125-2,0.72,0.250,0.13,0.72,0.271,0.071,0.15
125-3,0.84,0.329,0.14,0.84,0.330,0.073,0.14
126-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
127-1,0.72,0.354,0.28,0.72,0.360,0.055,0.29
127-2,0.72,0.322,0.33,0.72,0.337,0.052,0.37
127-3,0.00,NaN,NaN,0.00,NaN,NaN,NaN
128-1,0.80,0.221,0.06,0.80,0.241,0.062,0.30
129-1,0.88,0.234,0.46,0.88,0.256,0.054,0.51
129-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
129-3,0.88,0.234,0.46,0.88,0.256,0.054,0.51
130-1,0.00,NaN,NaN,0.00,NaN,NaN,NaN
130-2,0.00,NaN,NaN,0.00,NaN,NaN,NaN
