ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.231,0.43,0.98,0.233,0.012,0.45
BLAST-S14,0.99,0.240,0.51,0.99,0.243,0.012,0.49
Naive-S11,1.00,0.280,0.19,1.00,0.280,0.006,0.19
Naive-S14,1.00,0.284,0.23,1.00,0.284,0.005,0.22
101-1,0.89,0.276,0.36,0.89,0.276,0.012,0.36
101-2,0.87,0.314,0.18,0.87,0.316,0.012,0.19
101-3,0.89,0.291,0.51,0.89,0.292,0.011,0.49
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.05,0.064,0.02,0.05,0.064,0.011,0.02
103-2,0.06,0.088,0.01,0.06,0.088,0.014,0.02
103-3,0.53,0.268,0.17,0.54,0.268,0.015,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.331,0.93,1.00,0.334,0.013,0.94
105-2,0.98,0.338,0.96,0.98,0.339,0.013,0.97
105-3,0.98,0.334,1.00,0.98,0.336,0.013,0.99
106-1,0.40,0.215,0.03,0.40,0.215,0.016,0.07
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.28,0.167,0.03,0.28,0.167,0.016,0.07
107-1,1.00,0.306,0.77,1.00,0.309,0.014,0.77
107-2,1.00,0.308,0.03,1.00,0.308,0.014,0.03
107-3,0.07,0.083,0.01,0.07,0.084,0.013,0.02
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.97,0.372,0.36,0.97,0.373,0.011,0.33
110-2,0.94,0.327,0.39,0.94,0.327,0.011,0.38
110-3,0.99,0.274,0.37,0.99,0.274,0.011,0.37
111-1,0.94,0.355,0.27,0.94,0.357,0.011,0.32
111-2,0.99,0.264,0.37,0.99,0.264,0.011,0.38
111-3,0.09,0.062,0.01,0.09,0.062,0.010,0.01
112-1,0.99,0.339,0.49,0.99,0.339,0.011,0.49
112-2,0.99,0.337,0.48,0.99,0.338,0.011,0.49
112-3,0.99,0.334,0.49,0.99,0.334,0.011,0.48
113-1,0.99,0.332,0.48,0.99,0.333,0.010,0.47
113-2,0.82,0.216,0.49,0.82,0.216,0.010,0.48
113-3,0.64,0.236,0.49,0.65,0.239,0.013,0.53
114-1,1.00,0.369,0.96,1.00,0.370,0.014,0.92
115-1,1.00,0.355,0.36,1.00,0.357,0.013,0.32
116-1,0.68,0.289,0.09,0.68,0.289,0.016,0.11
116-2,0.31,0.159,0.01,0.31,0.159,0.016,0.02
117-1,1.00,0.382,0.12,1.00,0.382,0.011,0.12
117-2,0.25,0.158,1.00,0.25,0.158,0.015,1.00
119-1,0.96,0.354,0.68,0.96,0.355,0.013,0.68
120-1,1.00,0.369,0.97,1.00,0.370,0.014,0.94
120-2,1.00,0.317,0.56,1.00,0.318,0.009,0.55
120-3,0.99,0.289,0.45,0.99,0.291,0.009,0.48
121-1,0.58,0.289,0.44,0.58,0.289,0.016,0.48
121-2,0.10,0.082,0.32,0.10,0.081,0.013,0.37
121-3,0.66,0.307,0.01,0.66,0.309,0.015,0.02
122-1,0.76,0.334,0.71,0.76,0.335,0.014,0.71
124-1,1.00,0.294,0.26,1.00,0.296,0.009,0.28
124-2,1.00,0.270,0.19,1.00,0.271,0.007,0.18
124-3,1.00,0.299,0.26,1.00,0.300,0.009,0.26
125-1,1.00,0.371,0.96,1.00,0.372,0.014,0.93
125-2,0.95,0.334,0.21,0.95,0.336,0.014,0.20
