ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.98,0.190,0.53,0.98,0.194,0.013,0.49
BLAST-S14,0.99,0.204,0.52,0.99,0.206,0.012,0.51
Naive-S11,1.00,0.222,0.14,1.00,0.222,0.004,0.14
Naive-S14,1.00,0.224,0.17,1.00,0.224,0.004,0.17
101-1,0.89,0.232,0.36,0.89,0.231,0.012,0.36
101-2,0.87,0.272,0.23,0.87,0.274,0.012,0.21
101-3,0.89,0.252,0.60,0.89,0.252,0.012,0.60
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.05,0.061,0.02,0.05,0.062,0.011,0.02
103-2,0.06,0.084,0.01,0.06,0.084,0.014,0.02
103-3,0.53,0.245,0.17,0.54,0.245,0.015,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.292,0.93,1.00,0.295,0.013,0.94
105-2,0.98,0.297,0.96,0.98,0.298,0.013,0.97
105-3,0.98,0.296,1.00,0.98,0.296,0.014,1.00
106-1,0.40,0.197,0.03,0.40,0.197,0.016,0.09
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
106-3,0.28,0.152,0.03,0.28,0.152,0.016,0.10
107-1,1.00,0.268,0.77,1.00,0.271,0.014,0.78
107-2,1.00,0.274,0.03,1.00,0.274,0.015,0.03
107-3,0.07,0.077,0.02,0.07,0.078,0.013,0.02
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.97,0.340,0.27,0.97,0.339,0.010,0.27
110-2,0.94,0.275,0.39,0.94,0.275,0.011,0.38
110-3,0.99,0.231,0.29,0.99,0.232,0.011,0.31
111-1,0.94,0.324,0.27,0.94,0.323,0.011,0.28
111-2,0.99,0.216,0.37,0.99,0.217,0.011,0.34
111-3,0.09,0.057,0.01,0.09,0.056,0.010,0.01
112-1,0.99,0.286,0.48,0.99,0.287,0.011,0.50
112-2,0.99,0.284,0.48,0.99,0.285,0.011,0.49
112-3,0.99,0.280,0.48,0.99,0.281,0.011,0.48
113-1,0.99,0.279,0.46,0.99,0.281,0.011,0.46
113-2,0.82,0.161,0.49,0.82,0.162,0.010,0.49
113-3,0.64,0.197,0.51,0.65,0.199,0.013,0.54
114-1,1.00,0.329,0.96,1.00,0.331,0.014,0.92
115-1,1.00,0.318,0.36,1.00,0.319,0.014,0.32
116-1,0.68,0.260,0.05,0.68,0.260,0.016,0.08
116-2,0.31,0.141,0.01,0.31,0.141,0.015,0.03
117-1,1.00,0.335,0.11,1.00,0.336,0.011,0.11
117-2,0.25,0.138,1.00,0.25,0.138,0.014,1.00
119-1,0.96,0.315,0.68,0.96,0.316,0.013,0.68
120-1,1.00,0.329,0.97,1.00,0.329,0.014,0.95
120-2,1.00,0.270,0.55,1.00,0.272,0.009,0.54
120-3,0.99,0.231,0.45,0.99,0.231,0.009,0.46
121-1,0.58,0.263,0.44,0.58,0.263,0.016,0.47
121-2,0.10,0.075,0.32,0.10,0.075,0.013,0.39
121-3,0.66,0.279,0.03,0.66,0.280,0.015,0.02
122-1,0.76,0.296,0.71,0.76,0.297,0.014,0.71
124-1,1.00,0.249,0.27,1.00,0.251,0.009,0.27
124-2,1.00,0.232,0.15,1.00,0.232,0.007,0.15
124-3,1.00,0.256,0.27,1.00,0.257,0.009,0.27
125-1,1.00,0.330,0.96,1.00,0.332,0.014,0.93
125-2,0.95,0.297,0.21,0.95,0.299,0.014,0.22
125-3,0.95,0.281,0.32,0.95,0.283,0.014,0.30
126-1,0.21,0.125,0.21,0.21,0.124,0.013,0.22
127-1,0.94,0.312,0.42,0.94,0.315,0.012,0.41
127-2,0.93,0.320,0.42,0.93,0.320,0.012,0.43
127-3,0.25,0.093,0.08,0.25,0.093,0.007,0.07
128-1,0.63,0.168,0.29,0.63,0.172,0.013,0.17
129-1,0.97,0.296,0.55,0.97,0.297,0.010,0.55
129-2,0.26,0.144,0.50,0.26,0.144,0.010,0.49
129-3,0.97,0.296,0.55,0.97,0.297,0.010,0.55
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.81,0.297,0.03,0.81,0.297,0.014,0.04
131-2,0.82,0.310,0.02,0.82,0.310,0.014,0.03
131-3,0.98,0.285,0.06,0.98,0.286,0.013,0.06
132-1,0.99,0.287,0.60,0.99,0.289,0.011,0.58
132-2,0.99,0.281,0.54,0.99,0.283,0.011,0.53
65-1,0.98,0.247,0.40,0.98,0.249,0.007,0.40
65-2,0.96,0.249,0.37,0.96,0.250,0.007,0.39
65-3,0.98,0.247,0.38,0.98,0.250,0.007,0.42
68-1,0.99,0.208,0.99,0.99,0.208,0.012,0.99
68-2,0.99,0.202,0.97,0.99,0.206,0.011,0.98
69-1,0.37,0.190,0.29,0.37,0.190,0.015,0.26
69-2,1.00,0.309,0.37,1.00,0.310,0.013,0.36
70-1,1.00,0.272,0.25,1.00,0.273,0.009,0.25
70-2,1.00,0.215,0.11,1.00,0.215,0.005,0.11
70-3,1.00,0.212,0.09,1.00,0.212,0.006,0.09
72-1,0.88,0.303,0.01,0.88,0.303,0.013,0.01
72-2,0.74,0.213,0.01,0.74,0.213,0.013,0.01
73-1,1.00,0.261,0.98,1.00,0.262,0.013,0.98
73-2,1.00,0.259,0.98,1.00,0.261,0.013,0.98
73-3,0.99,0.205,1.00,0.99,0.205,0.014,1.00
74-1,0.55,0.221,0.07,0.55,0.223,0.013,0.06
74-2,0.97,0.268,0.15,0.97,0.269,0.013,0.16
75-1,0.37,0.204,0.29,0.37,0.204,0.015,0.36
75-2,1.00,0.315,0.67,1.00,0.317,0.013,0.56
79-1,0.86,0.282,0.17,0.86,0.282,0.012,0.18
79-2,0.62,0.236,0.10,0.62,0.238,0.012,0.12
79-3,0.92,0.335,0.19,0.92,0.337,0.013,0.19
80-1,0.64,0.243,0.12,0.64,0.244,0.014,0.11
80-2,0.99,0.313,0.49,0.99,0.314,0.014,0.45
81-1,0.74,0.274,0.02,0.74,0.275,0.014,0.04
81-2,0.74,0.274,0.02,0.74,0.275,0.014,0.04
82-1,0.91,0.262,0.51,0.91,0.263,0.012,0.52
83-1,0.98,0.314,0.21,0.98,0.315,0.011,0.24
83-2,0.98,0.334,0.20,0.98,0.335,0.011,0.21
84-1,0.79,0.167,0.07,0.79,0.168,0.010,0.07
85-1,0.92,0.352,0.23,0.92,0.353,0.012,0.24
85-2,0.94,0.342,0.45,0.94,0.345,0.012,0.40
86-1,0.73,0.250,0.30,0.73,0.250,0.012,0.30
86-2,0.73,0.250,0.30,0.73,0.250,0.012,0.30
86-3,0.39,0.179,0.30,0.39,0.179,0.014,0.30
87-1,0.91,0.265,0.45,0.91,0.266,0.013,0.43
87-2,0.91,0.280,0.19,0.91,0.283,0.013,0.20
87-3,0.73,0.261,0.11,0.73,0.261,0.013,0.17
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.16,0.068,0.03,0.15,0.067,0.008,0.03
91-2,0.16,0.068,1.00,0.15,0.067,0.008,1.00
91-3,0.16,0.023,0.46,0.15,0.024,0.008,0.47
93-1,0.07,0.083,1.00,0.07,0.082,0.014,1.00
93-2,0.07,0.075,1.00,0.07,0.074,0.012,1.00
94-1,1.00,0.327,0.98,1.00,0.328,0.014,0.86
95-1,0.99,0.218,0.69,0.99,0.222,0.010,0.79
95-2,0.99,0.209,0.97,0.99,0.214,0.011,0.95
96-1,0.36,0.044,1.00,0.36,0.044,0.002,1.00
96-2,0.36,0.051,1.00,0.36,0.051,0.003,1.00
96-3,0.36,0.048,1.00,0.36,0.048,0.002,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.65,0.151,0.49,0.65,0.151,0.010,0.49
99-1,0.96,0.260,0.18,0.96,0.261,0.012,0.17
