ID-model,GO:0008150,GO:0044264,GO:0005976,GO:0006811,GO:0034637,GO:0016051,GO:0051606,GO:0044262,GO:0006955,GO:0043900,GO:0009593,GO:0016192,GO:0044723,GO:0051253,GO:0045934,GO:0051172,GO:0005975,GO:0006396,GO:0006520,GO:0010629,GO:0010558,GO:0051252,GO:0031327,GO:0006508,GO:0009890,GO:1901566,GO:0010605,GO:2000113,GO:0045892,GO:0018130,GO:2001141,GO:0044271,GO:0051640,GO:0006793,GO:1901362,GO:0050877,GO:0006355,GO:0009892,GO:0031324,GO:0016070,GO:0006464,GO:0036211,GO:0006952,GO:0019438,GO:0010556,GO:0000122,GO:0031326,GO:0009889,GO:0006082,GO:0043436,GO:0051254,GO:0046907,GO:0019219,GO:2000112,GO:0051171,GO:0045935,GO:0031667,GO:0030030,GO:0051173,GO:0010468,GO:0006357,GO:0006796,GO:0016053,GO:0046394,GO:0019752,GO:0044711,GO:0010628,GO:0019538,GO:0006259,GO:1901605,GO:0044283,GO:0080090,GO:1901135,GO:0090304,GO:0045893,GO:0006810,GO:0043412,GO:0045944,GO:0060255,GO:0006325,GO:0003008,GO:0033365,GO:0051704,GO:0044710,GO:0050801,GO:0044765,GO:0010557,GO:0034645,GO:0031328,GO:0031323,GO:0009059,GO:0009991,GO:0006139,GO:0048519,GO:0009891,GO:0048523,GO:0046483,GO:0060284,GO:0055086,GO:0006725,GO:0044267,GO:0044087,GO:0045184,GO:0019222,GO:0044281,GO:0007417,GO:0010467,GO:0007399,GO:0051276,GO:0007010,GO:0016568,GO:0044249,GO:1901360,GO:0051649,GO:0019637,GO:1901576,GO:0071702,GO:0051234,GO:0044248,GO:0034613,GO:0006873,GO:1901564,GO:0010604,GO:0045595,GO:0009893,GO:0002376,GO:0009056,GO:0048878,GO:0009058,GO:0048518,GO:0070727,GO:0051641,GO:0055082,GO:1901575,GO:0034641,GO:0023052,GO:0044700,GO:0048522,GO:0009605,GO:0019725,GO:0051179,GO:0044085,GO:0043933,GO:0031325,GO:0006807,GO:0050789,GO:0048468,GO:0043170,GO:0055114,GO:0022607,GO:0007165,GO:0007154,GO:0048869,GO:0050794,GO:0051716,GO:0048583,GO:0044093,GO:0044270,GO:0065007,GO:0030154,GO:0033554,GO:0008104,GO:0010941,GO:0071822,GO:0010647,GO:0051336,GO:0044260,GO:0016044,GO:0009966,GO:0006950,GO:2000026,GO:0044763,GO:0032502,GO:0007005,GO:0071495,GO:0048731,GO:0051246,GO:0048513,GO:0009967,GO:0043085,GO:0019439,GO:0043067,GO:0061024,GO:0046700,GO:0044699,GO:0010646,GO:0042592,GO:0019220,GO:0071704,GO:0051174,GO:0044238,GO:0008152,GO:0007017,GO:0048584,GO:0023056,GO:0044707,GO:1901361,GO:0070887,GO:0051130,GO:0033036,GO:0009653,GO:0009888,GO:0065009,GO:0051128,GO:0050790,GO:0048856,GO:0044237,GO:0032501,GO:0023051,GO:0006996,GO:0042981,GO:0044767,GO:0065008,GO:0051239,GO:0007275,GO:0000226,GO:0051050,GO:0002244,GO:0016043,GO:0050793,GO:0065003,GO:0033043,GO:0071840,GO:0071310,GO:0050896,GO:0006461,GO:0070271,GO:0042221,GO:0051726,GO:0034622,GO:0000003,GO:0009987,GO:0010564,GO:0009735,GO:0009719,GO:0030097,GO:0048534,GO:0051049,GO:0002520,GO:0022402,GO:0010033,GO:0032879,GO:0051129,GO:0007049,GO:0060341,GO:0009725
BLAST-S11,NaN,0.71,0.70,0.88,0.72,0.73,0.86,0.63,0.85,0.82,0.89,0.78,0.64,0.81,0.79,0.79,0.66,0.76,0.78,0.80,0.78,0.80,0.78,0.77,0.77,0.85,0.77,0.78,0.79,0.78,0.80,0.78,0.79,0.68,0.77,0.82,0.78,0.74,0.74,0.78,0.72,0.72,0.68,0.74,0.75,0.71,0.74,0.73,0.70,0.70,0.73,0.76,0.74,0.74,0.74,0.70,0.60,0.65,0.69,0.71,0.74,0.67,0.68,0.68,0.67,0.69,0.69,0.69,0.67,0.74,0.70,0.69,0.69,0.70,0.72,0.66,0.67,0.70,0.68,0.69,0.75,0.64,0.58,0.62,0.69,0.64,0.69,0.64,0.68,0.69,0.65,0.57,0.68,0.62,0.68,0.63,0.66,0.60,0.68,0.66,0.64,0.70,0.73,0.66,0.63,0.60,0.69,0.66,0.67,0.65,0.66,0.65,0.64,0.70,0.72,0.66,0.63,0.65,0.64,0.62,0.65,0.63,0.59,0.57,0.61,0.65,0.65,0.58,0.65,0.64,0.61,0.66,0.62,0.65,0.64,0.63,0.63,0.63,0.53,0.61,0.61,0.60,0.64,0.59,0.63,0.64,0.63,0.59,0.62,0.59,0.62,0.59,0.58,0.65,0.62,0.60,0.59,0.60,0.62,0.57,0.59,0.60,0.51,0.62,0.64,0.46,0.55,0.62,0.58,0.56,0.60,0.61,0.53,0.59,0.71,0.58,0.57,0.57,0.62,0.57,0.57,0.47,0.59,0.56,0.60,0.58,0.52,0.63,0.56,0.63,0.56,0.57,0.58,0.62,0.61,0.58,0.56,0.62,0.52,0.59,0.47,0.61,0.55,0.54,0.50,0.53,0.56,0.58,0.55,0.55,0.45,0.51,0.51,0.59,0.54,0.55,0.55,0.49,0.52,0.53,0.57,0.57,0.51,0.63,0.55,0.55,0.55,0.57,0.57,0.54,0.55,0.54,0.59,0.49,0.52,0.45,0.45,0.50,0.44,0.43,0.46,0.49,0.48,0.42,0.48,0.45
BLAST-S14,NaN,0.94,0.93,0.93,0.89,0.89,0.85,0.85,0.85,0.83,0.83,0.83,0.82,0.81,0.81,0.81,0.80,0.80,0.80,0.79,0.79,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.52,0.51,0.51,0.50,0.50,0.50,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.44
Naive-S11,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Naive-S14,NaN,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
101-1,NaN,0.89,0.89,0.85,0.84,0.85,0.89,0.84,0.66,0.54,0.90,0.68,0.87,0.66,0.68,0.68,0.89,0.78,0.90,0.68,0.68,0.71,0.68,0.82,0.68,0.93,0.66,0.68,0.69,0.74,0.72,0.77,0.80,0.65,0.74,0.83,0.71,0.65,0.65,0.77,0.72,0.72,0.64,0.71,0.69,0.71,0.69,0.68,0.89,0.89,0.66,0.62,0.67,0.69,0.67,0.66,0.61,0.63,0.66,0.64,0.66,0.64,0.87,0.87,0.89,0.83,0.67,0.72,0.71,0.89,0.83,0.61,0.71,0.75,0.67,0.67,0.71,0.68,0.63,0.69,0.77,0.53,0.51,0.81,0.61,0.58,0.68,0.70,0.70,0.65,0.71,0.60,0.71,0.59,0.70,0.58,0.73,0.53,0.62,0.72,0.67,0.54,0.61,0.59,0.77,0.56,0.68,0.61,0.65,0.58,0.56,0.74,0.72,0.64,0.68,0.73,0.63,0.66,0.54,0.55,0.61,0.73,0.62,0.50,0.60,0.59,0.57,0.57,0.75,0.54,0.55,0.60,0.60,0.62,0.71,0.63,0.63,0.57,0.55,0.60,0.61,0.61,0.59,0.65,0.72,0.54,0.50,0.67,0.97,0.57,0.69,0.60,0.58,0.58,0.60,0.46,0.54,0.53,0.54,0.55,0.55,0.54,0.54,0.56,0.52,0.53,0.63,0.57,0.51,0.59,0.51,0.59,0.53,0.61,0.54,0.57,0.60,0.57,0.52,0.57,0.54,0.56,0.55,0.54,0.57,0.50,0.53,0.59,0.66,0.59,0.65,0.66,0.56,0.53,0.52,0.57,0.54,0.54,0.48,0.52,0.61,0.57,0.54,0.48,0.59,0.52,0.63,0.55,0.51,0.54,0.54,0.52,0.55,0.47,0.50,0.53,0.49,0.50,0.52,0.51,0.57,0.51,0.53,0.47,0.55,0.56,0.56,0.55,0.51,0.48,0.45,0.53,0.54,0.50,0.49,0.47,0.47,0.48,0.47,0.58,0.48,0.47,0.50,0.57,0.49,0.48
101-2,NaN,0.90,0.90,0.86,0.80,0.86,0.89,0.86,0.69,0.50,0.85,0.66,0.85,0.63,0.65,0.65,0.88,0.73,0.90,0.67,0.66,0.73,0.65,0.77,0.65,0.90,0.64,0.65,0.65,0.72,0.74,0.76,0.63,0.68,0.72,0.83,0.73,0.63,0.64,0.74,0.69,0.69,0.63,0.72,0.73,0.67,0.72,0.72,0.90,0.90,0.67,0.62,0.69,0.71,0.69,0.68,0.53,0.56,0.68,0.72,0.68,0.67,0.81,0.81,0.90,0.79,0.68,0.73,0.70,0.89,0.79,0.67,0.66,0.74,0.68,0.68,0.71,0.69,0.69,0.65,0.77,0.55,0.55,0.83,0.58,0.61,0.69,0.72,0.69,0.68,0.73,0.52,0.70,0.60,0.71,0.58,0.70,0.54,0.63,0.71,0.65,0.50,0.61,0.64,0.78,0.53,0.69,0.56,0.63,0.60,0.52,0.76,0.70,0.66,0.69,0.77,0.63,0.67,0.52,0.58,0.62,0.71,0.68,0.52,0.64,0.61,0.56,0.56,0.77,0.58,0.58,0.61,0.61,0.59,0.68,0.62,0.62,0.59,0.49,0.61,0.65,0.59,0.62,0.66,0.70,0.61,0.49,0.67,0.99,0.57,0.66,0.59,0.56,0.60,0.59,0.53,0.56,0.49,0.59,0.53,0.54,0.56,0.53,0.59,0.53,0.49,0.62,0.57,0.54,0.59,0.54,0.59,0.55,0.58,0.54,0.58,0.65,0.55,0.54,0.59,0.50,0.54,0.56,0.49,0.59,0.52,0.53,0.57,0.64,0.57,0.64,0.65,0.58,0.59,0.54,0.60,0.49,0.51,0.49,0.55,0.58,0.62,0.54,0.51,0.58,0.54,0.61,0.58,0.53,0.55,0.56,0.55,0.57,0.46,0.56,0.54,0.50,0.50,0.56,0.52,0.60,0.49,0.56,0.51,0.56,0.57,0.57,0.56,0.53,0.51,0.45,0.47,0.54,0.50,0.50,0.48,0.50,0.49,0.50,0.59,0.49,0.48,0.50,0.58,0.50,0.49
101-3,NaN,0.90,0.89,0.86,0.84,0.86,0.87,0.86,0.68,0.54,0.90,0.68,0.88,0.66,0.67,0.67,0.90,0.82,0.90,0.68,0.68,0.75,0.68,0.86,0.68,0.94,0.66,0.67,0.68,0.75,0.76,0.78,0.81,0.65,0.74,0.84,0.75,0.64,0.65,0.81,0.72,0.72,0.65,0.71,0.74,0.71,0.73,0.73,0.90,0.90,0.65,0.61,0.70,0.74,0.70,0.66,0.61,0.64,0.66,0.66,0.65,0.64,0.87,0.87,0.90,0.84,0.67,0.78,0.71,0.89,0.84,0.61,0.71,0.78,0.66,0.69,0.70,0.68,0.65,0.70,0.78,0.54,0.50,0.83,0.61,0.60,0.68,0.73,0.70,0.69,0.74,0.59,0.74,0.61,0.69,0.60,0.76,0.53,0.62,0.75,0.67,0.54,0.62,0.60,0.78,0.56,0.72,0.62,0.66,0.59,0.56,0.75,0.76,0.63,0.68,0.77,0.64,0.68,0.54,0.56,0.62,0.74,0.57,0.50,0.55,0.62,0.58,0.58,0.76,0.50,0.55,0.61,0.60,0.62,0.74,0.61,0.61,0.57,0.54,0.60,0.65,0.61,0.59,0.65,0.75,0.56,0.50,0.71,0.98,0.57,0.72,0.60,0.56,0.64,0.61,0.43,0.54,0.53,0.55,0.53,0.55,0.55,0.54,0.57,0.52,0.53,0.65,0.57,0.51,0.60,0.49,0.58,0.47,0.61,0.54,0.58,0.55,0.58,0.53,0.57,0.54,0.56,0.54,0.54,0.49,0.50,0.54,0.59,0.71,0.59,0.70,0.70,0.57,0.51,0.52,0.49,0.54,0.53,0.48,0.53,0.63,0.46,0.54,0.48,0.59,0.45,0.65,0.49,0.51,0.55,0.54,0.46,0.57,0.46,0.44,0.53,0.49,0.50,0.51,0.46,0.55,0.51,0.52,0.47,0.55,0.55,0.55,0.52,0.51,0.47,0.43,0.46,0.54,0.50,0.49,0.46,0.46,0.48,0.46,0.60,0.48,0.47,0.50,0.59,0.49,0.48
102-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
