ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.232,0.42,0.99,0.234,0.008,0.44
BLAST-S14,0.99,0.251,0.52,0.99,0.253,0.008,0.50
Naive-S11,1.00,0.286,0.21,1.00,0.286,0.004,0.20
Naive-S14,1.00,0.285,0.19,1.00,0.285,0.004,0.19
101-1,0.86,0.280,0.36,0.86,0.280,0.008,0.36
101-2,0.84,0.307,0.17,0.84,0.307,0.008,0.16
101-3,0.86,0.297,0.27,0.86,0.298,0.008,0.26
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.09,0.082,0.02,0.09,0.082,0.009,0.02
103-2,0.10,0.095,0.01,0.10,0.097,0.009,0.02
103-3,0.47,0.239,0.17,0.47,0.239,0.012,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.313,0.93,1.00,0.315,0.009,0.93
105-2,0.97,0.320,0.95,0.97,0.320,0.009,0.95
105-3,0.98,0.322,0.99,0.98,0.322,0.010,0.99
106-1,0.43,0.211,0.03,0.43,0.211,0.012,0.06
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.08
106-3,0.27,0.164,0.03,0.27,0.164,0.012,0.06
107-1,1.00,0.275,0.78,1.00,0.277,0.009,0.81
107-2,1.00,0.278,0.02,1.00,0.278,0.009,0.02
107-3,0.12,0.097,0.02,0.12,0.097,0.009,0.02
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.352,0.38,0.98,0.352,0.007,0.37
110-2,0.96,0.339,0.37,0.96,0.340,0.008,0.37
110-3,0.99,0.275,0.34,0.99,0.275,0.007,0.32
111-1,0.96,0.344,0.38,0.96,0.344,0.008,0.38
111-2,0.98,0.271,0.34,0.98,0.272,0.007,0.34
111-3,0.11,0.088,0.01,0.11,0.088,0.009,0.01
112-1,0.99,0.346,0.46,0.99,0.348,0.008,0.47
112-2,0.99,0.347,0.40,0.99,0.349,0.008,0.45
112-3,0.99,0.341,0.42,0.99,0.342,0.008,0.44
113-1,0.99,0.342,0.40,0.99,0.343,0.008,0.42
113-2,0.77,0.191,0.42,0.77,0.192,0.007,0.39
113-3,0.67,0.247,0.54,0.67,0.247,0.009,0.55
114-1,1.00,0.352,0.87,1.00,0.354,0.010,0.85
115-1,1.00,0.340,0.28,1.00,0.340,0.010,0.25
116-1,0.75,0.265,0.01,0.75,0.264,0.010,0.01
116-2,0.39,0.143,0.01,0.39,0.142,0.010,0.01
117-1,1.00,0.372,0.12,1.00,0.372,0.008,0.12
117-2,0.29,0.172,1.00,0.29,0.171,0.011,1.00
119-1,0.96,0.336,0.66,0.96,0.337,0.009,0.63
120-1,1.00,0.350,0.91,1.00,0.351,0.010,0.90
120-2,1.00,0.295,0.54,1.00,0.296,0.007,0.53
120-3,1.00,0.271,0.46,1.00,0.271,0.006,0.46
121-1,0.51,0.242,0.38,0.51,0.242,0.011,0.47
121-2,0.06,0.043,0.44,0.06,0.042,0.008,0.51
121-3,0.60,0.282,0.01,0.60,0.282,0.011,0.01
122-1,0.69,0.308,0.69,0.69,0.308,0.011,0.69
124-1,1.00,0.273,0.26,1.00,0.274,0.006,0.28
124-2,1.00,0.252,0.16,1.00,0.253,0.005,0.17
124-3,1.00,0.277,0.25,1.00,0.278,0.006,0.25
125-1,1.00,0.351,0.85,1.00,0.352,0.009,0.83
125-2,0.92,0.316,0.15,0.92,0.317,0.009,0.15
125-3,0.95,0.294,0.21,0.95,0.295,0.009,0.21
126-1,0.88,0.304,0.16,0.88,0.304,0.009,0.18
127-1,0.93,0.352,0.40,0.93,0.353,0.008,0.39
127-2,0.93,0.350,0.43,0.93,0.351,0.008,0.45
127-3,0.28,0.102,0.06,0.28,0.102,0.006,0.06
128-1,0.63,0.215,0.25,0.63,0.217,0.009,0.23
129-1,0.98,0.362,0.57,0.98,0.362,0.007,0.57
129-2,0.18,0.140,0.44,0.18,0.140,0.008,0.44
129-3,0.98,0.363,0.57,0.98,0.363,0.007,0.57
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
131-1,0.73,0.304,0.04,0.73,0.304,0.011,0.04
131-2,0.72,0.306,0.04,0.72,0.306,0.011,0.04
131-3,0.97,0.308,0.04,0.97,0.310,0.009,0.05
132-1,0.99,0.347,0.53,0.99,0.348,0.008,0.52
132-2,0.99,0.340,0.48,0.99,0.341,0.008,0.50
65-1,0.88,0.286,0.22,0.88,0.287,0.007,0.22
65-2,0.83,0.290,0.22,0.83,0.290,0.008,0.22
65-3,0.88,0.294,0.24,0.88,0.295,0.007,0.24
68-1,0.99,0.238,0.98,0.99,0.241,0.008,0.97
68-2,0.99,0.249,0.99,0.99,0.250,0.008,0.98
69-1,0.28,0.179,0.09,0.28,0.181,0.010,0.09
69-2,1.00,0.331,0.27,1.00,0.332,0.009,0.27
70-1,1.00,0.305,0.21,1.00,0.306,0.007,0.21
70-2,0.99,0.281,0.15,0.99,0.281,0.005,0.15
70-3,0.99,0.277,0.09,0.99,0.277,0.005,0.09
72-1,0.85,0.329,0.01,0.85,0.329,0.010,0.01
72-2,0.74,0.237,0.01,0.74,0.236,0.010,0.01
73-1,1.00,0.264,0.98,1.00,0.265,0.009,0.96
73-2,1.00,0.266,0.98,1.00,0.267,0.009,0.96
73-3,0.98,0.235,0.95,0.98,0.235,0.010,0.97
74-1,0.53,0.244,0.02,0.53,0.245,0.009,0.03
74-2,0.98,0.301,0.09,0.98,0.301,0.009,0.09
75-1,0.28,0.186,0.10,0.28,0.186,0.010,0.09
75-2,1.00,0.340,0.38,1.00,0.341,0.010,0.37
79-1,0.86,0.321,0.10,0.86,0.322,0.008,0.13
79-2,0.57,0.261,0.10,0.57,0.261,0.009,0.09
79-3,0.92,0.346,0.07,0.92,0.346,0.008,0.07
80-1,0.60,0.266,0.02,0.60,0.267,0.010,0.04
80-2,0.99,0.326,0.09,0.99,0.328,0.009,0.15
81-1,0.74,0.281,0.02,0.74,0.281,0.010,0.04
81-2,0.74,0.281,0.02,0.74,0.281,0.010,0.04
82-1,0.89,0.259,0.50,0.89,0.260,0.008,0.51
83-1,0.96,0.330,0.34,0.96,0.331,0.007,0.31
83-2,0.96,0.343,0.23,0.96,0.344,0.008,0.26
84-1,0.82,0.220,0.05,0.82,0.220,0.007,0.05
85-1,0.96,0.367,0.24,0.96,0.368,0.009,0.26
85-2,0.97,0.362,0.46,0.97,0.363,0.009,0.46
86-1,0.97,0.301,0.63,0.97,0.303,0.008,0.56
86-2,0.97,0.301,0.63,0.97,0.303,0.008,0.56
86-3,0.73,0.249,0.30,0.73,0.249,0.010,0.30
87-1,0.85,0.310,0.22,0.85,0.312,0.009,0.29
87-2,0.85,0.312,0.17,0.85,0.313,0.009,0.17
87-3,0.71,0.307,0.11,0.71,0.307,0.010,0.15
88-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
89-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
91-1,0.10,0.064,0.03,0.10,0.063,0.006,0.03
91-2,0.10,0.065,1.00,0.10,0.064,0.006,1.00
91-3,0.10,0.035,0.45,0.10,0.037,0.003,0.45
93-1,0.11,0.104,1.00,0.11,0.104,0.009,1.00
93-2,0.12,0.082,1.00,0.12,0.082,0.007,1.00
94-1,0.99,0.348,0.20,0.99,0.348,0.010,0.20
95-1,0.99,0.246,0.98,0.99,0.251,0.007,0.87
95-2,0.99,0.240,0.93,0.99,0.243,0.008,0.96
96-1,0.34,0.071,1.00,0.34,0.071,0.003,1.00
96-2,0.34,0.077,1.00,0.34,0.077,0.003,1.00
96-3,0.34,0.077,1.00,0.34,0.077,0.003,1.00
97-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
97-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
98-1,0.49,0.150,0.49,0.49,0.149,0.007,0.49
99-1,0.95,0.288,0.13,0.95,0.289,0.008,0.13
