ID-model,Coverage,F1-max,Threshold,Coverage Avg(B),F1-max Avg(B),F1-max Std(B),Threshold Avg(B)
BLAST-S11,0.99,0.195,0.47,0.99,0.197,0.008,0.47
BLAST-S14,0.99,0.213,0.52,0.99,0.215,0.008,0.51
Naive-S11,1.00,0.216,0.14,1.00,0.216,0.003,0.14
Naive-S14,1.00,0.219,0.17,1.00,0.219,0.003,0.17
101-1,0.86,0.240,0.36,0.86,0.240,0.008,0.36
101-2,0.84,0.261,0.16,0.84,0.261,0.008,0.16
101-3,0.86,0.247,0.59,0.86,0.249,0.008,0.43
102-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
102-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
103-1,0.09,0.074,0.02,0.09,0.074,0.009,0.02
103-2,0.10,0.091,0.01,0.10,0.092,0.009,0.02
103-3,0.47,0.214,0.17,0.47,0.214,0.012,0.17
104-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
104-3,0.00,0.002,0.00,0.00,0.002,0.000,0.00
105-1,1.00,0.270,0.93,1.00,0.271,0.009,0.93
105-2,0.97,0.275,0.95,0.97,0.276,0.009,0.96
105-3,0.98,0.279,0.99,0.98,0.279,0.010,0.99
106-1,0.43,0.183,0.03,0.43,0.183,0.011,0.06
106-2,0.00,0.002,0.00,0.00,0.002,0.000,0.02
106-3,0.27,0.140,0.03,0.27,0.140,0.011,0.06
107-1,1.00,0.238,0.79,1.00,0.241,0.009,0.83
107-2,1.00,0.235,0.02,1.00,0.235,0.009,0.02
107-3,0.12,0.085,0.02,0.12,0.086,0.009,0.02
108-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
109-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
110-1,0.98,0.323,0.26,0.98,0.323,0.007,0.28
110-2,0.96,0.288,0.36,0.96,0.288,0.008,0.36
110-3,0.99,0.232,0.26,0.99,0.233,0.007,0.26
111-1,0.96,0.309,0.38,0.96,0.310,0.007,0.33
111-2,0.98,0.227,0.26,0.98,0.227,0.007,0.26
111-3,0.11,0.078,0.01,0.11,0.078,0.008,0.01
112-1,0.99,0.294,0.46,0.99,0.295,0.008,0.46
112-2,0.99,0.295,0.45,0.99,0.296,0.009,0.46
112-3,0.99,0.289,0.42,0.99,0.290,0.008,0.44
113-1,0.99,0.290,0.42,0.99,0.291,0.008,0.44
113-2,0.77,0.139,0.33,0.77,0.140,0.006,0.40
113-3,0.67,0.210,0.54,0.67,0.211,0.008,0.56
114-1,1.00,0.310,0.85,1.00,0.311,0.009,0.86
115-1,1.00,0.297,0.26,1.00,0.298,0.009,0.23
116-1,0.75,0.226,0.01,0.75,0.226,0.010,0.02
116-2,0.39,0.116,0.01,0.39,0.115,0.009,0.01
117-1,1.00,0.326,0.11,1.00,0.326,0.007,0.11
117-2,0.29,0.149,1.00,0.29,0.148,0.010,1.00
119-1,0.96,0.295,0.66,0.96,0.296,0.009,0.62
120-1,1.00,0.308,0.91,1.00,0.308,0.010,0.91
120-2,1.00,0.242,0.49,1.00,0.243,0.006,0.49
120-3,1.00,0.207,0.45,1.00,0.207,0.006,0.45
121-1,0.51,0.218,0.38,0.51,0.218,0.011,0.45
121-2,0.06,0.037,0.44,0.06,0.037,0.007,0.51
121-3,0.60,0.254,0.01,0.60,0.254,0.011,0.01
122-1,0.69,0.273,0.69,0.69,0.272,0.011,0.69
124-1,1.00,0.221,0.18,1.00,0.221,0.005,0.19
124-2,1.00,0.202,0.11,1.00,0.202,0.004,0.12
124-3,1.00,0.225,0.18,1.00,0.225,0.006,0.20
125-1,1.00,0.308,0.85,1.00,0.309,0.009,0.85
125-2,0.92,0.275,0.15,0.92,0.276,0.009,0.16
125-3,0.95,0.252,0.21,0.95,0.254,0.009,0.21
126-1,0.88,0.265,0.16,0.88,0.265,0.009,0.19
127-1,0.93,0.305,0.38,0.93,0.306,0.008,0.38
127-2,0.93,0.301,0.43,0.93,0.301,0.008,0.44
127-3,0.28,0.090,0.04,0.28,0.090,0.005,0.04
128-1,0.63,0.174,0.25,0.63,0.176,0.009,0.21
129-1,0.98,0.303,0.56,0.98,0.304,0.007,0.56
129-2,0.18,0.118,0.42,0.18,0.118,0.007,0.43
129-3,0.98,0.304,0.57,0.98,0.304,0.007,0.56
130-1,0.00,0.002,0.00,0.00,0.002,0.000,0.00
130-2,0.00,0.002,0.00,0.00,0.002,0.000,0.00
